t,s1,s2,s3,s4
0,-1.084896522354857,-0.7855749839826898,-1.224610440116109,-0.7351983971628405
1,-0.5190780721482484,-0.7564941539103821,-0.7682727112805483,-0.8653133756460745
2,-0.5813953088669281,-0.7642245011447936,-0.7658356606592611,-1.0717026518608612
3,-0.7992298973967266,-0.820545602424076,-0.7932524801486908,-1.4225644214259963
4,-1.0242337255491096,-0.8614060092345358,-0.9559256091194553,-1.3543662258071978
5,-1.0098952463040625,-0.8809159332070968,-0.9480051946002891,-1.3077043024890724
6,-1.2023617561696929,-0.8647190151921389,-0.9236346883874514,-1.2314300047575195
7,-1.229935754717771,-0.8433685323542426,-0.8956086062426493,-1.0977256475575061
8,-0.7429789403586766,-0.8183369317856706,-0.50385271887113,-1.0349115200138752
9,-0.7733103387615197,-0.7885198781672278,-0.5867124399948253,-1.0447823114850177
10,-1.0942716818612293,-0.7564941539103821,-0.884641878446891,-1.0465770008434088
11,-0.7644866592261861,-0.7542854832719793,-0.7323262146165799,-0.9765841158662191
12,-0.7617292593713599,-0.7458189124914327,-0.6921148793653759,-0.8841576139091638
13,-1.1747877576216148,-0.8268035025662172,-1.0552354219368218,-0.5682922868326205
14,-1.1929865966633206,-0.9158865516484805,-1.133221041817909,-0.40407821053998727
15,-0.6150355870955748,-0.9523296171821345,-0.7298891639952927,-0.3493401851091106
16,-0.8091565368740763,-0.957851293778143,-0.8779399892383344,-0.2847313682070883
17,-0.8929814924602042,-0.9983435888155352,-1.002838833579182,-0.39331007438965226
18,-0.5852556686636481,-0.957851293778143,-0.6829759395355659,-0.6050834186796035
19,-1.0027260066816002,-0.9869321238504507,-1.0016203082685387,-0.6373878271306146
20,-1.4130271050770289,-0.9412862639901175,-1.2495902089842517,-0.4902232997426795
21,-1.2343475944854683,-0.845209091219578,-0.9888257925067979,-0.22640396405943222
22,-1.1064042412223665,-0.6066726622720279,-0.9120586979363206,-0.2928074703198426
23,-1.4648662223474425,-0.6508460750400933,-1.3793631545676737,-0.777373597084991
24,-1.380489786790276,-0.752813036179709,-1.5755457295810857,-1.1731026006098635
25,-1.0782787627033108,-0.7082715116385786,-1.4549117238275073,-1.3121910258850442
26,-1.133426759799467,-0.7763721896560106,-1.1204265260561683,-1.2718105153212818
27,-0.679558743698042,-0.8301165085238228,-0.7475577809996076,-1.1461822602340228
28,-0.8935329724311817,-0.9059475337756663,-0.9650645489492652,-1.0618318603897188
29,-1.1394930394800356,-0.9339240285287738,-1.3050331106184834,-1.037603554051462
30,-0.788200297977483,-0.8790753743417615,-0.9382569921151405,-0.7567346694635135
31,-0.8984962921698566,-0.7936734429901687,-0.9455681439790019,-0.6239276569426928
32,-1.0308514852005946,-0.8418960852619723,-1.205114035145812,-0.8258302097615077
33,-0.7545600197488364,-0.7815257544789516,-0.9955276817153207,-0.9810708392621941
34,-0.8880181727215906,-0.7947777783093715,-1.1521081841328673,-1.1102884730662324
35,-0.6635658245401849,-0.8448409794465104,-0.91632353652359,-1.130927400687713
36,-0.598491187966679,-0.8492583207233162,-0.7816764896975937,-1.03939824340985
37,-1.1808540373021834,-0.88459705093777,-1.1149431621582893,-0.8751841671172169
38,-0.8130168966707961,-0.9718395411546955,-0.8371193913318256,-0.7028939887118294
39,-1.4554910628410702,-1.0038652654115436,-1.3994688221932756,-0.814164728931974
40,-1.2133913555889362,-1.0550328018678854,-1.3714427400485074,-1.03939824340985
41,-0.8119139367288413,-1.0432532251297333,-1.0527983713155347,-1.132722090046101
42,-1.302179630913739,-0.946807940586126,-1.262384724746026,-1.0447823114850177
43,-0.831215735712502,-1.076751396478849,-1.0558446845921268,-1.0115805583548139
44,-0.9635709287433012,-1.089267196763134,-0.9857794792302059,-1.3157804046018235
45,-1.3501583883873716,-1.1871849283990115,-1.3105164745163964,-1.3570582598447816
46,-1.2558553133529777,-1.2000688404563638,-1.1843991048649052,-1.206304353740067
47,-1.2795689521043359,-1.198596393364096,-1.2294845413586835,-1.2960388216595418
48,-1.5961184554362868,-1.1893935990374143,-1.4987786350106422,-1.5652422254179565
49,-1.3760779470225786,-1.1687793397456505,-1.2922385948567428,-1.5688316041347359
50,-1.0854480023258344,-1.1334406095311993,-1.0485335327282652,-1.4934546510823785
51,-1.404203425541634,-1.1290232682543935,-1.2605569367800438,-1.3794918768246502
52,-1.4113726651641576,-1.1507418628653574,-1.245325370397016,-1.4306405235387476
53,-0.9630194487723237,-1.1223972563391824,-0.8681917867532196,-1.5105041999870799
54,-1.1290149200317696,-1.0855860790324634,-0.9863887418855108,-1.6738209316005175
55,-1.541521938311108,-1.0819049613017901,-1.3397610819718082,-1.4844812042904318
56,-1.1825084772150545,-1.0881628614439338,-1.1289562032306735,-1.490762617044795
57,-1.1091616410771925,-1.089267196763134,-1.0917911812560952,-1.5302457829293616
58,-1.527183459066061,-1.0984699910898157,-1.3342777180738954,-1.3812865661830382
59,-1.3341654692295146,-1.0804325142095224,-1.1843991048649052,-1.383978600220622
60,-1.0060348865073427,-1.0844817437132606,-0.9358199414938533,-1.3543662258071978
61,-1.5200142194435986,-1.0476705664065415,-1.3921576703294143,-1.3086016471682649
