t,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
0,-0.083889,-0.056743,-0.132068,0.322161,0.22317,0.087211,-0.158553,-0.148237,0.04686,-0.002195,0.07051,-0.007446
1,-0.083158,-0.056474,-0.131506,0.320935,0.222608,0.086604,-0.158333,-0.148104,0.046598,-0.00139,0.070504,-0.006781
2,-0.085051,-0.056594,-0.130698,0.32258,0.223754,0.088559,-0.157576,-0.148716,0.045956,-0.003955,0.070875,-0.007883
3,-0.085111,-0.056498,-0.13059,0.322074,0.223248,0.088692,-0.15752,-0.148107,0.045883,-0.004137,0.070805,-0.007751
4,-0.084363,-0.056419,-0.131339,0.322332,0.223233,0.088269,-0.15882,-0.14816,0.04679,-0.003257,0.07043,-0.007437
5,-0.084661,-0.056533,-0.13109,0.323024,0.223716,0.088759,-0.158472,-0.148263,0.046584,-0.004132,0.070618,-0.008019
6,-0.08494,-0.05654,-0.131476,0.323068,0.22476,0.088524,-0.159767,-0.147749,0.047016,-0.003155,0.070686,-0.00848
7,-0.08561,-0.056408,-0.13071,0.322983,0.224423,0.088926,-0.158974,-0.147485,0.046523,-0.003955,0.070876,-0.0086
8,-0.08663,-0.056236,-0.129788,0.323124,0.223916,0.089526,-0.157722,-0.14726,0.045841,-0.005343,0.071081,-0.008501
9,-0.086947,-0.056191,-0.129882,0.323413,0.223532,0.089265,-0.157531,-0.147481,0.045956,-0.005712,0.070922,-0.008272
10,-0.087388,-0.056244,-0.130038,0.323209,0.223037,0.089603,-0.156799,-0.147542,0.04604,-0.006289,0.070896,-0.008348
11,-0.088593,-0.056904,-0.129777,0.323728,0.223438,0.090708,-0.155236,-0.148764,0.045681,-0.00813,0.071586,-0.009303
12,-0.089118,-0.057108,-0.129282,0.324648,0.224286,0.091335,-0.155105,-0.149183,0.045572,-0.008967,0.071866,-0.00955
13,-0.090904,-0.057128,-0.128709,0.325344,0.224495,0.091865,-0.153935,-0.1494,0.045038,-0.011061,0.072352,-0.009687
14,-0.09111,-0.056713,-0.128616,0.32508,0.224174,0.091655,-0.153591,-0.149222,0.044755,-0.011062,0.071917,-0.010148
15,-0.086831,-0.056485,-0.129623,0.322871,0.2235,0.08971,-0.156235,-0.148268,0.045587,-0.007128,0.070921,-0.008883
16,-0.088828,-0.056332,-0.128586,0.322585,0.224056,0.091042,-0.155267,-0.147895,0.045227,-0.008502,0.071245,-0.009194
17,-0.09117,-0.056827,-0.127876,0.32369,0.224506,0.092464,-0.153509,-0.147861,0.044167,-0.01088,0.071254,-0.010196
18,-0.090507,-0.056972,-0.128113,0.323283,0.224299,0.092338,-0.153686,-0.147702,0.044322,-0.010384,0.071146,-0.009545
19,-0.090839,-0.056801,-0.128051,0.324732,0.224838,0.092885,-0.153004,-0.148411,0.043754,-0.011191,0.071626,-0.010228
20,-0.090047,-0.056978,-0.12885,0.324974,0.224679,0.09238,-0.153997,-0.14849,0.044361,-0.009928,0.071312,-0.010043
21,-0.089909,-0.057047,-0.128914,0.324827,0.22454,0.092258,-0.153598,-0.148147,0.044487,-0.009369,0.071353,-0.010037
22,-0.09041,-0.057054,-0.128952,0.325382,0.224702,0.092285,-0.153142,-0.14813,0.044274,-0.009451,0.071368,-0.010158
23,-0.090952,-0.056852,-0.128842,0.326215,0.224891,0.092558,-0.152528,-0.148475,0.043978,-0.010308,0.071448,-0.010501
24,-0.089355,-0.05642,-0.129072,0.325088,0.223741,0.091462,-0.153529,-0.148986,0.04477,-0.00867,0.07164,-0.010645
25,-0.08822,-0.056667,-0.129794,0.324436,0.223007,0.090623,-0.154795,-0.148435,0.045492,-0.007539,0.070994,-0.00981
26,-0.087761,-0.05651,-0.129877,0.324012,0.22273,0.090498,-0.154978,-0.148339,0.045617,-0.007256,0.070574,-0.009914
27,-0.087856,-0.056438,-0.129812,0.324012,0.223038,0.090833,-0.154882,-0.148356,0.045593,-0.007402,0.070522,-0.010169
28,-0.08773,-0.056607,-0.130157,0.324283,0.22365,0.090667,-0.155179,-0.148568,0.04574,-0.007305,0.070314,-0.010144
29,-0.088174,-0.056652,-0.129904,0.324552,0.223882,0.091,-0.154735,-0.148537,0.045276,-0.007645,0.070656,-0.010238
30,-0.088115,-0.056684,-0.129825,0.324122,0.223574,0.090996,-0.154554,-0.148221,0.045195,-0.007953,0.070769,-0.009845
31,-0.088092,-0.056915,-0.130405,0.324339,0.223891,0.09066,-0.155563,-0.148566,0.04567,-0.00739,0.070524,-0.009681
32,-0.088221,-0.056967,-0.130374,0.324598,0.223963,0.090788,-0.155358,-0.148511,0.045462,-0.00764,0.070809,-0.009557
33,-0.088791,-0.056833,-0.129916,0.324523,0.223691,0.091171,-0.154675,-0.148256,0.045117,-0.008269,0.071037,-0.009563
34,-0.090275,-0.056753,-0.129104,0.32557,0.22444,0.092419,-0.153593,-0.148419,0.044522,-0.009825,0.071658,-0.010559
35,-0.089817,-0.056678,-0.129194,0.324452,0.223769,0.092084,-0.153692,-0.148045,0.044827,-0.00896,0.071484,-0.009936
36,-0.090422,-0.056532,-0.12887,0.325401,0.224749,0.092141,-0.153338,-0.148544,0.044524,-0.009665,0.071767,-0.010424
37,-0.091055,-0.057092,-0.129222,0.325692,0.225493,0.092414,-0.153511,-0.147944,0.044373,-0.010662,0.071505,-0.010331
38,-0.09107,-0.057193,-0.128835,0.325072,0.22509,0.092258,-0.153939,-0.147835,0.044834,-0.01035,0.071221,-0.009614
39,-0.090383,-0.057165,-0.128715,0.324673,0.225184,0.092086,-0.154404,-0.14845,0.044682,-0.010069,0.071276,-0.009867
40,-0.09096,-0.057025,-0.128064,0.324276,0.225199,0.092279,-0.153853,-0.148398,0.044272,-0.010558,0.071393,-0.009936
41,-0.091499,-0.056647,-0.127144,0.323747,0.224907,0.092867,-0.1527,-0.147905,0.043641,-0.010857,0.071868,-0.010099
42,-0.091132,-0.056599,-0.127451,0.32351,0.22515,0.092572,-0.15341,-0.147638,0.044163,-0.009899,0.071782,-0.009945
