t,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
0,0.094757,-0.070516,-0.260648,0.228594,0.164963,-0.036608,-0.364546,-0.126549,0.17009,0.247866,-0.000576,0.094108
1,0.09431,-0.070682,-0.260101,0.228141,0.164772,-0.036555,-0.363669,-0.12637,0.169609,0.247164,-0.000464,0.094254
2,0.094786,-0.07071,-0.26015,0.227379,0.164291,-0.037075,-0.363949,-0.126511,0.16965,0.247824,-0.000885,0.094524
3,0.096374,-0.070502,-0.261494,0.226948,0.164119,-0.038268,-0.365746,-0.12681,0.170503,0.250093,-0.001635,0.095206
4,0.09491,-0.070188,-0.260771,0.227014,0.164313,-0.037418,-0.364582,-0.126897,0.169924,0.248428,-0.001429,0.094621
5,0.092903,-0.069862,-0.25943,0.227429,0.164519,-0.036003,-0.362496,-0.126697,0.169091,0.245855,-0.000709,0.093728
6,0.093501,-0.069633,-0.259736,0.227763,0.164878,-0.036161,-0.363236,-0.126822,0.169555,0.246372,-0.00071,0.093881
7,0.093199,-0.06938,-0.259518,0.227735,0.164693,-0.036243,-0.363465,-0.126916,0.16962,0.246049,-0.000737,0.094054
8,0.092986,-0.069264,-0.259013,0.226977,0.164115,-0.036565,-0.363374,-0.126734,0.169435,0.245753,-0.000858,0.094299
9,0.093703,-0.069212,-0.259542,0.226852,0.164025,-0.037227,-0.364341,-0.126844,0.169863,0.246604,-0.00105,0.09487
10,0.093838,-0.069212,-0.259829,0.22696,0.164194,-0.037823,-0.365023,-0.127109,0.170095,0.246955,-0.001089,0.094987
11,0.094007,-0.069339,-0.259739,0.22613,0.163411,-0.038269,-0.365109,-0.127008,0.170283,0.247057,-0.001396,0.095149
12,0.093985,-0.069277,-0.259783,0.226267,0.163273,-0.038345,-0.365034,-0.127027,0.170335,0.246862,-0.001497,0.095096
13,0.093491,-0.069286,-0.260057,0.227039,0.163666,-0.037985,-0.364835,-0.127145,0.170269,0.246532,-0.001614,0.094867
14,0.090979,-0.069348,-0.258929,0.227957,0.164246,-0.036126,-0.362088,-0.126977,0.169025,0.243486,-0.001205,0.093701
15,0.08921,-0.0693,-0.257977,0.227955,0.164299,-0.035003,-0.360224,-0.126992,0.168309,0.241629,-0.001272,0.093148
