t,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
0,0.095794,-0.070621,-0.261708,0.228037,0.164447,-0.036905,-0.365879,-0.126449,0.171008,0.249499,-0.000819,0.094613
1,0.094658,-0.070645,-0.260918,0.228483,0.164856,-0.036508,-0.364589,-0.126397,0.17044,0.247974,-0.000439,0.094091
2,0.095445,-0.070949,-0.261109,0.227022,0.16391,-0.037475,-0.365276,-0.126046,0.170844,0.249215,-0.000984,0.094851
3,0.096269,-0.071084,-0.26161,0.226578,0.163757,-0.038141,-0.366064,-0.126205,0.171067,0.25039,-0.001311,0.095294
4,0.097133,-0.070787,-0.262125,0.226615,0.163957,-0.038525,-0.366713,-0.126808,0.171242,0.251126,-0.00184,0.095278
5,0.095601,-0.07057,-0.261319,0.226468,0.163899,-0.037745,-0.365156,-0.126535,0.170628,0.249434,-0.001545,0.094906
6,0.094402,-0.070225,-0.260637,0.22683,0.164231,-0.036843,-0.364,-0.126472,0.170318,0.247819,-0.001103,0.094317
7,0.094635,-0.069866,-0.261008,0.227388,0.164493,-0.036798,-0.364754,-0.126657,0.17073,0.247929,-0.001352,0.094298
8,0.093454,-0.069625,-0.260001,0.227275,0.164421,-0.036196,-0.36373,-0.126591,0.170186,0.246427,-0.000904,0.093906
9,0.093793,-0.069456,-0.259849,0.226511,0.163849,-0.036753,-0.364135,-0.126541,0.170301,0.246893,-0.001014,0.094435
10,0.094307,-0.069389,-0.260332,0.226845,0.164099,-0.037392,-0.365196,-0.126865,0.170678,0.247639,-0.001203,0.094875
11,0.094305,-0.069419,-0.26049,0.226653,0.16391,-0.037683,-0.365564,-0.126912,0.170761,0.24759,-0.001276,0.094956
12,0.095049,-0.069496,-0.260474,0.225604,0.163108,-0.038562,-0.366153,-0.126758,0.171318,0.248233,-0.001618,0.095467
13,0.095767,-0.069462,-0.261027,0.225669,0.162993,-0.039364,-0.367174,-0.126923,0.171774,0.249077,-0.001801,0.095736
14,0.095275,-0.069506,-0.261278,0.226222,0.163191,-0.039196,-0.367279,-0.12718,0.171862,0.248983,-0.002052,0.095509
15,0.09339,-0.069544,-0.260207,0.226433,0.163142,-0.037767,-0.36491,-0.12684,0.170831,0.246505,-0.001852,0.094741
16,0.091017,-0.069534,-0.259205,0.227237,0.164018,-0.035985,-0.362458,-0.12685,0.169655,0.243853,-0.001619,0.093812
