t,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
0,0.096,-0.070381,-0.261297,0.226639,0.16373,-0.037845,-0.366294,-0.126315,0.171468,0.249373,-0.001287,0.095218
1,0.097173,-0.070361,-0.261785,0.225223,0.162757,-0.039082,-0.367782,-0.12623,0.172257,0.250896,-0.001993,0.09615
2,0.097214,-0.070138,-0.26221,0.225568,0.163251,-0.039108,-0.367949,-0.12656,0.172111,0.250902,-0.001948,0.096079
3,0.095967,-0.069986,-0.261748,0.225918,0.16355,-0.038724,-0.367127,-0.12674,0.171623,0.249708,-0.001848,0.095741
4,0.09562,-0.069677,-0.261089,0.225396,0.163016,-0.038723,-0.366414,-0.126393,0.171516,0.249167,-0.001716,0.095608
5,0.096521,-0.069565,-0.261402,0.225315,0.163064,-0.039308,-0.367239,-0.126531,0.17196,0.249879,-0.001767,0.095861
6,0.096139,-0.069632,-0.261819,0.225478,0.16314,-0.039282,-0.367838,-0.12668,0.17227,0.249852,-0.002244,0.095949
7,0.093655,-0.069542,-0.260275,0.225851,0.163429,-0.037591,-0.364931,-0.126291,0.170923,0.246786,-0.001753,0.094975
8,0.092943,-0.069507,-0.260025,0.226266,0.163935,-0.037149,-0.363906,-0.126317,0.170381,0.246133,-0.001686,0.0948
9,0.09317,-0.069447,-0.260371,0.226887,0.16443,-0.036924,-0.36406,-0.126445,0.170504,0.246477,-0.001645,0.094684
10,0.09288,-0.069473,-0.260126,0.227063,0.16463,-0.036507,-0.363704,-0.126395,0.170377,0.246239,-0.001565,0.094247
11,0.092494,-0.069352,-0.260207,0.227047,0.164428,-0.036333,-0.363591,-0.126086,0.170307,0.246038,-0.001539,0.094007
12,0.091235,-0.069248,-0.26019,0.228125,0.164928,-0.035954,-0.363045,-0.126253,0.169943,0.245128,-0.001093,0.09371
13,0.089986,-0.069161,-0.259501,0.228258,0.164998,-0.03517,-0.361706,-0.126423,0.169274,0.243357,-0.000675,0.093429
14,0.088792,-0.069277,-0.258639,0.228117,0.164602,-0.034583,-0.360621,-0.126508,0.168923,0.241761,-0.000533,0.093039
15,0.087922,-0.069314,-0.2583,0.229263,0.16502,-0.033919,-0.360227,-0.126842,0.168572,0.240909,-0.000398,0.092871
16,0.087496,-0.069492,-0.258083,0.229979,0.165614,-0.033341,-0.360405,-0.127327,0.168779,0.240464,-0.000684,0.092609
17,0.086202,-0.069263,-0.257351,0.22962,0.165208,-0.032483,-0.359111,-0.127197,0.168147,0.238805,-0.000478,0.092243
18,0.086397,-0.068867,-0.257741,0.229248,0.164877,-0.032883,-0.359419,-0.127057,0.168139,0.23937,-7.4e-05,0.091907
19,0.087139,-0.068795,-0.259119,0.229041,0.164932,-0.033049,-0.360114,-0.126815,0.168483,0.240258,9.8e-05,0.091973
20,0.088274,-0.069164,-0.259703,0.228208,0.165014,-0.032856,-0.360925,-0.126349,0.169065,0.240809,-0.000407,0.092272
21,0.089593,-0.069309,-0.25956,0.227084,0.164488,-0.034183,-0.362134,-0.125855,0.169376,0.242138,-0.000828,0.092608
22,0.090569,-0.06926,-0.260097,0.227475,0.164672,-0.035338,-0.363428,-0.125992,0.169688,0.243855,-0.001006,0.093147
23,0.091543,-0.068883,-0.26139,0.226801,0.164135,-0.036362,-0.364455,-0.125995,0.170431,0.245795,-0.001419,0.094072
24,0.091112,-0.069035,-0.260701,0.226197,0.163673,-0.036187,-0.363768,-0.125998,0.17042,0.244993,-0.001155,0.094273
25,0.091104,-0.06926,-0.260507,0.227078,0.164237,-0.035801,-0.363851,-0.126377,0.170518,0.24495,-0.000957,0.094126
26,0.091561,-0.069327,-0.260331,0.227404,0.164468,-0.035771,-0.363877,-0.126718,0.170513,0.244892,-0.001,0.094095
27,0.091371,-0.068841,-0.259535,0.22713,0.164502,-0.03538,-0.363087,-0.12685,0.170103,0.244134,-0.001186,0.094348
28,0.091304,-0.068343,-0.258884,0.227506,0.165044,-0.035224,-0.362239,-0.126913,0.169277,0.243049,-0.001194,0.094363
29,0.091289,-0.067977,-0.259094,0.227851,0.16513,-0.03556,-0.361933,-0.126903,0.169085,0.242968,-0.001397,0.094422
30,0.090256,-0.068199,-0.258198,0.227967,0.164631,-0.034933,-0.360685,-0.12664,0.168744,0.241462,-0.001015,0.093855
