t,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
0,-1.0110903329950665,1.0866146824371932,1.0307865857280782,1.0125847977187619,1.0373903586981092,0.9961023620362501,1.035109209027504,-1.0950651464481809,-1.0399787271128949,-1.015458331487542,1.0330733337177418,-1.0216032583180943
1,-1.010109279382853,1.0806110015501555,1.0350072810301056,1.0060540819912105,1.0198381288397718,1.004285405366283,1.0370952475259696,-1.0705766058444874,-1.0402238125374574,-1.0185128149347857,1.0305933063550317,-1.0165842273436865
2,-1.0255467781773406,1.0866146824371932,1.0428390156460896,1.0234342125564702,1.041309788666476,1.0190340999004524,1.0411064582864171,-1.1019407751561396,-1.0460078285571381,-1.0305941007800667,1.0357484194123503,-1.028846408900769
3,-1.037917074873873,1.0676300699025083,1.0508739689247641,1.0410250113710047,1.0534088985688246,1.0334625187661275,1.0455774907681845,-1.1146559789311332,-1.0547655477281805,-1.041919803877872,1.0407642050897414,-1.0414628749972215
4,-1.0307565111525439,1.1007314456040098,1.049560863719689,1.034641763417946,1.0459449406290657,1.0304198999154301,1.043033796139608,-1.0728370865155972,-1.0520369300013819,-1.0384875290568907,1.041349380085437,-1.0367981285621837
5,-1.0327411713335737,1.097486212692098,1.0495452315148666,1.0454279777808706,1.0497280425985327,1.0372577854377865,1.0440708408727968,-1.061440496465419,-1.0524780837655947,-1.0422734809086054,1.045417739579321,-1.0434114399637562
6,-1.0278584562291082,1.0919693167418476,1.041010047681878,1.0457650469797124,1.061895316500331,1.0314768096214617,1.0352755275224494,-1.0740615135457832,-1.0432138547171228,-1.038527719628565,1.0343551456130748,-1.0433327100661185
7,-1.038864299051183,1.0793129083853907,1.0471066075625843,1.046902655525802,1.0664282224637462,1.0435191747568529,1.0428479107629043,-1.0410019837307967,-1.0514814030390396,-1.0454485360708716,1.0456406633872048,-1.0525834730385561
8,-1.0341056252080316,1.0711998261056104,1.043776947935429,1.045701846504929,1.0793793823592177,1.0396278253846454,1.0361169034380557,-1.0188681104928454,-1.0474620020762104,-1.0374827647650344,1.0447489681556685,-1.0567364751389485
9,-1.0301588578025747,1.0942409797801862,1.0364454438737594,1.0486090683449365,1.0843212723193323,1.027377281064733,1.0227527231971496,-1.0226355782780274,-1.036776277565275,-1.0298787086042651,1.0337699706173793,-1.0493949121842268
10,-1.0486410057384148,1.131561158267174,1.0648491600359213,1.0488618702440666,1.0504437645927558,1.0443358777115137,1.0473287266855504,-0.9778027116343468,-1.0562197212472528,-1.0479564277433453,1.0504056597807265,-1.0493752297098171
