t,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
0,-1.0107182092111235,1.1065728648454516,1.0329281977887366,1.014185876413259,1.0329596987338683,0.9959902655522772,1.0351972599954162,-1.0955360799213265,-1.043769381679465,-1.0149037015984375,1.036166401552133,-1.0203632624302994
1,-1.0217014990765954,1.1125765457324892,1.0431047631280694,1.034051892319974,1.0484329266089851,1.0135253584023483,1.0439338727004888,-1.0999628545689188,-1.0524617447372906,-1.0273868931604613,1.0472568609943642,-1.0307556089184848
2,-1.0264263434848424,1.088724083829936,1.0490293687557297,1.0265310358208255,1.043082052652172,1.0243987173477345,1.0444915288305998,-1.100527974736697,-1.0523637105674655,-1.0309477778108003,1.047953497894002,-1.0319562398574609
3,-1.0368796388701529,1.08044873990456,1.0541879963470964,1.0351684340411356,1.0508868305891794,1.032629802028042,1.0460666628121416,-1.1132431785116907,-1.054634835501747,-1.0387286724869362,1.0458357217191037,-1.0400260543653321
4,-1.0435327610679235,1.1078709580102166,1.0574863915646069,1.057351800689885,1.0668372064604457,1.040236349154785,1.050351809917205,-1.1197420604411308,-1.0615789225310248,-1.0466864056784386,1.0547805395104508,-1.0495326895050927
5,-1.0362819855201837,1.1179311800371436,1.054735123515878,1.0492832067426188,1.0515343885839536,1.0404765559061557,1.0467515036736812,-1.0742498869350425,-1.0562360602755572,-1.0431817878284437,1.0524955704796393,-1.044651435851551
6,-1.042890001804749,1.1023540620599663,1.053140638624001,1.0625342396220707,1.08084490834739,1.0493001505731776,1.046663452705769,-1.0747208204081882,-1.0558439235962567,-1.050504509987493,1.048343614557799,-1.0606336050720182
7,-1.0346130667315905,1.0828826645884941,1.0408537256336547,1.0511792209861013,1.0818332863394131,1.0396918805183444,1.0354711963400323,-1.0386473163650574,-1.0438020597360733,-1.037876632367442,1.04207388246106,-1.0530952173732018
8,-1.03452285490518,1.0762299371190747,1.0442615462849212,1.0476189275733396,1.084662092316582,1.0368574408521685,1.0305305586960662,-1.014347149150626,-1.0425602935849556,-1.0326197055924493,1.048928789553495,-1.055870446264933
9,-1.0425404309774084,1.1187424882651213,1.053140638624001,1.062155036773375,1.09454587223681,1.0412452175105422,1.0361462537606931,-1.022447204888768,-1.051857200690036,-1.0402157236388836,1.052690628811538,-1.0583701205149323
10,-1.0554407221541025,1.1412968570029098,1.0663654839036865,1.0730465852609372,1.082787582331711,1.0522627005067515,1.048532089913685,-1.0152890160969203,-1.0618076689272835,-1.0522568189124906,1.0607716168473347,-1.0599840834165064
11,-1.0601655665623495,1.1632021791583163,1.0705236503864246,1.0570568651408985,1.0476490406153118,1.0505171981134565,1.0557033520780947,-0.994756316667671,-1.062738993540622,-1.0554077597317522,1.0568983156853493,-1.0513434771507615
12,-1.052441178925955,1.1377271007998064,1.0508896011295863,1.05189549303364,1.035720340711588,1.0397879632188929,1.0440414905501592,-1.0180204302411784,-1.0453869454815794,-1.0463005761903659,1.0399282408101762,-1.0423879512944652
13,-1.0697505731184593,1.1111161909221285,1.0577052424321194,1.0700129624713641,1.0455018746326412,1.0580276625396516,1.0558207533686446,-1.0832918096194812,-1.0561543651340362,-1.0623366142883939,1.0549198668903783,-1.0577402813338301
