t,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
0,-1.0329215949863946,1.0724979192703754,1.0422918884773087,1.0494306745171116,1.0478194506139367,1.026560578110072,1.0544804219682022,-1.0739673268511534,-1.060696615002599,-1.0358349513263898,1.0604372311355088,-1.047761266808243
1,-1.02467848934814,1.1161463019355915,1.051077187587454,1.023602747155891,1.028665366768528,1.0168402115712656,1.0566327789616132,-1.061440496465419,-1.064977440418295,-1.0293642692868346,1.0602700382795955,-1.034672421325964
2,-1.046024862772512,1.0966749044641202,1.0637080090838913,1.0582576741617704,1.0677233384532936,1.0481471581665978,1.0640388437071227,-1.119082753578723,-1.0754670965895807,-1.0499820325557279,1.0706081298702181,-1.0563625081251693
3,-1.0467014514705903,1.1122520224412977,1.0653962872047023,1.0475978607484124,1.050477846592481,1.0502769913620857,1.0645867163963545,-1.0617230565493054,-1.076659845655786,-1.0514449693646706,1.0686575465512331,-1.0537644215031228
4,-1.0382666457012135,1.1250706924433505,1.0536877657927821,1.0530331015797296,1.0499666165966064,1.0435031609734282,1.0518682432534718,-1.0667149513646732,-1.061840346983892,-1.0443714287500017,1.0582079930566684,-1.047584124538558
5,-1.0416270362350026,1.1065728648454516,1.0575801847935407,1.0676113444296191,1.0664282224637462,1.0513499148515424,1.0552728806794127,-1.0764161809115225,-1.0652061868145535,-1.0514047787929963,1.0634467025419434,-1.0590393246448533
6,-1.044773173681067,1.1054370333262824,1.0515461537321238,1.0685382847264338,1.1020098301765688,1.0475866757467325,1.0426033247409259,-1.028004219871914,-1.0581477265871464,-1.0435515410878466,1.0653415549089578,-1.0681129453476061
7,-1.052328414142942,1.1268555705449015,1.0635204226260238,1.066747604607589,1.0905241962692693,1.054024216683471,1.050361593358084,-1.0031389324897046,-1.0662028675411088,-1.0499820325557279,1.0706359953462037,-1.0704748422767394
8,-1.063830422010274,1.1547645735873444,1.077933315472206,1.0697180269223787,1.0732446224087315,1.0636324867383042,1.0626104613387681,-0.9819469261980475,-1.0773460848445617,-1.061138935252501,1.0763484179232328,-1.0685262773102044
9,-1.0674050656317877,1.162066347639147,1.0764638882189075,1.075806339326451,1.0601571345143601,1.0594528892644515,1.0644790985466839,-1.002762185711186,-1.0754670965895807,-1.064104999442061,1.0719178072415372,-1.0640189906704423
10,-1.0723779925626635,1.1534664804225794,1.0740252642666253,1.0715087070412237,1.0432865446505217,1.0648655480620077,1.071640577270215,-1.0085075740835912,-1.0740946182120292,-1.0687429914132702,1.071193304865914,-1.0655148587255598
11,-1.0859661489157373,1.0463737943294837,1.0781052697252513,1.082442389178641,1.0569534265402167,1.0825607787463258,1.0869320953643113,-1.123603714920945,-1.0799603293732312,-1.0835411599037312,1.0904204832959132,-1.0843116217865771
12,-1.0918863000239227,1.013272418627982,1.0858432111123013,1.1018238681120205,1.0858549623069547,1.0926014209536268,1.0882137261194789,-1.1630679399707418,-1.081741283458387,-1.0902690616020017,1.0982228165718548,-1.0891731929657094
13,-1.112026090270055,1.01002718571607,1.094800464475493,1.1164863782616217,1.0929781002494638,1.1010887261687297,1.0996603519480734,-1.1835064527053614,-1.0904663245728208,-1.1071008730191796,1.1117654379008108,-1.091869691959803
14,-1.1143490448001239,1.0773657686382438,1.0962542595239688,1.1109247364807378,1.0820377783377628,1.0977258316495377,1.1030258556104975,-1.166741221061294,-1.0950902695829048,-1.1071089111335146,1.0996439558471156,-1.1009433126625556
15,-1.0660969941488363,1.1143614238340402,1.0805126292678895,1.064388120215699,1.0590665105231623,1.0665790228884529,1.07715843792605,-1.0768871143846708,-1.0814961980338242,-1.0754869693402103,1.0718899417655516,-1.0760449825346114
16,-1.0886161213165442,1.139187455610167,1.0967232256686386,1.058363008286409,1.0780161023702213,1.087909382410183,1.0866288086970581,-1.0417554772878341,-1.0873782482233303,-1.0865313384362958,1.0809183559848556,-1.082166232075948
17,-1.1150256334982023,1.058867941040345,1.1078220910924883,1.081641849831392,1.0933530022464384,1.1106809824401382,1.103828097762587,-1.0385531296704278,-1.1046976182257646,-1.1056459743245717,1.081169145268725,-1.1018880714342092
18,-1.1075493283844364,1.0353400024289832,1.1041172585495975,1.0730676520858642,1.086298028303378,1.1086632457286234,1.1020964287269794,-1.0235774452243243,-1.1021650688386162,-1.1016590696144857,1.0781596738622905,-1.089074780593662
19,-1.11129311918047,1.0630867438258313,1.1050864552485817,1.1035934814059385,1.1046682261551137,1.1174227852619463,1.108768735406553,-1.0903558117166994,-1.1114456369153922,-1.1081458278827105,1.0915351023353332,-1.1025179106153111
20,-1.102362148365836,1.0343664325554096,1.0925963235955454,1.1086916530384137,1.0992491881988498,1.1093358246324616,1.0990537786135666,-1.097796560592439,-1.1015278467347531,-1.0979936894777933,1.0827853428758845,-1.0988766528495644
21,-1.1008059943602557,1.0231703790093134,1.0915958624869164,1.1055948297740583,1.0945117902370851,1.1073821430546458,1.1029573715243435,-1.06549052433449,-1.099469129168426,-1.0935003835646115,1.0839278273912902,-1.0987585580031076
22,-1.10645550998921,1.0220345474901442,1.091001838703668,1.1172869176088696,1.100033074192524,1.1078145152071133,1.1074186205652317,-1.063889350525788,-1.102949342197217,-1.0941595089400693,1.084345809531073,-1.1011401374066503
23,-1.1125673612285176,1.0548113999004554,1.0927213812341237,1.134835582773549,1.1064745721405347,1.1121862780820624,1.113425653265024,-1.0963837601729938,-1.107785694575255,-1.101048172925037,1.0865750476099134,-1.107891226129089
24,-1.0945588253813323,1.1249084307977546,1.0891259741249895,1.1110932710801587,1.0672802724568693,1.0946351714485665,1.1036324289450044,-1.1445131611287132,-1.0948451841583422,-1.0878817416445508,1.0919252189991304,-1.1107255024440486
25,-1.0817600225093502,1.084829804335641,1.077839522243272,1.0973577012273723,1.0422640846587738,1.0811996071552243,1.0912465927920125,-1.0926162923878118,-1.0830484057227219,-1.078790634331834,1.0739241215124937,-1.0942906363121643
26,-1.0765841189690508,1.1103048826941508,1.076542049243019,1.088425367458076,1.0328233707349692,1.0791978842271344,1.0894562231111296,-1.0835743697033702,-1.0810060271846986,-1.0765158479750714,1.062220621598581,-1.0963376136507463
27,-1.0776553844076748,1.1219877211770333,1.07755814255647,1.088425367458076,1.0433206266502457,1.0845625016744163,1.0903954334355273,-1.0851755435120722,-1.0813981638639991,-1.0776894126679595,1.0607716168473347,-1.101356644625154
28,-1.0762345481417104,1.0945655030713777,1.0721650318927687,1.0941344770134513,1.0641788104819006,1.0819042136259123,1.0874897514944224,-1.105143122773546,-1.0789963267032843,-1.076909715577479,1.0549755978423494,-1.100864582764918
29,-1.08124130450749,1.087263729019575,1.0761199797128165,1.0998014529189726,1.072085834418084,1.0872368035063449,1.0918335992447608,-1.1022233352400286,-1.0865776358364254,-1.0796426744513286,1.0645055906293925,-1.1027147353594056
30,-1.080575992287713,1.0820713563605164,1.0773549238937798,1.0907427182001104,1.0615885785028065,1.0871727483726459,1.0936044020438853,-1.0724603397370784,-1.0879010971290641,-1.0821184136664623,1.0676543894157546,-1.0949795229164947
