t,s1,s2,s3,s4,s5,s6,s7,s8
69,-0.072113,-0.002352,-0.270845,0.223654,-0.06523,0.381703,0.31661,0.049918
70,-0.07228,-0.002065,-0.2713,0.223934,-0.065476,0.382095,0.317207,0.049861
71,-0.07206,-0.00226,-0.271001,0.223564,-0.065425,0.38159,0.316639,0.050023
72,-0.072131,-0.00219,-0.270819,0.223273,-0.065398,0.381624,0.316603,0.049861
73,-0.072291,-0.00228,-0.271271,0.223307,-0.065564,0.382178,0.316931,0.049898
74,-0.071982,-0.002532,-0.271086,0.223059,-0.065667,0.381989,0.316507,0.05011
75,-0.071785,-0.002762,-0.270799,0.222636,-0.065628,0.38187,0.315898,0.050184
76,-0.072074,-0.002859,-0.271456,0.223028,-0.065758,0.382592,0.316463,0.050408
77,-0.071829,-0.003021,-0.271476,0.223171,-0.065639,0.382417,0.316521,0.050669
78,-0.071406,-0.003073,-0.270895,0.222806,-0.06544,0.381547,0.315852,0.050782
79,-0.071609,-0.003045,-0.271073,0.222765,-0.065695,0.381485,0.316233,0.050631
80,-0.071718,-0.002726,-0.271327,0.223221,-0.065779,0.381787,0.316974,0.050409
81,-0.071364,-0.002884,-0.270343,0.223266,-0.065491,0.380838,0.316521,0.050438
82,-0.071296,-0.002727,-0.270201,0.223179,-0.065628,0.38087,0.316572,0.050254
83,-0.07179,-0.002753,-0.270857,0.223306,-0.065848,0.381743,0.317304,0.050338
84,-0.071788,-0.002931,-0.27079,0.223722,-0.065722,0.381626,0.317515,0.05061
85,-0.071612,-0.003148,-0.270251,0.223521,-0.065615,0.380932,0.316961,0.050572
86,-0.071783,-0.003169,-0.27074,0.224082,-0.065564,0.381701,0.317528,0.050277
87,-0.071769,-0.002973,-0.270816,0.224033,-0.065417,0.381972,0.317513,0.050194
88,-0.071657,-0.002808,-0.270166,0.223461,-0.065202,0.381145,0.316767,0.049755
89,-0.071641,-0.002686,-0.270158,0.223476,-0.065124,0.381065,0.316487,0.049686
90,-0.071944,-0.002324,-0.270834,0.223656,-0.065521,0.381662,0.317347,0.049425
91,-0.07136,-0.002322,-0.270812,0.22342,-0.065789,0.381227,0.316839,0.049473
92,-0.071324,-0.002675,-0.271134,0.223119,-0.066097,0.381527,0.316836,0.049778
93,-0.071783,-0.003067,-0.271295,0.22303,-0.066217,0.381799,0.316965,0.050058
94,-0.07147,-0.003204,-0.271108,0.223007,-0.065579,0.381272,0.316788,0.050571
95,-0.071556,-0.003597,-0.271189,0.222997,-0.064958,0.381091,0.316637,0.050902
96,-0.071734,-0.003204,-0.271474,0.223365,-0.065135,0.381696,0.317314,0.050636
97,-0.071648,-0.002779,-0.271221,0.223241,-0.065335,0.381547,0.317077,0.050465
98,-0.071217,-0.002514,-0.270688,0.223012,-0.065264,0.380904,0.31638,0.050329
99,-0.071612,-0.00224,-0.270937,0.22346,-0.06534,0.38139,0.316896,0.050013
100,-0.071664,-0.002475,-0.270927,0.223786,-0.065469,0.381911,0.31697,0.050457
101,-0.071285,-0.003012,-0.270162,0.223445,-0.065298,0.381158,0.315727,0.050984
102,-0.071297,-0.002877,-0.27013,0.223686,-0.065586,0.381149,0.315844,0.050722
103,-0.071907,-0.002615,-0.271018,0.224059,-0.065918,0.382097,0.316594,0.05037
104,-0.07197,-0.00266,-0.270997,0.223823,-0.065701,0.381695,0.316438,0.05006
105,-0.072011,-0.002866,-0.270933,0.223638,-0.065588,0.381417,0.316498,0.050163
