t,s1,s2,s3,s4,s5,s6,s7,s8
0,-0.070634,-0.002255,-0.270196,0.222625,-0.064984,0.381055,0.315933,0.050965
1,-0.070575,-0.002264,-0.270419,0.222856,-0.065073,0.381537,0.31639,0.051035
2,-0.071511,-0.002465,-0.270665,0.223202,-0.065134,0.381777,0.316446,0.050789
3,-0.071704,-0.002347,-0.270459,0.222861,-0.065109,0.381463,0.316016,0.05064
4,-0.071447,-0.00251,-0.270265,0.222614,-0.06495,0.380826,0.315513,0.050708
5,-0.071501,-0.002402,-0.270585,0.222989,-0.065146,0.381372,0.315831,0.050839
6,-0.071555,-0.002316,-0.270499,0.223219,-0.065058,0.381358,0.316039,0.050612
7,-0.071459,-0.002439,-0.270273,0.223097,-0.064971,0.381007,0.315773,0.050555
8,-0.071693,-0.002601,-0.270731,0.223529,-0.065204,0.381458,0.31624,0.050607
9,-0.071779,-0.002438,-0.27122,0.223648,-0.065254,0.381962,0.316819,0.05063
10,-0.071481,-0.002501,-0.270952,0.223285,-0.065168,0.381388,0.316203,0.050572
11,-0.071559,-0.002479,-0.270986,0.223308,-0.065363,0.381359,0.316344,0.050473
12,-0.07184,-0.002046,-0.271333,0.223581,-0.065699,0.381719,0.316979,0.050457
13,-0.071746,-0.002332,-0.270999,0.223308,-0.065914,0.381404,0.316634,0.050652
14,-0.071321,-0.002699,-0.270635,0.223032,-0.065827,0.381236,0.316146,0.050699
15,-0.071178,-0.002643,-0.271083,0.223252,-0.065701,0.381732,0.316582,0.050377
16,-0.071152,-0.002941,-0.27116,0.223236,-0.065482,0.38186,0.316425,0.050471
17,-0.070848,-0.002961,-0.270406,0.222923,-0.065481,0.381098,0.315934,0.050528
18,-0.071425,-0.00265,-0.270474,0.223016,-0.065826,0.381174,0.316783,0.050619
19,-0.071458,-0.00269,-0.270844,0.223659,-0.065858,0.3818,0.317264,0.050922
20,-0.071169,-0.0029,-0.270501,0.223722,-0.065475,0.381489,0.316701,0.050899
21,-0.071159,-0.002912,-0.270186,0.223919,-0.06549,0.381488,0.316408,0.050569
22,-0.071592,-0.002666,-0.270301,0.224057,-0.065549,0.381728,0.316812,0.050022
23,-0.071489,-0.002247,-0.270144,0.223903,-0.065588,0.38125,0.316638,0.04963
24,-0.070921,-0.002096,-0.270506,0.22386,-0.065667,0.38104,0.316429,0.049568
25,-0.071108,-0.00241,-0.271109,0.223815,-0.065915,0.381707,0.316809,0.049785
26,-0.071176,-0.002854,-0.270767,0.223407,-0.065634,0.381516,0.316353,0.050304
