t,s1
0.033,8.3627
0.062,6.2711
0.082,4.5351
0.13,2.1678
0.163,-0.3127
0.197,-2.8226
0.23,-5.1853
0.263,-7.324
0.296,-8.7894
0.33,-9.7711
0.363,-10.2434
0.397,-10.1463
0.429,-9.7127
0.464,-9.0306
0.497,-7.891
0.53,-6.3215
0.564,-4.4226
0.597,-2.4818
0.63,-0.8174
0.663,0.8421
0.697,2.4816
0.73,4.0844
0.763,5.7255
0.797,6.9003
0.831,7.7253
0.863,8.2001
0.896,8.201
0.93,7.9743
0.964,7.3906
0.997,6.4768
1.03,5.2369
1.064,3.6551
1.097,1.9523
1.13,0.3168
1.164,-1.3238
1.197,-2.9676
1.23,-4.4599
1.264,-5.8455
1.297,-6.9036
1.33,-7.5957
1.363,-7.9171
1.396,-7.8598
1.433,-7.6792
1.448,-7.0833
1.497,-6.1339
1.53,-4.8197
1.563,-3.238
1.584,-1.6148
1.63,0.0648
1.664,1.735
1.696,3.3087
1.73,5.744
1.763,6.9331
1.801,7.774
1.814,8.2872
1.864,8.3364
1.897,7.9981
1.93,7.3864
1.964,6.4077
1.997,5.207
2.03,3.7431
2.063,1.1329
2.097,-0.4512
2.13,-2.0961
2.164,-3.746
2.197,-5.2711
2.23,-6.9747
2.264,-8.1012
2.297,-8.8712
2.33,-9.3896
2.363,-9.5314
2.397,-9.5261
2.43,-9.0746
2.463,-8.2769
2.479,-7.1201
2.531,-5.6691
2.563,-3.773
2.6,-2.1043
2.63,-0.4558
2.663,1.1427
2.679,2.4979
2.73,3.9703
2.763,5.0796
2.797,5.8967
2.83,6.3392
2.863,6.3188
2.897,6.0818
2.93,5.3946
2.963,4.3823
2.997,3.1511
3.03,1.7334
3.063,0.1715
3.097,-1.4531
3.13,-3.1064
3.164,-4.7232
3.197,-6.1241
3.23,-7.3999
3.264,-8.3304
3.296,-8.9
3.33,-9.1899
3.364,-9.0489
3.401,-8.7945
3.431,-8.177
3.464,-7.1851
3.482,-5.8638
3.53,-4.4408
3.563,-2.795
3.58,-1.1364
3.631,0.4967
3.663,2.0482
3.697,3.656
3.73,4.939
3.763,5.8988
3.797,6.5195
3.83,6.6624
3.864,6.6094
3.898,6.0726
3.93,5.1896
3.964,4.0926
3.997,2.5763
4.03,0.8732
4.046,-0.7312
4.097,-2.3797
4.129,-4.0226
4.164,-5.5562
4.197,-6.9444
4.23,-8.0182
4.264,-8.7376
4.297,-9.2065
4.33,-9.1599
4.363,-9.103
4.397,-8.6358
4.43,-7.7927
4.464,-6.6014
4.497,-5.0714
4.529,-3.5075
4.564,-1.8387
4.596,-0.1955
