t,s1
9.946,-10.7575
9.998,-9.1372
10.031,-7.3246
10.046,-5.4628
10.097,-3.5315
10.113,-1.5116
10.164,0.5459
10.197,2.5515
10.213,4.5065
10.264,6.3373
10.298,8.0858
10.334,9.6678
10.348,11.1372
10.431,12.5879
10.464,13.5563
10.48,14.2136
10.531,14.5685
10.563,14.6867
10.579,14.5347
10.63,14.1704
10.646,13.4687
10.701,12.4868
10.715,11.1381
10.764,9.5234
10.798,7.8783
10.813,6.1317
10.864,4.2822
10.897,2.3185
10.913,0.3228
10.964,-1.723
10.997,-3.7412
11.013,-5.653
11.064,-7.4834
11.08,-9.2669
11.13,-10.8054
11.146,-12.1892
11.231,-13.3687
11.264,-14.2905
11.297,-14.9596
11.313,-15.3752
11.364,-15.4864
11.379,-15.3244
11.43,-14.8918
11.446,-14.1889
11.497,-13.2504
11.513,-12.0474
11.564,-10.6357
11.579,-9.017
11.631,-7.2255
11.663,-5.3975
11.688,-3.489
11.713,-1.456
11.764,0.5898
11.779,2.5857
11.831,4.5426
11.846,6.4143
11.897,8.1716
11.913,9.7365
11.964,11.1378
11.997,12.2706
12.013,13.4595
12.063,14.1584
12.082,14.6498
12.13,14.9039
12.146,14.9109
12.197,14.6353
12.213,14.1629
12.263,13.4635
12.28,12.4033
12.331,11.2892
12.364,9.7595
12.379,8.1368
12.431,6.3814
12.464,4.5315
12.48,2.5509
12.531,0.5382
12.564,-1.5132
12.579,-3.5626
12.631,-5.4818
12.663,-7.3286
12.68,-9.1174
12.732,-10.661
12.763,-12.3755
12.78,-13.3835
12.83,-14.6408
12.849,-15.3779
12.897,-15.8956
12.913,-16.1254
12.964,-16.1009
12.979,-15.8202
13.031,-15.2686
13.063,-14.4809
13.08,-13.1967
13.131,-12.1721
13.163,-10.4331
13.18,-8.8488
13.213,-7.0744
13.264,-5.2467
13.279,-3.3161
13.331,-1.3298
13.346,0.6656
13.397,2.6279
13.413,4.5752
13.465,6.4008
13.497,8.0957
13.513,9.6435
13.564,10.9752
13.58,12.2668
13.63,13.4476
13.646,14.1592
13.68,14.6503
13.713,14.9044
13.764,14.8874
13.779,14.6642
13.831,14.2208
13.846,13.5338
13.897,12.5433
13.913,11.2205
13.947,9.6375
13.98,8.0322
14.031,6.2773
14.046,4.4247
14.097,2.457
14.113,0.4212
14.163,-1.647
14.18,-3.6918
14.23,-5.628
14.246,-7.4669
14.298,-9.2333
14.313,-10.7945
14.364,-12.188
14.43,-13.3644
14.446,-14.2649
14.498,-14.9169
14.516,-15.2987
14.564,-15.4175
14.579,-15.2477
14.631,-14.7898
14.646,-14.0873
14.698,-13.1321
14.731,-11.9194
14.746,-10.5083
14.798,-8.9067
14.813,-7.1315
14.864,-5.3204
14.882,-3.4213
14.93,-1.4579
14.946,0.5543
14.997,2.5334
15.013,4.4806
15.064,6.2893
15.08,7.9842
15.13,9.532
15.146,11.0075
15.232,12.2581
15.263,13.2094
15.28,13.9181
15.33,14.2897
15.346,14.408
15.397,14.2621
15.413,13.9203
15.464,13.2412
15.48,12.2763
15.531,10.9242
15.546,9.5103
15.598,7.9047
15.631,6.1498
15.649,4.3142
15.68,2.3505
15.713,0.3655
15.765,-1.7028
15.78,-3.7042
15.831,-5.6237
15.847,-7.4626
15.897,-9.2298
15.913,-10.7906
15.964,-12.1868
15.981,-13.5338
16.014,-14.3911
16.064,-15.0729
16.079,-15.4848
16.131,-15.6338
16.146,-15.5279
16.198,-15.1671
16.213,-14.5445
16.264,-13.6856
16.28,-12.6325
16.314,-11.1961
16.364,-9.787
16.38,-8.1879
16.431,-6.3883
16.446,-4.5711
16.497,-2.6734
16.513,-0.6548
16.565,1.3406
16.579,3.3204
16.63,5.252
16.646,7.0622
16.698,8.742
16.716,10.292
16.764,11.9232
16.78,13.0363
16.831,14.257
16.846,14.9368
16.898,15.4134
16.913,15.6341
16.964,15.6171
16.98,15.3705
17.031,14.9267
17.046,14.1615
17.08,12.8282
17.132,11.6842
17.164,10.1035
