t,s1
11.697,12.7406
11.73,11.9155
11.763,10.7745
11.797,9.2999
11.83,7.8994
11.864,5.9568
11.897,3.8901
11.932,1.6651
11.964,-0.6432
11.997,-2.945
12.031,-5.1558
12.068,-7.1837
12.097,-8.8804
12.165,-10.289
12.198,-11.5351
12.231,-12.3947
12.264,-12.9541
12.297,-13.144
12.331,-12.9156
12.364,-12.261
12.397,-11.2696
12.431,-9.9622
12.465,-8.5254
12.497,-6.8078
12.53,-4.7675
12.564,-2.6429
12.597,-0.4097
12.631,1.8643
12.665,4.0889
12.697,6.1779
12.731,8.0985
12.798,9.6738
12.83,11.0389
12.865,12.0394
12.897,12.6645
12.931,12.9015
12.964,12.7716
12.998,12.3219
13.03,11.404
13.064,10.1273
13.1,8.5751
13.132,6.7793
13.163,4.7234
13.197,2.5164
13.231,0.2297
13.268,-2.0525
13.298,-4.3439
13.331,-6.5819
13.364,-8.526
13.431,-9.9457
13.464,-11.3879
13.498,-12.5068
13.531,-13.225
13.564,-13.5318
13.597,-13.4279
13.631,-12.9252
13.665,-12.0132
13.697,-10.7593
13.731,-9.2252
13.767,-7.7023
13.797,-5.686
13.831,-3.4658
13.864,-1.2196
13.897,1.0561
13.931,3.2722
13.964,5.362
13.997,7.3309
14.031,8.8868
14.064,10.2211
14.097,11.4244
14.13,12.2489
14.165,12.7728
14.198,12.9744
14.231,12.7548
14.264,12.1976
14.298,11.3279
14.331,10.1099
14.364,8.7903
14.398,7.1755
14.431,5.1785
14.464,3.0735
14.498,0.8462
14.531,-1.4397
14.563,-3.6822
14.601,-5.8521
14.63,-7.8542
14.664,-9.4687
14.731,-10.9076
14.765,-12.1236
14.798,-12.9754
14.831,-13.4637
14.864,-13.5663
14.897,-13.2342
14.931,-12.5232
14.964,-11.4271
14.997,-10.0576
15.031,-8.5159
15.064,-6.6477
15.097,-4.4879
15.131,-2.2213
15.164,0.109
15.198,2.4049
15.231,4.582
15.264,6.5473
15.297,8.3856
15.365,10.021
15.398,11.1729
15.431,12.0641
15.465,12.5608
15.497,12.719
15.531,12.4536
15.564,11.8346
15.598,10.8384
15.631,9.5826
15.664,7.9368
15.697,6.0199
15.731,4.04
15.764,1.8307
15.797,-0.4651
15.831,-2.7965
15.864,-5.017
15.898,-7.1396
15.931,-9.0654
15.998,-10.7455
16.031,-12.1332
16.064,-13.1528
16.098,-13.7896
16.131,-13.9962
16.164,-13.7492
16.198,-13.1124
16.231,-12.1171
16.264,-10.7466
16.298,-9.0863
16.331,-7.1397
16.364,-4.9702
16.398,-2.7119
16.434,-0.4073
16.465,1.8929
16.495,4.1132
16.515,6.198
16.564,8.0787
16.598,9.6378
16.631,11.0574
16.664,12.0675
16.697,12.8022
16.73,13.2203
16.765,13.3005
16.797,12.9917
16.831,12.3363
16.864,11.329
16.897,10.0387
16.931,8.5686
16.964,6.7059
16.997,4.7808
17.031,2.6302
17.068,0.3972
17.097,-1.8875
17.132,-4.1114
17.164,-6.2626
17.197,-8.15
17.23,-9.5292
17.264,-10.8766
17.297,-11.9811
17.33,-12.8702
17.364,-13.3972
17.398,-13.573
17.43,-13.3316
17.465,-12.7412
17.497,-11.7966
17.531,-10.6165
17.565,-9.4356
17.597,-7.7931
17.631,-5.8496
17.664,-3.6948
17.698,-1.4629
17.731,0.8339
17.763,3.037
17.798,5.1578
17.834,7.0527
17.864,8.768
17.897,10.1987
17.931,11.3532
17.965,12.2478
17.997,12.7956
18.031,13.0114
18.064,12.8309
18.097,12.3218
18.131,11.4528
18.164,10.3383
18.197,8.9035
18.231,7.2438
18.264,5.3686
18.297,3.2687
18.331,1.0694
18.364,-1.2566
18.397,-3.5364
18.431,-5.743
18.464,-7.7688
18.498,-9.3934
18.565,-10.7988
18.598,-12.0636
18.631,-13.0223
18.664,-13.5929
18.698,-13.6917
18.731,-13.3139
18.764,-12.5716
18.801,-11.4673
18.83,-10.0582
18.864,-8.5367
18.898,-6.7349
18.931,-4.5879
18.964,-2.308
18.997,0.0215
19.031,2.2788
19.064,4.4198
19.097,6.4001
19.131,8.2522
19.198,9.8335
19.231,11.056
19.264,11.9615
19.297,12.5125
19.331,12.6556
19.364,12.4244
19.397,11.7978
19.432,10.8333
19.466,9.5438
19.485,7.8994
19.531,6.0368
19.564,4.0223
19.597,1.8541
19.631,-0.3969
19.664,-2.6376
19.698,-4.8172
19.731,-6.9077
19.763,-8.7833
19.831,-10.2508
19.865,-11.5815
19.897,-12.5893
19.931,-13.2352
19.965,-13.4977
19.998,-13.3729
20.03,-12.8346
20.064,-11.9333
20.097,-10.6657
20.13,-9.1128
20.165,-7.454
20.197,-5.4318
20.231,-3.2625
20.264,-1.0081
20.297,1.2393
20.331,3.4433
20.365,5.5384
20.398,7.3821
20.431,8.9156
20.464,10.35
20.498,11.4546
20.531,12.2152
20.564,12.6685
