t,s1
11.463,-13.2863
11.497,-13.5397
11.53,-13.6634
11.564,-13.6038
11.597,-13.2992
11.631,-12.7265
11.664,-11.6223
11.697,-10.6334
11.73,-9.4366
11.764,-8.0667
11.8,-6.5447
11.83,-4.5707
11.864,-2.4385
11.897,-0.2329
11.931,1.7804
11.964,3.6825
11.997,5.2992
12.031,6.7534
12.064,8.0321
12.097,9.1133
12.13,9.8559
12.163,10.7871
12.197,11.1909
12.23,11.3734
12.264,11.495
12.297,11.4453
12.331,11.394
12.364,11.2818
12.397,11.161
12.43,10.7945
12.463,10.3974
12.497,9.2924
12.53,8.2821
12.567,7.0995
12.597,5.7337
12.631,4.205
12.664,2.5297
12.697,0.6409
12.73,-1.485
12.764,-3.5873
12.798,-5.7152
12.831,-7.5545
12.863,-8.933
12.898,-10.163
12.93,-11.2104
12.963,-12.0573
12.997,-13.0889
13.03,-13.5223
13.063,-13.7511
13.097,-13.7422
13.13,-13.4906
13.163,-13.1761
13.197,-13.2703
13.23,-13.1748
13.263,-12.9304
13.297,-12.4544
13.333,-11.3604
13.364,-10.4535
13.397,-9.3069
13.43,-7.9776
13.464,-6.4963
13.497,-4.8473
13.53,-2.8179
13.564,-0.73
13.597,1.3384
13.631,3.3375
13.664,5.1642
13.7,6.6656
13.73,7.9713
13.764,9.0847
13.784,9.9953
13.865,10.6579
13.897,11.0827
13.931,11.2686
13.964,11.3136
13.997,11.1447
14.03,10.9961
14.064,10.9835
14.098,10.7398
14.13,10.2791
14.164,9.5636
14.197,8.615
14.23,7.4732
14.263,6.1606
14.298,4.6627
14.33,3.0293
14.363,1.1514
14.397,-0.9455
14.43,-3.0765
14.464,-5.1887
14.497,-7.0649
14.53,-8.4702
14.567,-9.7502
14.597,-10.842
14.631,-11.7282
14.664,-12.5649
14.696,-13.2657
14.73,-13.538
14.764,-13.5714
14.797,-13.3793
14.831,-13.1002
14.864,-13.2379
14.896,-13.2658
14.93,-13.0929
14.964,-12.6632
14.997,-11.8764
15.03,-10.8034
15.064,-9.7246
15.097,-8.4484
15.131,-7.0202
15.164,-5.457
15.197,-3.4686
15.23,-1.3067
15.264,0.8729
15.297,2.8462
15.329,4.757
15.364,6.2923
15.397,7.6475
15.431,8.8141
15.464,9.7926
15.53,10.5422
15.564,11.0195
15.597,11.2726
15.63,11.2725
15.664,11.1842
15.697,11.0125
15.73,11.0546
15.764,10.8725
15.796,10.4601
15.831,9.8039
15.863,8.9181
15.897,7.835
15.931,6.5665
15.964,5.1312
15.996,3.5427
16.031,1.7037
16.064,-0.3964
16.097,-2.5267
16.12,-4.6455
16.164,-6.5583
16.197,-8.2337
16.231,-9.5459
16.264,-10.7163
16.297,-11.6685
16.33,-12.2955
16.364,-13.0196
16.397,-13.3349
16.431,-13.43
16.464,-13.2886
16.497,-13.2375
16.53,-13.1173
16.564,-13.2182
16.597,-13.0783
16.631,-12.7106
16.664,-12.2357
16.697,-11.2144
16.732,-10.1763
16.764,-8.9507
16.797,-7.5544
16.831,-5.8416
16.864,-3.9263
16.898,-1.7831
16.93,0.3968
16.963,2.4888
16.998,4.4439
17.031,5.9819
17.064,7.3606
17.098,8.5788
17.131,9.5836
17.166,10.6254
17.197,11.5097
17.23,11.8627
17.264,11.9988
17.297,11.9438
17.33,11.7418
17.364,11.7326
17.397,11.6703
17.431,11.4892
17.463,11.1
17.497,10.3045
17.53,9.1097
17.564,8.0764
17.597,6.8406
17.63,5.4512
17.664,3.9106
17.697,2.1595
17.73,0.1832
17.764,-1.9341
17.798,-4.037
17.82,-6.0128
17.864,-7.4924
17.897,-8.8307
17.93,-10.0072
17.964,-11.0051
17.996,-11.7761
18.031,-13.0844
18.064,-13.4625
18.097,-13.608
18.131,-13.5259
18.167,-13.354
18.197,-13.5795
18.231,-13.6194
18.264,-13.5567
18.296,-13.2568
18.331,-12.7358
18.364,-11.2801
18.397,-10.294
18.431,-9.1179
18.464,-7.7745
18.497,-6.2789
18.53,-4.2881
18.564,-2.2669
18.597,-0.1033
18.63,2.0262
18.664,3.9943
18.697,5.5897
18.731,7.0029
18.764,8.2732
18.797,9.3371
18.83,10.386
18.864,12.378
18.897,12.777
18.935,12.9841
18.963,12.9505
18.997,12.7991
19.031,12.7252
19.064,12.6324
19.097,12.4828
19.13,12.1336
19.164,11.4302
19.197,9.2145
19.231,8.2338
19.264,7.0391
19.297,5.703
19.33,4.1988
19.364,2.5647
19.397,0.6989
19.43,-1.4058
19.464,-3.5
19.497,-5.5976
19.53,-7.4323
19.564,-8.9839
19.597,-10.2322
19.63,-11.2936
19.664,-12.127
19.73,-12.7336
19.764,-13.1739
19.797,-13.3218
19.831,-13.224
19.864,-13.1582
19.897,-13.0387
19.932,-12.9273
19.962,-12.712
19.997,-12.2475
20.03,-11.5763
20.063,-10.6578
20.097,-9.484
20.131,-8.1664
20.164,-6.7115
20.197,-4.8267
20.231,-2.7756
20.264,-0.6165
20.297,1.5376
20.331,3.5379
20.367,5.4269
20.397,6.875
20.431,8.138
20.464,9.2217
20.497,10.2736
20.565,10.9311
20.597,11.3322
20.631,11.522
20.664,11.4622
20.697,11.2615
20.73,10.8708
20.764,10.8538
20.797,10.615
20.831,10.1592
20.864,9.3041
20.897,8.3728
20.931,7.2397
20.964,5.9482
20.997,4.489
21.031,2.8767
21.064,1.1934
21.097,-0.8726
21.13,-2.9659
21.163,-5.0405
21.197,-6.901
21.231,-8.3011
21.264,-9.5456
21.297,-10.6234
21.331,-11.5082
21.364,-12.3687
21.397,-13.0666
21.431,-13.3391
21.464,-13.38
21.497,-13.2043
21.53,-12.9339
21.564,-13.0981
21.597,-13.1673
21.63,-12.9955
21.664,-12.5952
21.697,-11.787
21.73,-10.7421
21.765,-9.6721
21.797,-8.4012
21.83,-6.9818
21.864,-5.4274
21.897,-3.4175
21.93,-1.2748
21.965,0.8546
21.997,2.8423
22.03,4.6795
22.063,6.1974
22.097,7.5352
22.13,8.672
22.164,9.6332
22.197,10.6258
22.23,11.0349
22.263,11.339
22.298,11.4158
22.331,11.3944
22.353,11.2391
22.397,11.1091
22.43,11.0197
22.463,10.7992
22.497,10.3695
22.531,9.462
22.564,8.6579
22.598,7.5863
22.631,6.3352
22.664,4.9169
22.697,3.3371
22.735,1.6395
22.764,-0.3651
22.796,-2.4736
22.831,-4.5798
22.864,-6.5249
22.897,-8.001
22.931,-9.3132
22.964,-10.4552
22.997,-11.4189
23.03,-11.9823
23.064,-12.7582
23.097,-13.0807
23.131,-13.1772
23.164,-13.0483
23.197,-12.7691
23.231,-12.646
23.264,-12.6307
23.297,-12.4941
23.331,-12.116
23.364,-11.6897
23.397,-10.654
23.431,-9.6248
23.464,-8.4104
23.497,-7.014
23.53,-5.4952
23.564,-3.8071
23.597,-1.7925
23.631,0.3372
23.664,2.4532
23.697,4.3391
23.731,5.8809
23.764,7.2508
23.797,8.4502
23.831,9.4522
23.864,10.5833
23.897,11.5076
23.931,11.8701
23.964,12.0056
23.997,11.9108
24.031,11.7678
24.064,11.6639
24.097,11.6498
24.13,11.4719
24.164,11.0882
24.197,10.191
24.231,8.9811
24.264,7.9502
24.297,6.7397
24.33,5.3526
24.364,3.807
24.385,2.1594
24.431,0.1561
24.464,-1.9203
24.497,-4.0134
24.532,-6.0919
24.564,-7.5794
24.598,-8.9058
24.631,-10.0708
24.664,-11.0653
24.701,-11.9395
24.73,-13.2986
24.763,-13.6893
24.798,-13.8664
24.83,-13.7969
24.864,-13.5032
24.898,-13.4446
24.93,-13.399
24.964,-13.3391
24.998,-13.0289
25.031,-12.4047
25.063,-10.9106
25.097,-9.9233
25.131,-8.7408
25.164,-7.3974
25.197,-5.896
25.231,-4.2063
25.264,-2.292
25.297,-0.1584
25.33,1.9539
25.364,3.8265
25.397,5.4171
25.431,6.8117
25.463,8.0431
25.497,9.0897
25.53,9.8262
25.598,10.3731
25.631,10.7443
25.664,10.8885
25.697,10.7868
25.731,10.6319
25.763,10.4676
25.798,10.4176
25.833,10.1167
25.864,9.6533
25.898,8.9911
25.931,8.0102
25.964,6.8323
25.998,5.4862
26.03,3.9857
26.064,2.3557
26.097,0.6569
26.131,-1.4441
26.164,-3.5314
26.197,-5.5485
26.231,-7.3595
26.264,-8.9544
26.297,-10.1606
26.331,-11.196
26.364,-12.034
26.431,-12.6472
26.465,-13.068
26.498,-13.226
26.531,-13.1281
26.564,-12.8931
26.601,-12.7373
26.63,-12.541
26.65,-12.3427
26.698,-11.8908
26.731,-11.2276
26.764,-10.3398
26.797,-9.1979
26.83,-7.8862
26.865,-6.4428
26.898,-4.8349
26.93,-2.8564
26.964,-0.7522
26.997,1.3681
27.035,3.327
27.063,5.1493
27.097,6.6261
27.131,7.8896
27.164,8.9681
27.197,10.0018
27.264,10.8014
27.298,11.2101
27.331,11.4162
27.364,11.3655
27.397,11.1888
27.431,10.8687
27.464,10.8734
27.498,10.637
27.531,10.201
27.564,9.3648
27.598,8.28
27.631,7.1766
27.664,5.8931
27.697,4.4461
27.731,2.8363
27.764,1.1492
27.797,-0.9425
27.831,-3.0264
27.864,-5.0743
27.897,-6.8922
27.931,-8.2742
27.964,-9.5372
27.997,-10.6296
28.031,-11.521
28.064,-12.6026
28.097,-13.3841
28.131,-13.6417
28.167,-13.6827
28.197,-13.5271
28.231,-13.294
28.264,-13.4059
28.297,-13.4563
28.33,-13.2694
28.364,-12.85
28.397,-11.8058
28.43,-10.6456
28.464,-9.5664
28.497,-8.3079
28.53,-6.8966
28.565,-5.3367
28.597,-3.3834
28.63,-1.2658
28.664,0.8546
28.697,2.9084
28.731,4.6937
28.764,6.1752
28.797,7.4841
28.83,8.6073
28.87,9.7534
28.883,10.7943
28.931,11.3441
28.964,11.6433
28.998,11.7118
29.031,11.5944
29.064,11.4736
29.098,11.3178
29.131,11.2192
29.163,10.9966
29.201,10.3688
29.23,9.4024
29.265,8.4552
29.298,7.4012
29.33,6.1674
29.364,4.7528
29.397,3.1903
29.431,1.5359
29.464,-0.433
29.498,-2.5007
29.531,-4.5772
29.564,-6.4527
29.598,-7.8791
29.63,-9.1652
29.664,-10.2833
29.697,-11.2091
29.73,-12.0223
29.764,-12.9582
29.797,-13.2633
29.83,-13.3484
29.863,-13.2105
29.898,-12.9727
29.931,-13.196
29.964,-13.3152
29.998,-13.1939
30.031,-12.84
30.064,-12.1664
30.098,-10.9708
30.131,-9.968
30.164,-8.7776
30.197,-7.4201
30.231,-5.9313
30.264,-3.9215
30.296,-1.7988
30.33,0.3099
30.364,2.3844
30.397,4.2113
30.431,5.7357
30.464,7.0796
30.497,8.256
30.519,9.4222
30.564,10.4047
30.597,11.1795
30.631,11.5104
30.664,11.6323
30.697,11.539
30.731,11.4096
30.764,11.2971
30.797,11.27
30.834,11.0902
30.864,10.5298
30.897,9.7936
30.931,8.696
30.964,7.6844
30.997,6.4879
31.031,5.1293
31.064,3.6337
31.097,1.9995
31.131,0.0227
31.164,-2.0414
31.197,-4.097
31.231,-6.0556
31.264,-7.493
31.297,-8.7982
31.332,-9.9511
31.364,-10.919
31.397,-11.7286
31.431,-12.7327
31.464,-13.102
31.496,-13.2488
31.531,-13.1831
31.564,-12.9859
31.597,-13.2108
31.631,-13.3049
31.664,-13.2451
31.697,-12.9592
31.731,-12.4113
31.764,-11.2452
31.797,-10.2792
31.831,-9.1267
31.864,-7.8046
31.898,-6.283
31.93,-4.4099
31.965,-2.3672
31.997,-0.2493
32.031,1.851
32.064,3.5308
32.097,5.0991
32.131,6.4888
32.164,7.7097
32.197,8.7513
32.231,9.4309
32.264,9.959
32.297,10.3359
32.331,10.5336
32.364,10.4998
32.397,10.6253
32.431,10.5553
32.464,10.5246
32.497,10.4118
32.532,10.0849
32.566,9.6803
32.583,8.9895
32.631,8.0187
32.664,6.8458
32.697,5.5099
32.73,4.0035
32.764,2.3808
32.797,0.4751
32.831,-1.5884
32.868,-3.6702
32.897,-5.7331
32.93,-7.5235
32.964,-8.8694
32.997,-10.0631
33.031,-11.0773
33.064,-11.9272
33.13,-12.577
33.147,-12.9676
33.198,-13.1447
33.231,-13.0381
33.264,-12.9712
33.298,-12.8282
33.331,-12.8684
33.364,-12.6664
33.397,-12.2234
33.431,-11.5228
33.464,-10.576
33.497,-9.4518
33.531,-8.1462
33.564,-6.7125
33.597,-4.8611
33.631,-2.8669
33.664,-0.7654
33.697,1.2878
33.731,2.9997
33.764,4.6594
33.797,6.1064
33.831,7.3684
33.863,8.4509
33.897,9.3308
33.965,9.975
33.998,10.3689
34.031,10.5606
34.064,10.5648
34.098,10.6351
34.131,10.458
34.164,10.4552
34.198,10.205
34.23,9.7753
34.264,9.0798
34.298,8.162
34.331,7.0512
34.364,5.7733
34.398,4.324
34.431,2.729
34.464,1.0621
34.497,-0.976
34.531,-3.0277
34.564,-5.1071
34.602,-6.9314
34.631,-8.3356
34.646,-9.5563
34.698,-10.6193
34.733,-11.4844
34.764,-12.3393
34.797,-12.7777
34.831,-13.0399
34.864,-13.08
34.897,-12.8729
34.931,-12.5964
34.964,-12.6089
34.998,-12.6517
35.03,-12.4573
35.065,-12.0532
35.097,-11.2357
35.13,-10.4141
35.146,-9.3988
35.198,-8.158
35.23,-6.765
35.246,-5.2406
35.297,-3.3661
35.33,-1.2736
35.364,0.8057
35.396,2.7825
35.413,4.5838
35.465,6.0406
35.497,7.4083
35.531,8.5494
35.564,9.4702
35.598,10.3055
35.631,11.0449
35.664,11.3354
35.697,11.4112
35.731,11.3621
35.764,11.2104
35.797,11.072
35.831,11.0354
35.864,10.7949
35.897,10.3907
35.931,9.6406
35.964,8.4928
35.998,7.4472
36.031,6.222
36.065,4.8299
36.097,3.2922
36.13,1.6378
36.149,-0.3963
36.197,-2.4475
36.232,-4.5088
36.265,-6.3607
36.298,-7.7563
36.318,-9.0333
36.364,-10.1534
36.398,-11.0754
36.431,-11.6385
36.464,-12.539
36.48,-12.8601
36.531,-12.9743
36.564,-12.8401
36.584,-12.6154
36.63,-12.8039
36.646,-12.8189
36.698,-12.6752
36.73,-12.3105
36.747,-11.8969
36.798,-10.7347
36.83,-9.732
36.847,-8.5167
36.897,-7.1562
36.916,-5.6638
36.964,-3.7334
36.997,-1.7361
37.031,0.3364
37.064,2.2576
37.097,4.0562
37.131,5.5701
37.164,6.9139
37.198,8.0693
37.214,9.0459
37.264,9.594
37.28,10.343
37.331,10.692
37.365,10.8383
37.398,10.8753
37.43,10.7725
37.446,10.6687
37.498,10.5999
37.531,10.4412
37.546,10.0684
37.598,9.7417
37.63,8.7082
37.649,7.7033
37.698,6.5105
37.73,5.1581
37.747,3.6615
37.798,2.0398
37.831,0.133
37.864,-1.931
37.898,-3.9837
37.931,-5.8931
37.946,-7.5362
37.997,-8.845
38.013,-9.9927
38.065,-10.9903
38.097,-11.7472
38.131,-12.6471
38.163,-13.0504
38.18,-13.1921
38.232,-13.1213
38.264,-12.9434
38.28,-12.6945
38.331,-12.7527
38.364,-12.6726
38.384,-12.3309
38.431,-11.8231
38.447,-10.7612
38.497,-9.777
38.513,-8.6299
38.565,-7.3257
38.597,-5.8888
38.613,-4.2825
38.664,-2.2969
38.697,-0.2168
38.716,1.8459
38.765,3.6573
38.798,5.3989
38.83,6.7761
38.847,7.9761
38.898,9.0093
38.913,9.7255
38.998,10.3115
39.031,10.6632
39.067,10.7916
39.081,10.6763
39.131,10.5501
39.164,10.1936
39.18,10.1238
39.231,9.8392
39.264,9.3497
39.297,8.7176
39.313,7.7591
39.365,6.616
39.397,5.3021
39.413,3.8379
39.465,2.2277
39.497,0.5586
39.513,-1.4799
39.564,-3.5224
39.58,-5.4887
39.631,-7.1554
39.664,-8.496
39.68,-9.6758
39.731,-10.6769
39.766,-11.4836
39.831,-12.064
39.865,-12.4586
39.897,-12.6064
39.913,-12.5117
39.964,-12.2438
39.98,-12.1075
40.031,-12.0645
40.046,-11.8638
40.102,-11.4347
40.116,-10.7897
40.164,-9.9123
40.186,-8.8121
40.231,-7.5483
40.264,-6.143
40.297,-4.5916
40.313,-2.7392
40.365,-0.7384
40.398,1.3283
40.414,3.2312
40.465,4.9897
40.498,6.4156
40.513,7.6564
40.565,8.7301
40.598,9.6121
40.664,10.2602
40.68,10.6578
40.731,10.8322
40.747,10.7892
40.798,10.6386
40.831,10.3584
40.847,10.3643
40.901,10.1229
40.916,9.7018
40.964,9.0026
40.98,8.0873
41.032,6.9851
41.064,5.7362
41.08,4.308
41.131,2.7428
41.147,1.0773
41.198,-0.9608
41.231,-2.9875
41.247,-5.0369
41.298,-6.7794
41.334,-8.137
41.349,-9.3489
41.398,-10.4457
41.431,-11.3056
41.464,-12.04
41.498,-12.5043
41.531,-12.7794
41.564,-12.8144
41.597,-12.6286
41.631,-12.4037
41.664,-12.5197
41.68,-12.4936
41.731,-12.2772
41.764,-11.8626
41.78,-11.1781
41.831,-10.3417
41.864,-9.2729
41.88,-8.0498
41.931,-6.7052
41.964,-5.1983
41.98,-3.2982
42.031,-1.2833
42.046,0.7835
42.098,2.6968
42.113,4.4683
42.165,5.9266
42.198,7.212
42.213,8.3179
42.265,9.2696
42.298,10.1151
42.313,10.6336
42.365,10.9155
42.397,10.9951
42.413,10.9728
42.465,10.8336
42.498,10.6779
42.513,10.6583
42.564,10.453
42.586,10.0574
42.631,9.297
42.647,8.4083
42.697,7.3714
42.713,6.1554
42.765,4.7719
42.798,3.2516
42.831,1.6269
42.846,-0.3824
42.899,-2.425
42.93,-4.4738
42.947,-6.3091
42.997,-7.7189
43.013,-8.9784
43.065,-10.1184
43.098,-11.0228
43.113,-11.6487
43.165,-12.5336
43.197,-12.8628
43.213,-12.9789
43.265,-12.8485
43.297,-12.6228
43.313,-12.6961
43.364,-12.6964
43.38,-12.5208
43.432,-12.1737
43.464,-11.6973
43.48,-10.5401
43.531,-9.5169
43.565,-8.3084
43.58,-6.969
43.631,-5.4942
43.664,-3.6885
43.68,-1.7234
43.731,0.3399
43.747,2.3466
43.797,4.1436
43.831,5.6257
43.864,6.9486
43.88,8.0955
43.931,9.067
43.947,9.8415
43.998,10.7651
44.031,11.1055
44.046,11.2312
44.098,11.1826
44.113,11.0814
44.164,10.9776
44.18,10.9592
44.23,10.7968
44.247,10.4315
44.297,9.8537
44.313,8.6694
44.348,7.6732
44.38,6.4977
44.431,5.1453
44.447,3.6487
44.497,2.0481
44.514,0.0996
44.567,-1.9394
44.581,-3.9823
44.631,-5.8454
44.647,-7.4743
44.698,-8.7656
44.714,-9.9033
44.764,-10.8701
44.78,-11.708
44.831,-12.914
44.846,-13.2675
44.897,-13.3979
44.913,-13.3007
44.967,-13.1354
44.981,-12.8827
45.014,-12.9445
45.064,-12.8745
45.08,-12.5635
45.13,-11.9623
45.147,-10.5943
45.198,-9.6587
45.231,-8.5354
45.247,-7.2577
45.297,-5.8316
45.313,-4.2444
45.364,-2.2728
45.38,-0.1959
45.431,1.8457
45.446,3.6955
45.498,5.3897
45.513,6.7484
45.565,7.9397
45.58,8.9642
45.631,9.8549
45.698,10.4292
45.731,10.7809
45.747,10.9091
45.798,10.815
45.813,10.6205
45.864,10.2874
45.88,10.2349
45.931,9.9465
45.947,9.4657
45.998,8.6612
46.013,7.7143
46.065,6.5712
46.08,5.2607
46.131,3.8089
46.146,2.2285
46.198,0.5711
46.213,-1.455
46.265,-3.4724
46.286,-5.3684
46.331,-7.0406
46.347,-8.3637
46.383,-9.526
46.431,-10.512
46.447,-11.3136
46.533,-11.8976
46.564,-12.2747
46.58,-12.4173
46.631,-12.3264
46.647,-12.1201
46.697,-12.0543
46.713,-12.117
46.764,-11.9339
46.78,-11.5073
46.832,-10.8674
46.864,-9.9974
46.88,-8.9148
46.931,-7.6686
