t,s1
0.001,17.985
0.032,16.993
0.064,16.0275
0.098,14.0492
0.131,11.9884
0.164,9.5542
0.198,6.4208
0.23,3.6325
0.264,0.6944
0.298,-2.862
0.331,-6.19
0.364,-8.8256
0.398,-11.2264
0.431,-13.3675
0.464,-15.192
0.498,-16.6154
0.531,-18.5396
0.564,-18.5513
0.598,-18.197
0.631,-17.4803
0.664,-16.672
0.697,-15.9895
0.724,-15.0579
0.764,-14.0991
0.798,-12.9538
0.831,-11.5351
0.864,-9.0667
0.897,-7.9392
0.931,-6.5444
0.964,-4.949
0.998,-3.185
1.031,-1.2778
1.064,0.8222
1.098,3.1575
1.131,5.4955
1.164,7.8703
1.198,10.1467
1.231,11.6977
1.264,12.9948
1.298,14.2625
1.331,16.2404
1.364,16.9979
1.397,17.1392
1.431,17.1416
1.464,17.3785
1.498,16.6951
1.534,15.7407
1.564,15.543
1.597,15.0053
1.631,13.9978
1.664,11.7737
1.697,10.2561
1.731,8.7829
1.764,7.0267
1.797,4.7001
1.831,2.7938
1.864,0.8477
1.897,-1.2496
1.931,-3.1676
1.964,-4.9267
1.998,-6.5237
2.031,-7.9041
2.064,-9.0508
2.131,-10.3639
2.164,-11.0066
2.197,-11.3708
2.231,-11.49
2.264,-11.6371
2.298,-11.5547
2.33,-11.2713
2.364,-11.0317
2.397,-10.5245
2.432,-9.7515
2.461,-8.3538
2.497,-7.1147
2.531,-5.6521
2.564,-4.0126
2.597,-2.203
2.63,-0.2826
2.665,1.7692
2.697,3.983
2.731,6.1555
2.764,8.4
2.797,10.3737
2.831,11.728
2.864,13.0766
2.901,14.2246
2.93,15.4083
2.963,15.7869
2.998,15.8587
3.031,16.3472
3.064,16.0065
3.097,15.4888
3.131,14.9821
3.165,14.6196
3.198,13.7614
3.231,12.6114
3.264,10.9244
3.297,9.5362
3.331,7.9255
3.364,5.656
3.397,3.8078
3.431,1.6136
3.464,-0.417
3.497,-2.3359
3.531,-4.1314
3.564,-5.7747
3.597,-7.2384
3.63,-8.4701
3.668,-9.4459
3.697,-10.5111
3.731,-11.0338
3.764,-11.3076
3.797,-11.6112
3.831,-11.7569
3.864,-11.6993
3.897,-11.4701
3.931,-11.0005
3.964,-10.5853
3.998,-9.9119
4.031,-8.7196
4.064,-7.5866
4.097,-6.2214
4.131,-4.6731
4.164,-2.9572
4.198,-1.0924
4.23,0.9808
4.264,2.8999
4.298,5.0472
4.331,7.206
4.364,9.259
4.397,10.7185
4.43,11.9738
4.464,13.4315
4.498,14.6477
4.531,15.1595
4.564,15.3253
4.598,15.7838
4.631,15.639
4.664,15.3235
4.698,14.832
4.731,14.669
4.764,14.1431
4.797,12.9251
4.83,11.4162
4.864,10.1197
4.896,8.5689
4.931,6.4882
4.964,4.664
4.997,2.5383
5.031,0.2641
5.064,-1.8081
5.1,-3.7024
5.131,-5.4483
5.164,-6.9924
5.198,-8.326
5.231,-9.3846
5.264,-10.1874
5.298,-10.7965
5.331,-11.1588
5.364,-11.2586
5.398,-11.4786
5.431,-11.4829
5.464,-11.2908
5.498,-10.9242
5.534,-10.564
5.564,-10.0015
5.597,-9.2389
5.631,-8.2412
5.664,-6.9745
5.697,-5.4948
5.731,-3.8271
5.764,-2.0131
5.797,0.0026
5.831,2.0085
5.864,4.1487
5.897,6.2835
5.931,8.3954
5.964,10.0634
5.997,11.4
6.03,12.5123
6.064,13.3099
6.097,13.9304
6.131,14.2113
6.164,14.3443
6.197,14.8074
6.231,14.6388
6.264,14.1642
6.299,14.0018
6.331,13.6012
6.364,12.9244
6.397,12.0546
6.431,10.8737
