t,s1
11.498,-1.4162
11.531,-4.8612
11.565,-8.0047
11.598,-11.0223
11.665,-13.5876
11.698,-15.7388
11.732,-17.3135
11.765,-18.2615
11.798,-18.5739
11.831,-18.3355
11.864,-17.4805
11.898,-16.0143
11.934,-14.1041
11.965,-11.558
11.999,-8.7007
12.031,-5.4598
12.065,-2.0828
12.098,1.3307
12.131,4.7525
12.165,8.0729
12.198,11.0348
12.231,13.6642
12.265,16.09
12.298,17.9294
12.331,19.3107
12.364,20.2151
12.398,20.5807
12.432,20.3677
12.465,19.5763
12.499,18.2483
12.532,16.5374
12.565,14.3945
12.599,11.6589
12.632,8.7329
12.665,5.4937
12.698,2.055
12.732,-1.4145
12.765,-4.8137
12.799,-8.0766
12.832,-11.0775
12.899,-13.7214
12.931,-15.8655
12.964,-17.4511
12.999,-18.4256
13.032,-18.7604
13.064,-18.5638
13.099,-17.7496
13.131,-16.3111
13.165,-14.2977
13.201,-11.7684
13.231,-8.8325
13.265,-5.5987
13.298,-2.2326
13.331,1.2139
13.365,4.6514
13.398,8.0311
13.431,11.0558
13.466,13.7235
13.498,16.1558
13.531,17.9767
13.564,19.421
13.598,20.3103
13.631,20.6822
13.665,20.4386
13.698,19.645
13.731,18.2734
13.765,16.5317
13.798,14.3346
13.832,11.5942
13.865,8.6884
13.899,5.3917
13.931,1.9608
13.964,-1.4759
13.998,-4.8435
14.032,-8.08
14.065,-11.0361
14.132,-13.5938
14.164,-15.6884
14.199,-17.2578
14.231,-18.2323
14.266,-18.5732
14.298,-18.354
14.331,-17.543
14.368,-16.0925
14.398,-14.0886
14.432,-11.5878
14.465,-8.7133
14.499,-5.5246
14.532,-2.1484
14.565,1.3068
14.599,4.7441
14.632,8.0933
14.665,11.0194
14.699,13.6225
14.731,16.0228
14.765,17.8172
14.799,19.1878
14.832,20.0799
14.865,20.4113
14.898,20.1522
14.932,19.336
14.964,17.9616
14.981,16.2696
15.032,14.1147
15.065,11.3751
15.099,8.4668
15.132,5.2297
15.154,1.8188
15.198,-1.6017
15.232,-4.9872
15.25,-8.0901
15.299,-10.9673
15.365,-13.5023
15.399,-15.4558
15.431,-16.9753
15.465,-17.8671
15.499,-18.1652
15.531,-17.9124
15.564,-17.0316
15.581,-15.5445
15.631,-13.6169
15.665,-11.1591
15.699,-8.2694
15.733,-5.202
15.765,-1.8778
15.799,1.5096
15.831,4.8931
15.847,8.1881
15.898,11.1
15.933,13.7019
15.947,16.0533
15.998,17.8654
16.031,19.2727
16.065,20.1283
16.098,20.4596
16.132,20.2053
16.165,19.393
16.198,18.0283
16.231,16.295
16.248,14.113
16.298,11.3913
16.331,8.4541
16.365,5.1525
16.398,1.7511
16.431,-1.6422
16.448,-5.0033
16.499,-8.2187
16.514,-11.1638
16.599,-13.7381
16.632,-15.8394
16.669,-17.3702
16.683,-18.2983
16.732,-18.5828
16.748,-18.3028
16.798,-17.444
16.831,-15.9508
16.848,-13.914
16.898,-11.3883
16.931,-8.4594
16.965,-5.2281
16.998,-1.8862
17.014,1.5272
17.066,4.9101
17.099,8.195
17.131,11.0892
17.148,13.696
17.199,16.0713
17.218,17.8485
17.253,19.1668
17.282,20.0058
17.333,20.3296
17.367,20.0597
17.382,19.24
17.434,17.8493
17.466,16.1126
17.499,13.9071
17.516,11.1777
17.567,8.2754
17.6,5.0548
17.633,1.6717
17.667,-1.7112
17.7,-5.0186
17.716,-8.1906
17.768,-11.07
17.834,-13.5789
17.849,-15.641
17.9,-17.1328
17.917,-18.0348
17.968,-18.3177
18.004,-18.0481
18.018,-17.2078
18.068,-15.746
18.101,-13.7329
18.135,-11.2405
18.168,-8.3446
18.201,-5.1396
18.217,-1.8114
18.269,1.598
18.302,4.9938
18.334,8.2872
18.353,11.1806
18.402,13.9248
18.418,16.2929
18.469,18.0143
18.484,19.3462
18.536,20.1724
18.569,20.4542
18.602,20.1623
18.618,19.3199
18.67,17.9269
18.706,16.2153
18.72,13.855
18.77,11.1153
18.785,8.2478
18.837,5.0308
18.87,1.6533
18.903,-1.7288
18.919,-4.9662
18.971,-8.0201
19.003,-10.9374
19.075,-13.4863
19.09,-15.414
19.122,-16.9004
19.171,-17.7922
19.203,-18.0903
19.219,-17.8213
19.271,-16.9434
19.303,-15.5553
19.32,-13.628
19.371,-11.0791
19.404,-8.1595
19.42,-5.0729
19.472,-1.7487
19.504,1.6552
19.52,5.0555
19.571,8.3342
19.587,11.2389
19.638,13.9611
19.671,16.2795
19.687,18.0227
19.738,19.4204
19.771,20.2466
19.787,20.5284
19.839,20.2246
19.871,19.3827
19.887,18.0018
19.938,16.2408
19.954,13.9063
20.007,11.1692
20.039,8.2685
20.072,4.9765
20.088,1.5917
20.139,-1.8176
20.155,-5.152
20.206,-8.338
20.243,-11.2669
20.306,-13.8088
20.34,-15.8452
20.372,-17.3108
20.388,-18.1858
20.439,-18.454
20.455,-18.1416
20.507,-17.218
20.54,-15.6886
20.573,-13.6361
20.591,-11.078
20.64,-8.1514
20.673,-4.9561
20.689,-1.6143
20.741,1.779
20.774,5.1456
20.789,8.3814
20.841,11.2357
20.874,13.9255
20.889,16.2517
20.941,17.9769
20.974,19.3364
20.99,20.1293
21.041,20.3873
21.056,20.068
21.108,19.2156
21.123,17.8092
21.174,16.0639
21.19,13.7134
21.241,10.9537
21.257,8.0397
21.309,4.7574
21.343,1.3895
21.358,-1.9974
21.408,-5.2883
21.424,-8.4278
21.475,-11.2747
21.542,-13.751
21.575,-15.7316
21.608,-17.1436
21.624,-17.9929
21.675,-18.2051
21.699,-17.8854
21.725,-16.978
21.775,-15.4842
21.791,-13.4389
21.843,-10.9153
21.876,-8.0035
21.891,-4.8479
21.943,-1.5405
21.976,1.8697
21.992,5.2176
22.043,8.4791
22.076,11.3087
22.11,13.9864
22.149,16.3133
22.163,17.9952
22.21,19.3269
22.225,20.1364
22.276,20.3898
