t,s1,s2
3.28,-100.61354603372727,-203.3955835203924
3.3,-104.24076181328616,-202.86597214326127
3.32,-107.863726930767,-202.3700044681331
3.34,-111.67141578372792,-201.998435092085
3.36,-115.48522180975375,-201.06678680856487
3.38,-119.16085524180228,-200.49062768571315
3.4,-123.23255012798572,-199.35102667917252
3.42,-126.98933483894449,-198.5187891942905
3.44,-130.97565580597816,-197.02079941237193
3.46,-134.91352778560787,-195.85329099898527
3.48,-138.84983181468485,-193.9672955341861
3.5,-142.83640077537487,-191.91826478502168
3.52,-147.07749753559105,-190.1202085497848
3.54,-151.3070363044669,-187.82580134368155
3.56,-155.7749396457332,-185.01812345464504
3.58,-160.52692522076853,-182.12232740697715
3.6,-165.17185169685183,-179.1628831280265
3.62,-169.37742369882892,-176.62980639584643
3.64,-173.52683565472094,-174.3911715277785
3.66,-176.7714578227387,-172.79458107410397
3.68,-179.11954379768412,-172.1676698723106
3.7,-180.58959032508605,-172.85306276294583
3.72,-181.46960438947008,-174.11243148153383
3.74,-181.46960438947008,-174.92856451347373
3.76,-181.46960438947008,-176.6088518454504
3.78,-181.17698577565716,-178.1111927715433
3.8,-181.174980677476,-179.2610894719207
3.82,-180.88233634103915,-179.62667033548598
3.84,-180.88233634103915,-180.86104186633517
3.86,-180.88233634103915,-181.2711487927652
3.88,-181.174980677476,-181.33458295230628
3.9,-181.17698577565716,-181.479890136606
3.92,-181.46960438947008,-181.61992649671967
3.94,-181.46960438947008,-181.8890199773639
3.96,-181.76207064293553,-181.8890199773639
3.98,-181.76407194929865,-182.02343039408527
4.0,-182.05650223647447,-182.170309493415
4.02,-182.05650223647447,-182.170309493415
4.04,-182.34872967262825,-182.45143922248093
4.06,-182.34872967262825,-182.79742914336956
4.08,-182.35072593561293,-182.45885610357703
4.1,-182.642907207024,-182.84798955799403
4.12,-182.642907207024,-182.7987956940974
4.14,-182.642907207024,-182.66073493124927
4.16,-182.65796162388767,-182.66073493124927
4.18,-182.642907207024,-182.7987956940974
4.2,-182.642907207024,-182.9463066512363
4.22,-182.642907207024,-182.9450316568632
4.24,-182.642907207024,-182.84798955799403
4.26,-182.642907207024,-182.9450316568632
4.28,-182.642907207024,-182.8097673108642
4.3,-182.642907207024,-182.55842126706975
4.32,-182.35072593561293,-182.65846842628997
4.34,-182.34872967262825,-182.56573549836443
4.36,-182.34872967262825,-182.56108367599364
4.38,-182.05650223647447,-182.55536791623712
4.4,-182.05650223647447,-182.5489407746711
4.42,-181.76407194929865,-182.56108367599364
4.44,-181.76407194929865,-182.65846842628997
4.46,-181.76407194929865,-182.4135527391987
4.48,-181.76407194929865,-182.170309493415
4.5,-181.76407194929865,-182.170309493415
4.52,-181.76407194929865,-182.3113842282502
4.54,-181.76407194929865,-182.170309493415
