Time Angle omega x y
s degrees degrees/s  
6.3150 -11.7916 97.2849  
6.3480 -9.6015 86.1450  
6.3810 -8.1409 95.6976  
6.4150 -5.9667 93.2212  
6.4480 -3.4572 72.4268  
6.4820 -0.8325 78.3007  
6.5140 1.8138 69.1940  
6.5480 4.4448 54.4920  
6.5820 6.9817 46.2845  
6.6150 9.2554 -13.1459  
6.6480 10.8209 -114.3596  
6.6820 12.3612 76.1882  
6.7150 13.5413 -13.4737  
6.7480 14.0505 -107.2275  
6.7820 14.8259 148.5541  
6.8180 15.2926 -11.7639  
6.8480 15.3489 -63.0160  
6.8810 14.9994 -66.8160  
6.9150 14.2436 -73.2160  
6.9480 13.2634 -81.1502  
6.9810 12.4246 -71.5352  
7.0150 10.9947 -97.6432  
7.0480 9.3255 -85.9832  
7.0820 7.7276 -83.0925  
7.1150 5.3566 -81.2530  
7.1490 2.7794 -73.0687  
7.1820 0.1723 -66.3550  
7.2140 -2.4138 -62.3601  
7.2490 -4.9224 -48.9711  
7.2810 -7.2819 -37.1090  
7.3150 -8.9447 135.4971  
7.3490 -10.6373 -106.3934  
7.3810 -12.6135 -177.3057  
7.4150 -13.3076 293.9883  
7.4480 -14.1028 -111.8811  
7.4820 -14.7682 -34.8987  
7.5150 -15.0634 45.7988  
7.5480 -14.9753 55.7079  
7.5820 -14.4993 63.6798  
7.6150 -13.6712 70.7210  
7.6490 -13.0659 69.9717  
7.6820 -11.7838 95.4450  
7.7140 -9.6343 93.7746  
7.7490 -8.1993 81.4449  
7.7850 -6.0633 92.1691  
7.8150 -3.5697 79.6393  
7.8490 -0.9578 79.2454  
7.8810 1.6884 68.1462  
7.9150 4.3077 55.8001  
7.9480 6.8627 51.2241  
7.9810 9.2180 11.5879  
8.0150 10.6901 -167.1343  
8.0480 12.1355 82.8189  
8.0820 13.4262 38.3798  
8.1150 14.0472 -102.4226  
8.1490 14.8698 129.5742  
8.1820 15.3493 -22.3160  
8.2140 15.4259 -57.7791  
8.2490 15.0881 -64.1850  
8.2820 14.3323 -75.4346  
8.3150 13.2705 -81.1502  
8.3490 12.5408 -69.4312  
8.3810 11.2217 -98.8117  
8.4150 9.4883 -83.4675  
8.4510 7.8092 -78.7947  
8.4820 5.4069 -91.2042  
8.5150 2.8588 -66.4765  
8.5480 0.2634 -70.3476  
8.5830 -2.3107 -58.1100  
8.6150 -4.8193 -57.3285  
8.6480 -7.1740 -34.5200  
8.6820 -8.7368 163.4811  
8.7150 -10.4343 -136.6402  
8.7490 -12.2659 -122.8758  
8.7820 -13.0434 233.4329  
8.8160 -13.7418 -59.8955  
8.8530 -14.4363 -58.2138  
8.8810 -14.7475 53.9771  
8.9150 -14.6714 54.0694  
8.9480 -14.1954 65.6095  
8.9830 -13.3562 71.2227  
9.0150 -12.8508 69.3762  
9.0490 -11.5796 92.6378  
9.0820 -9.5905 90.9330  
9.1150 -8.0708 91.1849  
9.1480 -6.0456 91.4644  
9.1820 -3.5520 74.4239  
9.2150 -0.9562 76.7795  
9.2490 1.6738 64.1237  
9.2810 4.2932 64.3216  
9.3150 6.8160 44.9372  
9.3480 9.1328 4.8458  
9.3820 10.5949 -158.7549  
9.4150 12.0426 86.5618  
9.4480 13.3919 61.3656  
9.4830 13.9411 -142.3340  
9.5150 14.7741 167.7229  
9.5480 15.2535 -30.3498  
9.5870 15.3420 -44.3276  
9.6150 15.0237 -71.7775  
9.6490 14.3001 -74.2701  
9.6820 13.3085 -76.3614  
9.7150 12.5889 -81.1517  
9.7480 11.2832 -91.0324  
9.7820 9.4912 -83.4813  
9.8150 7.9148 -85.6151  
9.8480 5.5179 -85.9996  
9.8820 2.9886 -68.4157  
9.9150 0.3974 -71.1259  
9.9490 -2.1962 -59.8191  
9.9820 -4.7047 -50.7441  
10.0150 -7.0719 -33.5127  
10.0490 -9.0632 31.7574  
10.0820 -10.7747 -6.2214  
10.1490 -11.8543 51.9434  
10.1820 -12.9590 -93.1924  
10.2150 -13.8886 -32.9732  
10.2480 -14.4345 45.7988  
10.2820 -14.5778 49.3749  
10.3150 -14.2853 70.4463  
10.3490 -13.5873 69.9921  
10.3820 -12.5454 70.7000  
10.4140 -11.2800 103.5840  
10.4480 -9.7264 78.7502  
10.4810 -8.2198 91.1773  
10.5150 -6.1057 88.2493  
10.5490 -3.6281 74.9139  
10.5810 -1.0323 84.1700  
10.6150 1.5976 59.3890  
10.6480 4.2008 62.3406  
10.6820 6.7187 44.9268  
10.7150 9.0324 8.8190  
10.7500 10.4780 -153.3256  
10.7820 11.9950 106.0104  
10.8150 13.3451 40.5500  
10.8530 13.9019 -129.7531  
10.8810 14.7089 180.2658  
10.9140 15.2045 -12.7304  
10.9490 15.3252 -49.4191  
10.9810 15.0391 -62.8197  
11.0150 14.3477 -74.2984  
11.0480 13.3751 -76.3807  
11.0820 12.6555 -83.4343  
11.1150 11.3120 -86.2471  
11.1480 9.5351 -90.7964  
11.1820 7.9687 -83.0970  
11.2150 5.6138 -85.9996  
11.2480 3.0683 -70.4889  
11.2820 0.4610 -69.0339  
11.3150 -2.1327 -56.7969  
11.3480 -4.6411 -50.7356  
11.3820 -7.0180 -35.4067  
11.4150 -8.9712 42.4084  
11.4490 -10.6878 -14.1343  
11.5150 -12.0078 14.6942  
11.5480 -13.1118 -20.1450  
11.5820 -14.0414 -32.1965  
11.6150 -14.6033 40.9514  
11.6480 -14.7466 55.7185  
11.6820 -14.4859 63.6903  
11.7150 -13.8039 76.9391  
11.7480 -12.7683 70.7000  
11.7820 -11.5568 92.8566  
11.8150 -10.0138 85.9112  
11.8480 -8.2827 86.3740  
11.8820 -6.1692 92.9113  
11.9150 -3.6916 77.1840  
11.9510 -1.0958 70.3586  
11.9820 1.5340 70.3147  
12.0140 4.1531 64.2887  
12.0490 6.6872 48.2828  
12.0820 8.9433 -13.5670  
12.1150 10.5141 -111.9943  
12.1490 12.0866 83.8907  
12.1820 13.4684 28.5932  
12.2150 14.0353 -151.2175  
12.2490 14.8253 140.5333  
12.2810 15.3417 -6.3577  
12.3160 15.4624 -50.7733  
12.3480 15.1727 -63.9397  
12.3820 14.4810 -68.5538  
12.4160 13.5661 -78.8246  
12.4480 12.7687 -78.7479  
12.4820 11.3698 -93.0291  
12.5150 9.6085 -81.2557  
12.5510 8.0468 -83.1483  
12.5820 5.7246 -91.1855  
12.6160 3.1717 -73.8193  
12.6480 0.5962 -62.6261  
12.6820 -1.9742 -58.6638  
12.7150 -4.4986 -56.7102  
12.7480 -6.8898 -40.8271  
12.7820 -8.4695 164.5436  
12.8150 -9.8113 -23.7645  
12.8820 -11.1645 -41.7094  
12.9150 -11.8555 109.9306  
12.9480 -12.8010 -162.7487  
12.9820 -13.3603 39.7469  
13.0150 -13.5354 55.7185  
13.0490 -13.3073 59.9073  
13.0820 -12.6434 75.3343  
13.1150 -11.5934 76.2025  
13.1490 -10.8591 71.6829  
13.1820 -9.6908 107.7265  
13.2160 -7.9740 79.1724  
13.2480 -6.3023 99.2324  
13.2810 -3.8407 76.6501  
13.3150 -1.2640 73.5569  
13.3480 1.3658 71.8600  
13.3810 3.9772 56.1019  
13.4150 6.4970 46.2099  
13.4480 8.7625 -0.8662  
13.4820 10.4195 -107.2983  
13.5150 12.1178 120.2296  
13.5490 13.4820 -19.0521  
13.5820 14.1543 -113.4772  
13.6150 14.9672 119.2683  
13.6490 15.5027 -8.0207  
13.6820 15.6234 -53.8504  
13.7160 15.3544 -60.1786  
13.7490 14.6951 -70.6312  
13.7850 13.7866 -70.0338  
13.8160 12.9750 -86.4112  
13.8490 11.4662 -91.0623  
13.8810 9.7382 -88.7303  
13.9150 8.1011 -83.4003  
13.9490 5.7739 -87.2351  
13.9820 3.2527 -67.0128  
14.0160 0.6772 -68.2634  
14.0480 -1.9091 -67.2983  
14.0820 -4.4335 -50.3665  
14.1150 -6.8406 -40.8271  
14.1490 -8.7630 63.7397  
14.1820 -10.1321 76.6152  
14.2490 -11.4283 -31.4950  
14.2820 -12.1352 92.6710  
14.3160 -13.0778 -156.5837  
14.3480 -13.6848 35.7642  
14.3820 -13.8598 58.7880  
14.4160 -13.6158 59.9073  
14.4480 -12.9679 72.7298  
14.4820 -11.9336 73.9740  
14.5150 -10.8494 80.8457  
14.5490 -9.6855 97.7722  
14.5820 -8.0256 86.3678  
14.6150 -6.3539 96.2254  
14.6490 -3.8969 74.3956  
14.6820 -1.3043 75.7859  
14.7150 1.3256 71.8600  
14.7520 3.9251 46.8528  
14.7830 6.4608 54.4822  
14.8200 8.7321 -3.5092  
14.8490 10.2582 -164.9407  
14.8820 11.7526 91.1486  
14.9160 13.2247 77.2442  
14.9490 13.7958 -176.7982  
14.9810 14.6335 162.3537  
15.0160 15.1757 -12.9722  
15.0490 15.3006 -54.5937  
15.0810 15.0433 -65.2531  
15.1160 14.3971 -62.8747  
15.1490 13.5146 -75.5320  
15.1820 12.8583 -76.3829  
15.2160 11.5849 -93.0617  
15.2490 9.7491 -90.8278  
15.2830 8.1739 -94.9543  
15.3160 5.8218 -77.9744  
15.3480 3.2941 -69.1069  
15.3820 0.7143 -68.2634  
15.4150 -1.8561 -60.4415  
15.4490 -4.3935 -55.0423  
15.4820 -6.8005 -35.9829  
15.5160 -8.8686 25.5216  
15.5490 -10.2526 111.4003  
15.6160 -11.6149 -41.4765  
15.6490 -12.6863 -9.6892  
15.6820 -13.5876 -26.4413  
15.7160 -14.1946 21.5139  
15.7490 -14.3819 56.8583  
15.7820 -14.1538 65.4338  
15.8160 -13.5058 68.4516  
15.8490 -12.5034 71.4190  
15.8820 -11.3118 83.6233  
15.9150 -10.1488 102.7540  
15.9490 -8.4387 79.1669  
15.9820 -6.3791 96.2051  
16.0150 -3.9794 76.6364  
16.0480 -1.4028 75.7765  
16.0820 1.2233 69.7176  
16.1160 3.8228 55.7184  
16.1490 6.3586 51.1802  
16.1820 8.6440 -4.4093  
16.2160 10.2970 -104.8818  
16.2490 11.6909 24.2636  
16.2820 13.2556 133.3248  
16.3200 13.8373 -175.1399  
16.3490 14.7181 190.3715  
16.3820 15.2763 -22.0104  
16.4160 15.4292 -49.4909  
16.4490 15.1879 -62.0308  
16.4820 14.5417 -71.5333  
16.5160 13.6608 -73.3105  
16.5480 12.8844 -78.7699  
16.5820 11.6951 -97.8745  
16.6160 9.7826 -83.3436  
16.6490 8.2193 -95.8324  
16.6820 5.8557 -75.1997  
16.7150 3.3462 -66.2510  
16.7490 0.7704 -68.9720  
16.7820 -1.8159 -65.2472  
16.8160 -4.3215 -45.6507  
16.8490 -6.7048 -38.4899  
16.8820 -8.7747 18.5649  
16.9160 -10.1455 107.7539  
16.9830 -11.5278 -43.9983  
17.0150 -12.2118 119.3827  
17.0480 -13.1017 -137.6165  
17.0820 -13.7270 13.5383  
17.1150 -13.9301 56.8583  
17.1490 -13.7179 58.8338  
17.1820 -13.1019 75.3430  
17.2150 -12.1232 71.4190  
17.2490 -10.9650 70.8047  
17.2820 -9.8304 103.8610  
17.3150 -8.1002 91.1319  
17.3490 -6.4347 93.3755  
17.3820 -4.0780 71.8026  
17.4200 -1.5014 70.0037  
17.4480 1.1086 78.9154  
17.4820 3.7197 59.1679  
17.5160 6.2392 46.1859  
17.5490 8.4610 -18.7951  
17.5820 10.0189 -128.2078  
17.6160 11.5033 79.1609  
17.6490 13.1137 129.3254  
17.6830 13.6954 -209.1880  
17.7160 14.5975 168.8775  
17.7490 15.1557 -23.5918  
17.7830 15.3246 -49.4909  
17.8160 15.0877 -62.0308  
17.8490 14.4577 -71.5333  
17.8820 13.6404 -75.5320  
17.9160 13.0085 -69.9251  
17.9490 11.7761 -100.4062  
17.9830 9.8336 -83.3464  
18.0160 8.3187 -85.9188  
18.0490 5.9640 -85.6441  
18.0830 3.4545 -68.4171  
18.1150 0.8787 -73.2827  
18.1540 -1.6918 -51.1356  
18.1820 -4.1973 -61.1070  
18.2150 -6.5948 -42.7904  
18.2490 -8.6556 29.0959  
18.2820 -10.1202 80.2630  
18.3500 -11.4861 -27.1505  
18.3830 -12.2185 106.0256  
18.4160 -13.0582 -118.1629  
18.4490 -13.6835 -5.5051  
18.4820 -13.8867 56.8583  
18.5150 -13.6904 60.6167  
18.5490 -13.0743 73.1270  
18.5860 -12.0972 59.4187  
18.6150 -10.9040 108.6352  
18.6490 -9.6914 83.6085  
18.6820 -7.9934 91.1319  
18.7160 -6.3278 93.3755  
