Tempo Angle omega x y
s degrees degrees/s  
6.3300 -12.7729 0.0000  
6.3640 -13.1952 8.4306  
6.3990 -13.3721 12.6555  
6.4300 -13.2843 25.6562  
6.4640 -12.9539 24.2733  
6.4970 -12.8054 -41.4214  
6.5300 -12.8474 5.5016  
6.5640 -12.6605 46.6548  
6.5970 -12.1984 64.6880  
6.6300 -11.5248 56.0516  
6.6640 -10.6018 73.3867  
6.6970 -9.4463 79.1194  
6.7300 -8.0992 71.4809  
6.7630 -6.6071 68.0269  
6.7970 -4.9497 72.9292  
6.8300 -2.9332 67.3608  
6.8630 -0.7630 52.0900  
6.8970 1.4288 53.0072  
6.9300 3.5345 38.5966  
6.9640 5.3555 -29.3217  
6.9970 6.8671 -18.1739  
7.0300 8.1784 18.4579  
7.0650 9.2916 10.7799  
7.0960 10.3978 70.1467  
7.1640 11.2694 1.9679  
7.1960 11.6878 -72.1364  
7.2300 11.8824 -15.3024  
7.2640 11.8327 -18.8215  
7.2970 11.5689 -26.2907  
7.3310 11.5681 48.0250  
7.3630 11.5593 -21.2316  
7.3970 11.3099 -52.8284  
7.4300 10.8516 -51.8962  
7.4630 10.0169 -48.1694  
7.4970 8.8591 -91.0770  
7.5300 7.7210 -63.9985  
7.5640 6.3984 -69.5607  
7.5970 4.8918 -75.1520  
7.6190 3.2474 -102.0726  
7.6630 1.2518 -42.7100  
7.6980 -0.8738 -56.5234  
7.7300 -3.0048 -57.8483  
7.7630 -5.1243 -48.4230  
7.7970 -7.1177 -9.6461  
7.8340 -8.5480 68.5034  
7.8630 -9.8373 -24.2331  
7.8960 -10.9452 -16.6819  
7.9300 -11.8314 -7.7446  
7.9630 -12.6375 -43.7713  
7.9970 -13.1651 26.6391  
8.0300 -13.4389 16.9581  
8.0630 -13.4812 14.0819  
8.0970 -13.3017 18.2003  
8.1300 -13.0013 26.7124  
8.1630 -13.1475 -58.5235  
8.1970 -13.2140 2.7747  
8.2300 -13.0274 59.9982  
8.2640 -12.6008 62.8586  
8.3000 -11.8573 47.9159  
8.3300 -10.9421 87.3997  
8.3640 -9.8465 69.5134  
8.3970 -8.5491 75.2554  
8.4310 -7.1025 62.0820  
8.4640 -5.5092 71.1329  
8.4960 -3.4742 77.7166  
8.5300 -1.2892 46.8775  
8.5640 0.8942 57.7692  
8.5970 2.9339 21.2087  
8.6300 4.9137 34.1250  
8.6630 6.4365 -59.0188  
8.6970 7.7839 17.8994  
8.7300 8.9381 16.7187  
8.7640 10.1191 69.9826  
8.7970 11.0419 -7.1131  
8.8300 11.5907 -37.9757  
8.8630 11.8997 -24.3848  
8.8970 11.9689 -12.7539  
8.9300 11.9041 -19.3845  
8.9640 11.6486 -22.9750  
8.9970 11.7376 45.3703  
9.0300 11.6739 -27.8203  
9.0630 11.4453 -33.2585  
9.0970 10.7925 -54.7931  
9.1300 9.9423 -66.8932  
9.1640 8.9961 -65.1439  
9.2000 7.8950 -65.3312  
9.2270 6.6142 -82.6814  
9.2640 5.1611 -63.8230  
9.2970 3.5493 -71.7629  
9.3300 1.5904 -59.8228  
9.3640 -0.4647 -55.2963  
9.3970 -2.5950 -56.0485  
9.4300 -4.7113 -52.2082  
9.4640 -6.6684 -18.0925  
9.4970 -8.1247 84.6280  
9.5330 -9.4186 -20.2288  
9.5630 -10.5506 -20.4227  
9.5970 -11.4815 -10.3169  
9.6300 -12.6676 -149.1017  
9.6640 -13.7738 -34.5712  
9.6960 -14.0891 188.4165  
9.7310 -14.1842 10.0742  
9.7630 -14.0428 20.0840  
9.7970 -13.7604 23.3378  
9.8310 -14.0077 -73.6419  
9.8630 -14.1448 11.7057  
9.8970 -14.0350 54.5646  
9.9310 -13.6887 59.2691  
9.9640 -12.6500 60.6969  
9.9970 -11.2715 67.3702  
10.0310 -10.2458 73.5393  
10.0630 -9.0202 73.4997  
10.0970 -7.6357 65.6535  
10.1310 -6.1081 65.4166  
10.1630 -4.0444 89.2931  
10.1970 -1.8712 43.2110  
10.2300 0.3003 55.7060  
10.2640 2.4538 53.9934  
10.2970 4.4076 0.1542  
10.3300 5.9792 -48.4437  
10.3640 7.3789 23.0005  
10.3970 8.5900 14.0986  
10.4300 9.7750 59.7395  
10.4640 10.4184 -93.8838  
10.4960 11.1666 122.0686  
10.5310 11.5282 -68.4998  
10.5640 11.6772 -8.7290  
10.5970 11.5732 -20.9962  
10.6310 11.3960 -21.4091  
10.6640 11.3014 -23.4308  
10.6980 11.2224 27.6365  
10.7340 11.0452 -14.3870  
10.7640 10.4877 -61.0455  
10.7980 10.0906 -46.7083  
10.8300 9.0194 -88.5769  
10.8630 7.9647 -67.6558  
10.8970 6.7158 -65.5996  
10.9300 5.3140 -67.3119  
10.9630 3.7493 -71.4527  
10.9970 2.0500 -62.2884  
11.0300 0.0566 -60.6969  
11.0640 -2.0700 -54.3688  
11.0970 -4.1982 -55.9977  
11.1300 -6.3271 -48.3471  
11.1640 -7.8119 106.1117  
11.1970 -9.1523 -23.9225  
11.2300 -10.3423 -22.0221  
11.2640 -11.3541 -12.9030  
11.2970 -12.1885 -17.7105  
11.3310 -13.1328 -94.6069  
11.3650 -13.5123 107.2184  
11.3930 -13.6782 10.2488  
11.4300 -13.5973 16.7481  
11.4630 -13.2863 21.4051  
11.4970 -13.5397 -59.8932  
11.5300 -13.6634 15.3903  
11.5640 -13.6038 32.5080  
11.5970 -13.2992 60.9806  
11.6310 -12.7265 61.6394  
11.6640 -11.6223 63.6069  
11.6970 -10.6334 75.5188  
11.7300 -9.4366 71.6813  
11.7640 -8.0667 69.1391  
11.8000 -6.5447 61.9039  
11.8300 -4.5707 82.7369  
11.8640 -2.4385 61.5073  
11.8970 -0.2329 55.6940  
11.9310 1.7804 2.6516  
11.9640 3.6825 29.8333  
11.9970 5.2992 -22.9263  
12.0310 6.7534 25.5454  
12.0640 8.0321 18.4689  
12.0970 9.1133 11.4143  
12.1300 9.8559 -35.1126  
12.1630 10.7871 132.3953  
12.1970 11.1909 -93.6286  
12.2300 11.3734 -11.3373  
12.2640 11.4950 -15.2931  
12.2970 11.4453 -22.0375  
12.3310 11.3940 -22.7545  
12.3640 11.2818 7.8809  
12.3970 11.1610 15.8595  
12.4300 10.7945 -63.0526  
12.4630 10.3974 -44.3632  
12.4970 9.2924 -79.7333  
12.5300 8.2821 -67.7525  
12.5670 7.0995 -56.6862  
12.5970 5.7337 -78.3846  
12.6310 4.2050 -69.2963  
12.6640 2.5297 -67.8764  
12.6970 0.6409 -56.8195  
12.7300 -1.4850 -55.9687  
12.7640 -3.5873 -54.2845  
12.7980 -5.7152 -50.5804  
12.8310 -7.5545 5.3002  
12.8630 -8.9330 74.1413  
12.8980 -10.1630 -17.4875  
12.9300 -11.2104 -16.4310  
12.9630 -12.0573 -10.6410  
12.9970 -13.0889 -120.2277  
13.0300 -13.5223 124.4914  
13.0630 -13.7511 6.0204  
13.0970 -13.7422 15.6249  
13.1300 -13.4906 21.4123  
13.1630 -13.1761 24.3718  
