Tempo Angle omega x y
s degrees degrees/s  
6.2960 11.3352 -85.2163  
6.3310 10.4166 -70.5333  
6.3510 9.3830 -115.3854  
6.3960 8.1238 -54.9501  
6.4290 6.6436 -86.8242  
6.4630 4.6417 -51.2609  
6.4960 2.9640 -56.3175  
6.5290 1.2370 -44.8306  
6.5620 -0.5759 21.1494  
6.5960 -2.4269 -32.7926  
6.6300 -4.0672 -23.2654  
6.6630 -5.5442 -25.3331  
6.7000 -6.8463 -15.0953  
6.7290 -7.9143 -4.5131  
6.7970 -8.6864 1.3636  
6.8300 -9.2525 9.6225  
6.8630 -9.5677 19.7257  
6.8960 -9.6607 22.4968  
6.9290 -9.7257 29.6286  
6.9630 -9.5585 35.4827  
6.9970 -9.3678 -16.3320  
7.0300 -8.9074 56.3933  
7.0630 -8.2471 43.6727  
7.0960 -7.3018 82.3559  
7.1300 -6.1336 68.3083  
7.1630 -4.7494 75.0728  
7.1960 -3.2118 66.2247  
7.2290 -1.5140 71.0170  
7.2620 0.3321 74.5597  
7.2970 2.2077 42.9330  
7.3300 3.8746 -80.0835  
7.3630 5.4577 30.9727  
7.3960 7.4193 158.3974  
7.4290 8.7726 -101.9687  
7.4630 9.9159 6.5352  
7.5000 10.9976 50.2935  
7.5290 12.0798 75.5255  
7.5620 12.5411 -117.1056  
7.5970 12.7254 -8.8607  
7.6290 12.8072 14.9413  
7.6630 13.4849 97.5326  
7.6960 13.4341 -189.7935  
7.7290 12.8457 -4.5270  
7.7630 12.6644 20.7843  
7.7960 12.3442 -35.3481  
7.8300 11.5615 -81.3160  
7.8660 10.3170 -67.4065  
7.8960 9.2235 -78.5190  
7.9290 7.9146 -74.6677  
7.9630 6.2702 -84.6155  
7.9960 4.1175 -53.5340  
8.0300 2.3877 -59.8200  
8.0620 0.5878 -26.5924  
8.0960 -1.2142 20.1730  
8.1300 -3.0018 -30.0770  
8.1510 -4.5920 -37.6426  
8.1970 -6.0138 -16.1612  
8.2290 -7.2412 -12.8426  
8.2630 -8.3465 -36.5487  
8.2960 -9.4029 -72.3717  
8.3300 -9.9103 109.5175  
8.3630 -10.1824 9.6452  
8.3960 -10.3045 19.7145  
