Tempo Ângulo omega x y
s graus graus/s  
6.3700 5.8601 -14.4267  
6.3840 5.8354 -39.1246  
6.4320 5.7430 9.7248  
6.4650 5.6340 -30.5689  
6.4990 5.2802 -56.5961  
6.5320 4.6589 -58.0212  
6.5660 3.9200 -66.2985  
6.5990 2.7610 -43.8529  
6.6320 1.7007 -25.2983  
6.6650 0.6687 -9.3215  
6.6990 -0.3019 1.9515  
6.7320 -1.2811 -19.2032  
6.7650 -2.3784 -21.6189  
6.7990 -3.6936 -93.7861  
6.8320 -4.8198 -1.0458  
6.8700 -5.4323 84.8108  
6.8830 -5.7390 61.8781  
6.9320 -5.8375 12.9310  
6.9480 -5.7759 47.9585  
6.9980 -5.7045 -4.2133  
7.0320 -5.5543 25.1628  
7.0650 -5.2032 41.6473  
7.0990 -4.5464 68.9229  
7.1320 -3.3801 57.7962  
7.1490 -2.0340 103.6766  
7.1990 -0.9091 20.2335  
7.2320 0.0611 -22.5310  
7.2650 1.0318 19.3661  
7.2980 2.0257 30.2820  
7.3330 3.0214 -5.5069  
7.3650 4.0727 44.1264  
7.3980 4.9810 -1.6861  
7.4140 5.5487 -66.4394  
7.4650 5.8522 -14.4012  
7.4990 5.9156 -18.8071  
7.5320 5.9895 33.8776  
7.5660 6.0188 -35.0078  
7.5990 5.8427 -42.8698  
7.6320 5.3880 -54.1354  
7.6650 4.7612 -58.0122  
7.6810 3.7803 -133.0383  
7.7320 2.6788 -24.7382  
7.7650 1.6282 -16.7917  
7.7990 0.5438 -31.5227  
7.8320 -0.4266 15.1387  
7.8660 -1.5632 -15.9790  
7.8980 -2.6412 -18.8802  
7.9320 -3.8110 -68.6329  
7.9650 -4.8195 -5.2492  
7.9980 -5.3323 92.2148  
8.0150 -5.5892 25.2977  
8.0650 -5.6566 12.6691  
8.0810 -5.6066 38.7578  
8.1320 -5.4755 -5.1282  
8.1650 -5.2694 37.8658  
8.1820 -4.8516 92.6219  
8.2320 -4.1527 44.1252  
8.2480 -3.0343 116.3645  
8.2990 -1.7345 32.1642  
8.3320 -0.6598 24.0103  
8.3650 0.3105 -18.6079  
8.3980 1.2722 16.6029  
8.4350 2.2514 21.4690  
8.4490 3.2392 -12.4675  
8.5320 4.3420 28.8932  
8.5480 5.0835 -127.3046  
8.5990 5.5749 -5.8078  
