Tempo Angle omega x y
s degrees degrees/s  
0.0510 6.8092 36.4411  
0.0730 7.8268 -127.8420  
0.0970 8.5054 -36.8891  
0.1310 8.9460 -33.3882  
0.1650 9.0490 -36.9938  
0.1980 8.8515 -53.2062  
0.2310 8.3662 -53.0724  
0.2640 7.6479 -36.3728  
0.2980 6.3858 -80.6825  
0.3310 4.9971 -83.3488  
0.3640 3.3274 -12.2842  
0.3990 1.7393 -57.0170  
0.4310 0.1183 -37.9680  
0.4650 -1.4849 -28.1603  
0.4980 -3.0371 -22.6264  
0.5320 -4.4836 -20.5851  
0.5650 -5.7823 -8.2558  
0.5980 -7.2813 -97.0909  
0.6320 -8.1583 102.2482  
0.6650 -8.7107 15.0453  
0.6980 -9.1399 25.0220  
0.7310 -9.2578 33.8702  
0.7650 -9.1333 35.5545  
0.7980 -8.7393 52.6655  
0.8340 -8.0972 48.1649  
0.8710 -7.2571 34.5962  
0.8980 -6.1588 85.5684  
0.9320 -4.5660 51.1753  
0.9650 -3.1467 52.8013  
0.9980 -1.5898 56.7126  
1.0320 -0.0155 29.4347  
1.0650 1.5725 38.0052  
1.0970 3.1477 33.7621  
1.1320 4.5871 10.8861  
1.1650 6.0844 70.0599  
1.1980 7.5119 17.6404  
1.2310 8.4112 -90.0336  
1.2650 9.0654 -20.9130  
1.2980 9.4318 -34.4339  
1.3340 9.4851 -34.9680  
1.3650 9.3253 -36.4554  
1.3980 8.8272 -64.5141  
1.4310 8.0337 -56.7971  
1.4650 7.0306 -50.4124  
1.4980 5.5143 -85.4663  
1.5310 3.7151 -68.0936  
1.5640 2.1717 -12.5218  
1.5970 0.5750 -37.6744  
1.6310 -1.0163 -31.8604  
1.6650 -2.5937 -32.9148  
1.6980 -4.1281 -21.2197  
1.7320 -5.4819 -9.5039  
1.7650 -6.8672 -66.3409  
1.7990 -7.8622 64.3897  
1.8320 -8.5339 12.4941  
1.8640 -8.8949 26.8765  
1.8980 -9.1151 29.2437  
1.9310 -9.0870 37.5643  
1.9650 -8.8171 39.2700  
1.9980 -8.2370 60.0938  
2.0310 -7.5003 26.2249  
2.0650 -6.4373 86.4928  
2.0970 -4.9361 68.4936  
2.1310 -3.5591 27.8601  
2.1650 -2.0114 62.3361  
2.1910 -0.4372 43.2756  
2.2310 1.1629 31.3355  
2.2650 2.7396 29.5763  
2.2980 4.2584 22.9116  
2.3320 5.5793 0.1143  
2.3650 7.2050 118.6166  
2.3980 8.1625 -113.4024  
2.4320 8.8374 -18.6343  
2.4650 9.3165 -30.6447  
2.4980 9.4576 -38.1924  
2.5320 9.3731 -33.2721  
2.5640 8.9752 -58.7580  
2.5970 8.2892 -56.8363  
2.6320 7.3402 -53.5135  
2.6650 6.1604 -69.8362  
2.6980 4.3792 -63.6376  
2.7310 2.8902 -24.8575  
2.7640 1.3054 -48.2365  
2.7980 -0.3029 -36.6205  
2.8310 -1.8932 -32.7732  
2.8660 -3.4406 -20.0384  
2.8990 -4.8495 -15.0453  
2.9310 -5.8528 68.1639  
2.9650 -6.9068 -70.0055  
2.9990 -7.6857 13.1552  
3.0310 -8.1925 19.3770  
3.0650 -8.5222 27.9692  
3.0980 -8.5810 33.8309  
3.1310 -8.3820 40.4327  
3.1690 -7.8887 48.9529  
3.1980 -7.1644 55.4833  
3.2310 -6.2319 48.0517  
3.2650 -5.2526 77.9218  
3.2970 -3.9254 34.3330  
3.3320 -2.4312 60.5125  
3.3650 -0.8740 37.8528  
3.3980 0.7007 34.1498  
3.4320 2.2769 33.2350  
3.4650 3.7951 22.8863  
3.4980 5.1781 15.3876  
3.5660 6.4133 1.9316  
3.6000 7.4307 -17.4082  
3.6320 8.1073 -23.7186  
3.6650 8.5479 -38.2285  
3.6980 8.6635 -34.3079  
3.7310 8.4786 -53.2177  
3.7650 8.0058 -51.5191  
3.7990 7.2326 -55.1066  
3.8310 6.1641 -68.6906  
3.8650 4.8921 -44.9145  
3.8980 3.4444 -49.2596  
3.9320 1.8689 -55.0199  
3.9650 0.2602 -33.0509  
3.9980 -1.3182 -29.0333  
4.0320 -2.8829 -29.2717  
4.0650 -4.3296 -17.4455  
4.0980 -5.7445 -43.4837  
4.1320 -7.1511 -52.6300  
4.1650 -8.0133 98.3504  
4.1980 -8.6483 22.5505  
4.2320 -9.0506 20.6626  
4.2650 -9.1665 30.0919  
4.2980 -9.0524 36.6425  
4.3310 -8.6563 56.4093  
4.3640 -7.9997 48.7797  
4.3980 -7.1501 39.8629  
4.4320 -5.8841 80.2319  
4.4650 -4.3144 37.8142  
4.5000 -2.8950 49.7922  
4.5310 -1.3629 60.3861  
4.5650 0.1992 29.4438  
4.5970 1.7874 39.2070  
4.6310 3.3427 25.9032  
4.6650 4.7750 18.5432  
4.6980 6.1810 40.8516  
4.7320 7.6567 60.3408  
4.7650 8.4993 -109.1940  
4.7980 9.1411 -23.0183  
4.8320 9.5077 -29.7143  
4.8650 9.5611 -38.1599  
4.8980 9.4013 -34.2558  
4.9320 8.8907 -66.3084  
4.9650 8.1170 -53.0140  
