Tempo;Angle;omega;x;y
s;degrees;degrees/s;;
"23,0650";"-10,9142";"63,3975";;
"23,0990";"-10,1049";"98,3520";;
"23,1320";"-8,9806";"90,4024";;
"23,1650";"-7,1121";"85,0868";;
"23,1980";"-5,4775";"74,6175";;
"23,2310";"-3,5525";"107,1564";;
"23,2650";"-1,2969";"51,2177";;
"23,2980";"1,2444";"59,4833";;
"23,3320";"3,7166";"46,0292";;
"23,3650";"6,1103";"43,6869";;
"23,3980";"8,5339";"72,4800";;
"23,4310";"10,1321";"-148,7982";;
"23,4650";"11,9383";"148,8946";;
"23,4980";"13,2273";"-71,6064";;
"23,5320";"14,1492";"-35,5723";;
"23,5650";"14,5375";"-54,5134";;
"23,5980";"14,5731";"-54,1278";;
"23,6310";"14,2349";"-53,8019";;
"23,6650";"13,3896";"-103,1036";;
"23,6980";"12,1549";"-74,2989";;
"23,7320";"10,3816";"-88,0732";;
"23,7650";"8,8176";"-85,3799";;
"23,7980";"6,3942";"-107,0137";;
"23,8310";"4,0001";"-62,7310";;
"23,8650";"1,5005";"-66,6070";;
"23,8980";"-1,0457";"-68,6204";;
"23,9320";"-3,5329";"-35,1985";;
"23,9650";"-5,7357";"32,3836";;
"24,0040";"-7,4056";"46,7704";;
"24,0310";"-8,8470";"-6,2048";;
"24,0650";"-10,3790";"-114,6901";;
"24,1000";"-11,2224";"116,1999";;
