Tempo Angle omega x y
s degrees degrees/s  
0.0310 -15.2688 -30.9454  
0.0640 -16.0342 12.7425  
0.0960 -16.5596 21.7588  
0.1300 -16.8015 33.0497  
0.1620 -16.7669 37.8911  
0.1960 -16.4731 40.5210  
0.2300 -15.9039 55.3542  
0.2670 -15.0872 45.9550  
0.2810 -14.0755 120.8526  
0.3300 -12.9146 51.5427  
0.3630 -11.4502 60.9957  
0.3960 -9.8505 53.7577  
0.4290 -8.0450 83.4873  
0.4630 -6.1687 53.8299  
0.4960 -4.2125 60.9826  
0.5290 -2.1467 74.9517  
0.5630 -0.0779 56.2376  
0.5960 1.9227 30.8815  
0.6310 3.8906 38.9743  
0.6630 5.7356 40.5141  
0.6960 7.4812 30.8997  
0.7300 9.1190 20.4390  
0.7630 10.8068 98.6693  
0.7960 11.8478 -140.5688  
0.8300 12.8670 52.8045  
0.8630 13.5977 -12.5051  
0.8850 14.0764 -27.5831  
0.9300 14.3499 -22.9616  
0.9630 14.3670 -36.3633  
0.9820 14.1180 -71.8374  
1.0300 13.6363 -27.2255  
1.0630 12.8472 -72.0923  
1.0970 11.5296 -59.6887  
1.1300 10.4566 -66.4116  
1.1630 9.0289 -53.1256  
1.1970 7.3249 -93.3652  
1.2290 5.5350 -45.8461  
1.2630 3.6289 -64.5296  
1.2820 1.6102 -122.4843  
1.3290 -0.4584 -39.6445  
1.3630 -2.5667 -50.0934  
1.3970 -4.6084 -50.4039  
1.4300 -6.6024 -47.0559  
1.4630 -8.4989 -36.8344  
1.4970 -10.3073 -25.6709  
1.5300 -11.8582 -18.1762  
1.5640 -13.2912 -8.4346  
1.5970 -14.4677 11.2079  
1.6290 -15.4867 -23.4997  
1.6620 -16.2525 20.2699  
1.6960 -16.7609 25.6107  
1.7290 -16.9855 34.0512  
1.7460 -16.9337 71.3244  
1.7970 -16.6225 27.0140  
1.8300 -16.0358 57.0316  
1.8630 -15.2191 51.5253  
1.8970 -14.2045 49.7628  
1.9290 -12.9743 78.9248  
1.9640 -11.4677 57.5102  
1.9960 -9.8103 68.0041  
2.0300 -7.9823 75.7975  
2.0660 -6.1061 44.6127  
2.0800 -4.1499 143.7448  
2.1300 -2.0844 49.4069  
2.1620 -0.0156 59.8481  
2.1790 2.0191 79.9717  
2.2300 4.0212 26.7791  
2.2630 5.8833 34.0995  
2.2970 7.6297 25.1861  
2.3300 9.2444 26.0479  
2.3630 10.7844 55.4526  
2.4300 12.2468 12.3751  
2.4630 13.2420 -80.5777  
2.4960 13.9232 -20.2934  
2.5300 14.3379 -22.0439  
2.5630 14.4745 -43.0914  
2.5960 14.3379 -41.3859  
2.6120 13.9581 -81.6611  
2.6640 13.2717 -42.5102  
2.6840 12.2793 -109.9798  
2.7300 10.8848 -47.6528  
2.7640 9.2379 -49.8285  
2.7960 7.5394 -99.2263  
2.8300 5.7553 -44.8564  
2.8630 3.8100 -71.5913  
2.8960 1.7741 -70.5213  
2.9300 -0.2945 -49.8085  
