Tempo Angle omega x y
s degrees degrees/s  
0.0330 8.3627 -118.1784  
0.0620 6.2711 -148.3560  
0.0820 4.5351 -147.5890  
0.1300 2.1678 2.5006  
0.1630 -0.3127 -60.3697  
0.1970 -2.8226 -43.3027  
0.2300 -5.1853 -21.1015  
0.2630 -7.3240 39.8174  
0.2960 -8.7894 106.6411  
0.3300 -9.7711 19.5010  
0.3630 -10.2434 32.6093  
0.3970 -10.1463 40.9067  
0.4290 -9.7127 12.9228  
0.4640 -9.0306 74.4599  
0.4970 -7.8910 78.2144  
0.5300 -6.3215 85.6806  
0.5640 -4.4226 76.4064  
0.5970 -2.4818 52.5267  
0.6300 -0.8174 22.8714  
0.6630 0.8421 18.6070  
0.6970 2.4816 25.7520  
0.7300 4.0844 31.0361  
0.7630 5.7255 24.1434  
0.7970 6.9003 -60.4863  
0.8310 7.7253 -26.9838  
0.8630 8.2001 -21.0835  
0.8960 8.2010 -64.8870  
0.9300 7.9743 -15.9428  
0.9640 7.3906 -82.8085  
0.9970 6.4768 -81.4155  
1.0300 5.2369 -72.3168  
1.0640 3.6551 -70.4053  
1.0970 1.9523 -12.5401  
1.1300 0.3168 -41.9048  
1.1640 -1.3238 -28.4914  
1.1970 -2.9676 -21.4238  
1.2300 -4.4599 -18.9875  
1.2640 -5.8455 15.4552  
1.2970 -6.9036 13.9167  
1.3300 -7.5957 29.4917  
1.3630 -7.9171 40.0409  
1.3960 -7.8598 42.2055  
1.4330 -7.6792 22.1285  
1.4480 -7.0833 184.6991  
1.4970 -6.1339 52.3728  
1.5300 -4.8197 89.1305  
1.5630 -3.2380 62.0413  
1.5840 -1.6148 44.8577  
1.6300 0.0648 22.2246  
1.6640 1.7350 25.8444  
1.6960 3.3087 11.1815  
1.7300 5.7440 294.3366  
1.7630 6.9331 -352.8082  
1.8010 7.7740 -18.7254  
1.8140 8.2872 -54.6541  
1.8640 8.3364 -33.9766  
1.8970 7.9981 -55.3978  
1.9300 7.3864 -54.2768  
1.9640 6.4077 -77.8999  
1.9970 5.2070 -40.6209  
2.0300 3.7431 -68.9414  
2.0630 1.1329 -44.0889  
2.0970 -0.4512 -40.6247  
2.1300 -2.0961 -40.0057  
2.1640 -3.7460 -22.3678  
2.1970 -5.2711 -13.6519  
2.2300 -6.9747 -109.5160  
2.2640 -8.1012 117.0766  
2.2970 -8.8712 27.7801  
2.3300 -9.3896 35.6161  
2.3630 -9.5314 45.1743  
2.3970 -9.5261 0.4760  
2.4300 -9.0746 93.3297  
2.4630 -8.2769 64.9436  
2.4790 -7.1201 176.8359  
2.5310 -5.6691 47.9333  
2.5630 -3.7730 26.1206  
2.6000 -2.1043 46.1518  
2.6300 -0.4558 23.8106  
2.6630 1.1427 20.4757  
2.6790 2.4979 -58.9211  
2.7300 3.9703 23.2875  
2.7630 5.0796 -16.6688  
2.7970 5.8967 -22.9077  
2.8300 6.3392 -27.8030  
2.8630 6.3188 -64.7151  
2.8970 6.0818 -39.1389  
2.9300 5.3946 -84.6705  
2.9630 4.3823 -76.8850  
