Tempo Angle omega x y
s degrees degrees/s  
6.2990 20.2735 -102.9978  
6.3320 18.9053 -117.0776  
6.3650 17.1576 -116.1578  
6.3980 14.9766 -127.3270  
6.4320 12.3263 -127.9861  
6.4660 9.3380 -115.9502  
6.5010 5.9814 -105.1382  
6.5310 2.4166 -101.2152  
6.5650 -1.1640 -75.6335  
6.5970 -4.7195 -80.4117  
6.6320 -8.1147 -54.2415  
6.6650 -11.2449 -36.7838  
6.6980 -13.4748 156.6722  
6.7320 -15.7647 -141.2417  
6.7650 -17.6031 4.9742  
6.7980 -18.8569 57.6586  
6.8310 -19.5313 64.0825  
6.8650 -19.6099 85.9398  
6.8990 -19.1538 81.6068  
6.9310 -18.0727 114.9315  
6.9640 -16.4291 112.8784  
6.9980 -14.2519 121.2770  
7.0310 -12.1948 120.2590  
7.0650 -9.2281 126.2954  
7.0980 -5.8972 115.3536  
7.1310 -2.4454 94.2832  
7.1640 1.1009 92.7098  
7.1980 4.6153 76.5627  
7.2310 8.0543 61.2423  
7.2640 11.1460 6.1737  
7.2990 13.8737 2.4545  
7.3320 16.2486 18.0517  
7.3640 18.1629 -19.9404  
7.3980 19.6034 -13.0667  
7.4310 20.5597 -31.3475  
7.4650 20.9847 -64.7733  
7.4980 20.8260 -84.1789  
7.5310 20.0622 -104.4507  
7.5640 18.7159 -115.2872  
7.5980 16.9716 -111.0514  
7.6310 14.8050 -125.3848  
7.6650 12.1654 -121.6054  
7.6990 9.1766 -121.4599  
7.7320 5.8681 -110.3472  
7.7640 2.3609 -94.4222  
7.7990 -1.2018 -78.7737  
7.8310 -4.7289 -75.6804  
7.8640 -8.1125 -60.9584  
7.8980 -11.2375 -35.8483  
7.9650 -13.8318 22.8419  
7.9990 -16.1046 -27.1130  
8.0340 -17.7907 49.5116  
8.0640 -18.8167 82.3528  
8.0980 -19.2315 72.6728  
8.1320 -19.0519 85.9492  
8.1650 -18.2376 108.7875  
8.1970 -16.7866 123.2981  
8.2320 -14.7236 117.3740  
8.2650 -12.1418 120.2590  
8.2980 -9.2837 130.1225  
8.3320 -5.9325 117.9218  
8.3650 -2.4469 93.2495  
8.3970 1.0864 92.0769  
8.4320 4.6338 74.6442  
8.4520 8.0918 101.4465  
8.4990 11.1854 -1.1732  
8.5310 13.8858 0.4240  
8.5650 16.2795 30.6427  
8.5990 18.1825 -27.6250  
8.6320 19.5849 -21.5540  
8.6650 20.5210 -19.8236  
8.6980 20.9350 -64.9275  
8.7320 20.7418 -91.9645  
8.7650 19.9716 -95.6868  
8.7980 18.6039 -119.5412  
8.8310 16.8631 -114.7664  
8.8680 14.7223 -107.7236  
8.8980 12.0639 -137.8194  
8.9310 9.0911 -123.7152  
8.9650 5.8311 -105.3937  
8.9980 2.3330 -92.0000  
9.0310 -1.2415 -88.0495  
9.0650 -4.7333 -67.6532  
9.0980 -8.1097 -60.7203  
9.1310 -11.2130 -36.7838  
9.1980 -13.9008 5.4920  
9.2310 -16.1565 10.1482  
9.2650 -17.8256 50.9408  
9.2970 -18.8563 71.8986  
9.3310 -19.2481 82.5383  
9.3650 -19.0775 76.0837  
9.3990 -18.2740 100.7102  
9.4320 -16.8144 129.1350  
9.4640 -14.7585 123.6880  
9.4980 -12.1844 116.7219  
9.5320 -9.2177 126.2954  
9.5650 -5.8871 120.4298  
9.5980 -2.4230 92.9376  
9.6310 1.1047 88.9792  
9.6650 4.6121 76.5627  
9.6980 8.0628 61.2423  
9.7320 11.1794 2.4221  
9.7650 13.8925 6.8400  
9.7980 16.2712 18.6336  
9.8320 18.1849 -20.0412  
9.8650 19.5982 -21.5056  
9.8980 20.5378 -23.1326  
9.9310 20.9334 -71.9041  
9.9650 20.7409 -86.6282  
9.9980 19.9436 -104.3620  
10.0310 18.5833 -109.3875  
10.0650 16.8180 -116.6767  
10.0980 14.6329 -120.3839  
10.1320 11.9741 -121.2448  
10.1650 8.9905 -119.0379  
10.1980 5.6781 -121.1865  
10.2320 2.1573 -83.7216  
10.2650 -1.3912 -80.2909  
10.2990 -4.8549 -61.6939  
10.3310 -8.1638 -59.2637  
10.3650 -11.2161 -30.6837  
10.4350 -13.8527 2.7085  
10.4650 -16.0505 13.8637  
10.4980 -17.6805 47.1111  
10.5310 -18.6720 74.4781  
10.5650 -19.0160 72.8218  
10.5980 -18.8337 73.1882  
10.6320 -18.0143 109.4749  
10.6650 -16.5509 131.5990  
10.6980 -14.5111 117.1926  
10.7310 -11.9768 118.2401  
10.7650 -9.0553 119.4315  
10.7980 -5.7882 117.3685  
10.8170 -2.3671 162.8241  
10.8650 1.1367 68.4328  
10.8990 4.6103 63.9742  
10.9320 8.0345 58.1687  
10.9640 11.0520 -10.7522  
10.9990 13.6700 9.9388  
11.0320 16.0339 40.1975  
11.0640 17.8622 -45.4511  
11.0980 19.2228 -18.1038  
11.1320 20.1325 -18.7322  
11.1690 20.4999 -62.9364  
11.1980 20.2663 -93.9918  
11.2310 19.4767 -102.5634  
11.2660 18.1238 -106.0827  
11.2980 16.4316 -116.8071  
11.3310 14.2977 -123.3075  
11.3650 11.6243 -119.6420  
11.3980 8.7228 -113.2079  
11.4320 5.4954 -113.9595  
11.4650 2.0477 -86.0712  
11.4980 -1.4162 -75.4598  
11.5310 -4.8612 -76.8477  
11.5650 -8.0047 -10.9036  
11.5980 -11.0223 -74.3470  
11.6650 -13.5876 11.7112  
11.6980 -15.7388 2.1903  
11.7320 -17.3135 49.9440  
11.7650 -18.2615 76.6520  
11.7980 -18.5739 75.2205  
11.8310 -18.3355 80.8295  
11.8640 -17.4805 111.4093  
11.8980 -16.0143 105.1541  
11.9340 -14.1041 113.0564  
11.9650 -11.5580 125.9467  
11.9990 -8.7007 114.6413  
12.0310 -5.4598 122.1163  
12.0650 -2.0828 89.9735  
12.0980 1.3307 87.7169  
12.1310 4.7525 77.7346  
12.1650 8.0729 48.6264  
12.1980 11.0348 2.7784  
12.2310 13.6642 7.5603  
12.2650 16.0900 59.8485  
12.2980 17.9294 -59.3873  
12.3310 19.3107 -20.7083  
12.3640 20.2151 -26.0995  
12.3980 20.5807 -68.4871  
12.4320 20.3677 -85.0426  
12.4650 19.5763 -97.5339  
12.4990 18.2483 -109.2000  
12.5320 16.5374 -113.2653  
12.5650 14.3945 -123.3285  
12.5990 11.6589 -114.5010  
12.6320 8.7329 -117.0803  
12.6650 5.4937 -115.5895  
12.6980 2.0550 -86.5686  
12.7320 -1.4145 -77.5512  
12.7650 -4.8137 -66.3160  
12.7990 -8.0766 -54.5710  
12.8320 -11.0775 -33.1316  
12.8990 -13.7214 -2.4909  
12.9310 -15.8655 28.9908  
12.9640 -17.4511 51.2618  
12.9990 -18.4256 64.2192  
13.0320 -18.7604 78.2530  
13.0640 -18.5638 76.8123  
13.0990 -17.7496 101.1074  
13.1310 -16.3111 126.6990  
13.1650 -14.2977 114.5101  
13.2010 -11.7684 112.9703  
13.2310 -8.8325 129.9249  
13.2650 -5.5987 114.9288  
13.2980 -2.2326 91.3451  
13.3310 1.2139 92.4574  
13.3650 4.6514 73.3234  
13.3980 8.0311 56.9598  
13.4310 11.0558 -0.3540  
13.4660 13.7235 13.8818  
13.4980 16.1558 48.0616  
13.5310 17.9767 -62.0096  
13.5640 19.4210 3.9594  
13.5980 20.3103 -48.2617  
13.6310 20.6822 -65.4745  
13.6650 20.4386 -91.2918  
13.6980 19.6450 -91.0953  
13.7310 18.2734 -118.2026  
13.7650 16.5317 -109.2034  
13.7980 14.3346 -123.3001  
13.8320 11.5942 -114.5111  
13.8650 8.6884 -112.1575  
13.8990 5.3917 -111.1292  
13.9310 1.9608 -93.2096  
13.9640 -1.4759 -67.2352  
13.9980 -4.8435 -70.9799  
14.0320 -8.0800 -49.8585  
14.0650 -11.0361 -33.2171  
14.1320 -13.5938 4.0531  
14.1640 -15.6884 17.5368  
14.1990 -17.2578 38.8318  
14.2310 -18.2323 70.2397  
14.2660 -18.5732 73.0922  
14.2980 -18.3540 81.7939  
14.3310 -17.5430 112.1124  
14.3680 -16.0925 107.6022  
14.3980 -14.0886 127.9593  
14.4320 -11.5878 113.9219  
14.4650 -8.7133 121.4545  
14.4990 -5.5246 108.9303  
14.5320 -2.1484 97.9880  
14.5650 1.3068 92.0702  
14.5990 4.7441 69.9803  
14.6320 8.0933 52.6076  
14.6650 11.0194 -16.1060  
14.6990 13.6225 22.1032  
14.7310 16.0228 56.5744  
14.7650 17.8172 -64.2633  
14.7990 19.1878 -6.7984  
14.8320 20.0799 -32.7432  
14.8650 20.4113 -71.9183  
14.8980 20.1522 -86.8653  
14.9320 19.3360 -93.8835  
14.9640 17.9616 -120.1790  
14.9810 16.2696 -218.1310  
15.0320 14.1147 -76.0070  
15.0650 11.3751 -122.3558  
15.0990 8.4668 -113.8413  
15.1320 5.2297 -106.6729  
15.1540 1.8188 -128.0919  
15.1980 -1.6017 -56.1399  
15.2320 -4.9872 -73.9747  
15.2500 -8.0901 -20.4185  
15.2990 -10.9673 -32.3943  
15.3650 -13.5023 -4.3576  
15.3990 -15.4558 57.0348  
15.4310 -16.9753 9.4773  
15.4650 -17.8671 70.7439  
15.4990 -18.1652 71.0745  
15.5310 -17.9124 84.1067  
15.5640 -17.0316 115.4631  
