Tempo Angle omega x y
s degrees degrees/s  
0.0320 5.5800 -34.0939  
0.0490 4.4103 -133.5915  
0.0790 2.9992 -23.4119  
0.1120 1.8595 -37.9347  
0.1470 0.6289 -42.9931  
0.1800 -0.6358 -29.4542  
0.2130 -1.8998 -22.7657  
0.2470 -3.0963 -20.9242  
0.2800 -4.2295 -18.9343  
0.3130 -5.2286 -1.2772  
0.3810 -6.1531 -6.0858  
0.4140 -6.8005 15.1626  
0.4460 -7.3280 15.5406  
0.4800 -7.6682 18.2583  
0.5130 -7.7745 25.2664  
0.5460 -7.6841 30.1518  
0.5800 -7.4193 29.2160  
0.6130 -6.9361 44.6011  
0.6470 -6.2660 36.6017  
0.6790 -5.4593 41.3763  
0.7130 -4.4326 52.5467  
0.7470 -3.3565 29.2128  
0.7800 -2.1933 41.5012  
0.8130 -0.9523 42.3546  
0.8500 0.2680 16.9631  
0.8800 1.4643 25.1358  
0.9130 2.6367 22.8847  
0.9470 3.6998 11.1195  
0.9800 4.7824 43.6579  
1.0130 5.7748 12.7561  
1.0460 6.4023 -56.4140  
1.0800 6.8838 -13.7507  
1.1130 7.1651 -19.1672  
1.1470 7.2308 -22.2936  
1.1800 7.1580 -22.9388  
1.2130 6.8461 -49.6158  
1.2460 6.3203 -41.9166  
1.2800 5.6535 -30.3886  
1.3130 4.6278 -65.0706  
1.3470 3.4521 -31.7489  
1.3800 2.3374 -37.9211  
1.4130 1.1190 -45.5751  
1.4470 -0.1209 -24.9491  
1.4800 -1.3851 -30.3314  
1.5120 -2.6449 -22.2598  
1.5470 -3.8033 -17.8413  
1.5790 -4.8565 -10.3153  
1.6140 -5.9883 -51.9909  
1.6470 -7.0191 -34.4781  
1.6800 -7.6462 89.6199  
1.7170 -8.0985 13.4448  
1.7460 -8.3383 21.4125  
1.7800 -8.4223 20.8479  
1.8130 -8.3067 30.1659  
1.8470 -8.0329 25.5765  
1.8800 -7.5479 45.0979  
1.9120 -6.8936 42.5678  
1.9470 -5.9766 23.0906  
1.9800 -4.7181 68.9872  
2.0130 -3.6669 26.7905  
2.0470 -2.5535 32.9429  
2.0830 -1.3252 49.1543  
2.1130 -0.1051 20.9127  
2.1460 1.1034 26.6500  
2.1790 2.2879 19.0632  
2.2130 3.3740 14.8197  
2.2460 4.4525 39.0112  
2.3140 5.3467 -15.2238  
2.3470 5.9666 -14.1518  
2.3800 6.4348 -19.1723  
2.4130 6.7151 -22.9747  
2.4490 6.7428 -21.0316  
2.4800 6.5692 -44.7054  
2.5120 6.1693 -43.2406  
2.5460 5.5682 -40.6572  
2.5800 4.7365 -52.9883  
2.6120 3.6520 -38.7873  
2.6470 2.5498 -34.6563  
2.6800 1.3564 -41.7604  
2.7130 0.1259 -30.4217  
2.7460 -1.1259 -29.4288  
2.7800 -2.3897 -25.7961  
2.8130 -3.5734 -17.7317  
2.8460 -4.6643 -13.7895  
2.8830 -5.5501 18.0570  
2.9190 -6.5536 -82.7578  
2.9460 -7.1634 99.8927  
2.9800 -7.6345 5.1078  
3.0130 -7.9181 15.0536  
3.0460 -8.0304 21.4728  
3.0800 -7.9585 25.6249  
3.1130 -7.6995 30.1222  
3.1470 -7.2580 36.4847  
3.1800 -6.6346 41.2891  
3.2130 -5.9948 25.2422  
3.2470 -4.8478 61.5493  
3.2830 -3.8663 28.9345  
3.3130 -2.7778 41.4764  
3.3460 -1.5997 42.1865  
3.3790 -0.3797 34.2048  
3.4130 0.8287 22.1660  
3.4470 2.0005 18.4955  
3.4800 3.1112 19.0808  
3.5130 4.2534 50.8282  
3.5800 5.4752 24.3227  
3.6130 6.1698 -96.3913  
3.6460 6.7007 -18.0101  
3.6800 7.0313 -22.3127  
3.7130 7.1595 -19.1321  
3.7460 7.0363 -42.0222  
3.7800 6.6992 -40.7147  
3.8130 6.1735 -38.0919  
3.8470 5.4341 -44.3393  
3.8800 4.3190 -63.0342  
3.9120 2.9864 -17.0379  
3.9470 1.8216 -42.9235  
3.9790 0.6034 -35.2673  
4.0120 -0.6362 -29.4736  
4.0500 -1.9002 -23.0594  
4.0800 -3.0843 -19.5604  
4.1130 -4.1924 -18.9255  
4.1470 -5.1347 11.8011  
4.2130 -6.0793 -23.1949  
4.2470 -6.6862 38.1571  
4.2800 -7.1888 15.0581  
4.3120 -7.4704 22.1297  
4.3470 -7.5520 24.8989  
4.3800 -7.4493 26.3652  
4.4130 -7.1474 33.8455  
4.4470 -6.6393 43.3349  
4.4800 -5.9494 36.2039  
4.5130 -5.1771 37.1369  
4.5470 -4.1081 42.2071  
4.5800 -3.0445 37.6970  
4.6130 -1.8929 41.7232  
4.6470 -0.6729 40.9393  
4.6800 0.5227 19.0252  
4.7130 1.7068 22.8588  
4.7460 2.8421 19.0756  
4.7800 4.0367 60.7628  
4.8170 5.1900 21.1555  
4.8460 6.2459 8.6389  
4.8800 6.8736 -83.7404  
4.9130 7.3427 -10.3391  
4.9470 7.5856 -26.0416  
4.9790 7.6388 -15.7894  
5.0130 7.5535 -22.2664  
5.0460 7.2038 -57.2452  
5.0790 6.6655 -38.1021  
5.1150 5.8253 -26.4552  
5.1480 4.6809 -68.4906  
5.1790 3.3209 -61.4375  
5.2130 2.2188 -7.9064  
5.2460 1.0004 -45.5714  
5.2800 -0.2143 -24.9559  
5.3130 -1.4661 -26.5335  
5.3460 -2.7134 -21.6057  
5.3800 -3.8218 -14.6840  
5.4130 -4.8375 -10.0438  
5.4800 -6.1022 -51.3617  
5.5130 -6.7758 110.6194  
5.5460 -7.2097 14.8993  
5.5800 -7.5554 18.0534  
5.6130 -7.6681 25.0338  
5.6470 -7.6098 25.3278  
5.6800 -7.3780 26.0592  
5.7130 -6.9292 44.1441  
5.7470 -6.3076 36.1572  
5.7790 -5.5368 36.2475  
5.8140 -4.2335 53.8245  
5.8470 -3.1346 48.6595  
5.8790 -2.0107 23.2255  
5.9130 -0.8071 41.4645  
5.9460 0.3760 18.8226  
5.9830 1.5476 20.1694  
6.0130 2.6955 20.7575  
6.0470 3.7476 14.6700  
6.0800 4.9308 76.9766  
6.1130 5.9239 -22.4238  
6.1470 6.5612 -49.2782  
6.1800 6.9917 -13.9952  
6.2130 7.2852 -18.9736  
6.2460 7.3628 -22.7368  
6.2790 7.3282 -15.1407  
6.3170 7.0445 -45.9419  
6.3460 6.5615 -47.2160  
6.3800 5.9044 -36.5781  
6.4130 4.8370 -47.3210  
6.4460 3.6437 -60.5855  
6.4800 2.5652 -15.5040  
6.5130 1.3842 -45.0767  
6.5470 0.1816 -24.7370  
6.5800 -1.0324 -26.2376  
6.6130 -2.2796 -25.1579  
6.6470 -3.4139 -18.1540  
6.6790 -4.4564 -14.1094  
6.7140 -5.6745 -85.7141  
6.7470 -6.7758 -11.9207  
6.7820 -7.3336 98.1803  
6.8130 -7.8060 10.5159  
6.8460 -8.0683 18.6108  
6.8800 -8.1640 24.2721  
6.9130 -8.0992 22.3797  
6.9470 -7.8530 28.9196  
6.9800 -7.3996 44.1182  
7.0120 -6.7778 38.4915  
7.0470 -5.7721 23.9656  
7.0790 -4.5196 64.8561  
7.1170 -3.5206 23.7083  
7.1460 -2.4295 43.0170  
7.1790 -1.2262 52.5977  
7.2130 -0.0309 21.9162  
7.2460 1.1527 18.8387  
7.2790 2.3127 22.6360  
