t,s1,s2
3.56,-17440.625599835566,-17711.193711720414
3.58,-17587.35733788315,-17657.70862740439
3.6,-17706.563535713445,-17634.106965519906
3.62,-17794.476064029262,-17673.42807351466
3.64,-17823.93843522867,-17775.53636475727
3.66,-17853.202868872355,-17881.196915512282
3.68,-17853.202868872355,-17977.449108210865
3.7,-17853.202868872355,-18149.306969465288
3.72,-17882.678233516926,-18206.033851700704
3.74,-17911.954379768413,-18254.8244101012
3.76,-17941.43650297627,-18269.584661450564
3.78,-18000.0,-18280.763068443408
3.8,-18029.482123207865,-18240.928338393234
3.82,-18058.959032508606,-18241.747299772782
3.84,-18088.233634103915,-18245.10694423527
3.86,-18117.498067747598,-18241.747299772782
3.88,-18117.498067747598,-18256.058226850662
3.9,-18088.233634103915,-18241.747299772782
3.92,-18088.233634103915,-18243.860506683613
3.94,-18058.959032508606,-18220.225418012335
3.96,-18058.959032508606,-18220.77548752223
3.98,-18029.482123207865,-18220.225418012335
4.0,-18029.482123207865,-18269.584661450564
4.02,-18029.482123207865,-18241.747299772782
4.04,-17960.823742154935,-18220.225418012335
4.06,-17960.823742154935,-18220.225418012335
4.08,-17960.823742154935,-18229.97557323136
4.1,-17960.823742154935,-18220.225418012335
4.12,-18029.482123207865,-18220.225418012335
4.14,-18029.482123207865,-18220.225418012335
4.16,-18029.482123207865,-18205.773940319996
4.18,-18029.482123207865,-18192.112445105726
4.2,-17960.823742154935,-18192.112445105726
4.22,-17960.823742154935,-18205.526539044142
4.24,-17960.823742154935,-18192.112445105726
4.26,-18000.0,-18192.112445105726
4.28,-18000.0,-18192.112445105726
4.3,-17970.718251488135,-18192.112445105726
4.32,-17970.718251488135,-18177.424535172766
4.34,-17970.718251488135,-18177.424535172766
4.36,-17970.718251488135,-18192.112445105726
4.38,-17970.718251488135,-18192.112445105726
4.4,-17970.718251488135,-18192.112445105726
4.42,-17970.718251488135,-18177.424535172766
4.44,-17970.718251488135,-18206.21991858926
4.46,-17970.718251488135,-18192.112445105726
4.48,-18000.0,-18229.97557323136
4.5,-17960.823742154935,-18220.967106121945
4.52,-17960.823742154935,-18206.033851700704
4.54,-17960.823742154935,-18229.97557323136
4.56,-18029.482123207865,-18220.225418012335
4.58,-18029.482123207865,-18220.967106121945
4.6000000000000005,-18029.482123207865,-18258.599434554144
4.62,-18029.482123207865,-18269.584661450564
4.64,-18029.482123207865,-18251.98425909309
4.66,-18029.482123207865,-18269.584661450564
4.68,-18058.75826945934,-18271.060756059946
4.7,-18058.959032508606,-18265.89181250719
4.72,-18058.959032508606,-18256.364252640797
4.74,-18058.959032508606,-18279.40456716176
4.76,-18088.233634103915,-18280.763068443408
4.78,-18088.233634103915,-18280.763068443408
4.8,-18088.233634103915,-18254.8244101012
4.82,-18088.233634103915,-18240.928338393234
4.84,-18088.233634103915,-18231.189863363605
4.86,-18088.233634103915,-18206.033851700704
4.88,-18088.233634103915,-18192.112445105726
4.9,-18088.233634103915,-18178.39124016081
4.92,-18058.959032508606,-18177.424535172766
4.94,-18058.959032508606,-18192.112445105726
4.96,-18058.75826945934,-18202.959265641202
4.98,-18058.75826945934,-18202.959265641202
5.0,-18058.75826945934,-18231.927744471774
5.02,-18058.75826945934,-18271.060756059946
5.04,-18058.75826945934,-18316.888272720702
5.06,-18058.75826945934,-18344.48204805428
5.08,-18058.75826945934,-18397.718240826318
5.1000000000000005,-18058.75826945934,-18487.63215860164
5.12,-18058.75826945934,-18570.45674559092
5.14,-18029.482123207865,-18699.851221683428
5.16,-18029.482123207865,-18832.596629695367
5.18,-17960.823742154935,-19063.3507878142
5.2,-17970.718251488135,-19304.65199211796
5.22,-17941.43650297627,-19574.40792818957
5.24,-17911.954379768413,-19965.66129030907
5.26,-17823.93843522867,-20478.89710627276
5.28,-17735.786279328815,-21078.133592930568
5.3,-17618.56677847958,-21783.715744697518
5.32,-17499.242799617638,-22679.17400346568
5.34,-17382.119468185312,-23682.175574364006
5.36,-17265.43892603571,-24859.15178325012
5.38,-17174.242830895237,-26245.074655546563
5.4,-17145.229128737723,-27812.997052981205
5.42,-17203.463764832475,-29615.811558387726
5.44,-17411.367658199262,-31687.48913280878
5.46,-17765.029308046407,-34103.506083307606
5.48,-18205.650223647448,-36738.86056176863
5.5,-18588.514008832455,-39293.29113845133
5.52,-18858.78416654016,-41557.34023959925
5.54,-19003.81104335561,-43479.26752486657
5.56,-19003.81104335561,-45162.957441597595
5.58,-18974.920615041083,-46604.74593248684
5.6000000000000005,-18887.8752644452,-47849.74594056409
5.62,-18767.193672081034,-48939.25636055021
5.64,-18679.57818598444,-49818.33854225266
5.66,-18617.700250005448,-50567.23914747279
5.68,-18588.360940904327,-51155.97329511296
5.7,-18588.514008832455,-51600.38886597057
5.72,-18617.700250005448,-51907.68440452881
5.74,-18708.6843613206,-52107.792408090936
5.76,-18825.15058641985,-52135.135689159164
5.78,-18974.920615041083,-52066.16933471697
5.8,-19182.151155501877,-51866.569974726815
5.82,-19431.540247187273,-51555.55075538937
5.84,-19767.661860561384,-51050.493153995965
5.86,-20139.969901211814,-50459.48672093838
5.88,-20561.43143891705,-49713.85346330957
5.9,-21021.698054950924,-48847.90499863674
5.92,-21551.834643752252,-47854.88600662051
5.94,-22116.92637536165,-46842.01049949098
5.96,-22741.419709450078,-45673.34344630975
5.98,-23396.32343815644,-44494.675329064834
6.0,-24182.56359154785,-43319.61493678821
6.02,-25080.67340822196,-42125.39488559979
6.04,-26145.229128737727,-40944.25073568328
6.06,-27356.167456387942,-39661.43027201945
6.08,-28739.647472019697,-38023.0534831864
6.1000000000000005,-30397.135609801888,-35665.68244539343
6.12,-32585.270884271653,-32130.879386875888
6.140000000000001,-34724.22496728163,-28772.43898605749
6.16,-36617.745130166615,-26815.60690209949
6.18,-38417.52017274716,-25888.254008468455
6.2,-40263.20836685976,-26012.082782065427
6.22,-42130.76141784052,-26940.199269933244
6.24,-43942.9392311687,-28445.90895732269
6.26,-45617.700250005444,-30368.973178886394
6.28,-47129.11517566509,-32586.21477468829
6.3,-48429.07989767543,-34846.903900479665
6.32,-49470.51767815164,-37180.59459873848
6.34,-50219.247986856644,-39376.03591901969
6.36,-50707.84840833829,-41418.86329438297
6.38,-50959.80890496301,-43378.81024493679
6.4,-51025.17933804011,-45151.11692279616
6.42,-50919.738448025324,-46873.383448453766
6.44,-50658.4619735737,-48593.669900314606
6.46,-50283.77670390421,-50329.4222547497
6.48,-49802.297803473746,-52080.996169272235
6.5,-49284.4623427768,-53818.313764534
6.52,-48722.18851611963,-55504.304371625185
6.54,-48152.558806852096,-57238.0973815841
6.56,-47548.52218097537,-58914.28247965462
6.58,-46943.86013863441,-60652.945492143735
6.6000000000000005,-46239.38034772817,-62407.916652601896
6.62,-45468.86201851137,-64208.88528138684
6.640000000000001,-44530.94640385659,-66004.19240718662
6.66,-43368.025534546454,-67849.07908397536
6.68,-41959.80890496301,-70080.99616927224
6.7,-40116.926375361654,-73257.12760650809
6.72,-37851.21803709173,-77327.00487910793
6.74,-35911.95437976841,-80247.41091053198
6.76,-34238.71001056937,-82081.19249629337
6.78,-32560.807489467526,-83040.47950536851
6.8,-30924.67760661771,-83331.27394525927
6.82,-29337.181049086492,-83347.54324875215
6.84,-27858.784166540165,-83369.79425780964
6.86,-26616.76233463314,-83681.17609963569
6.88,-25545.691015131,-84252.51054223049
6.9,-24643.20658582959,-85009.03500657166
6.92,-23879.3462480926,-85810.25583697247
6.94,-23201.342996414183,-86709.63825544548
6.96,-22616.48015640685,-87565.48478628033
6.98,-22158.55526550124,-88340.40739980324
7.0,-21740.093506562083,-89082.13372868657
7.02,-21445.768998237174,-89653.97623598561
7.04,-21274.386539927567,-90123.09327332412
7.06,-21193.09906950738,-90447.9389990522
7.08,-21193.09906950738,-90634.85745181056
7.1000000000000005,-21298.934821157225,-90715.18856886736
7.12,-21551.834643752252,-90674.44301585128
7.140000000000001,-21887.218981537582,-90528.75187040135
7.16,-22324.956346569415,-90267.2254423494
7.18,-22865.902118444534,-89893.6159063017
7.2,-23536.466061322626,-89539.56544882263
7.219999999999998,-24314.25350538109,-89170.21966533679
7.24,-25238.824408336663,-88890.13958657917
7.259999999999998,-26261.858316991835,-88823.7164033121
7.28,-27474.19713541348,-89085.93812570669
7.3,-28832.998834552425,-89802.69642568151
7.32,-30331.4650829216,-91113.30543319168
7.34,-31907.28373272478,-93181.05377878879
7.36,-33419.1750329424,-95941.25460559674
7.38,-34666.764295567606,-99383.46198307151
7.4,-35353.075562071936,-103613.93599488768
7.42,-35528.597063399895,-108627.10170926411
7.44,-35911.95437976841,-113348.88223346604
7.46,-36916.950472290686,-117160.29227079537
7.48,-38325.29158151791,-120245.98795982978
7.5,-39951.38706030544,-122582.8617613808
7.52,-41577.342234848285,-124041.47208670838
7.54,-43062.40204465532,-124726.32422961235
7.56,-44385.10680322103,-124792.39411691933
7.58,-45556.32969975524,-124416.32910058016
7.6,-46637.85885127043,-123727.4329139166
7.62,-47627.22336919593,-122838.64371097347
7.64,-48493.836324765565,-121842.21601459656
7.66,-49263.20836685976,-120795.86584746584
7.679999999999999,-49907.2227640261,-119803.08257639642
7.7,-50430.575549732865,-118826.41122037834
7.719999999999998,-50854.15700125817,-117856.8042431633
7.74,-51156.55812826196,-116805.25431000497
7.759999999999998,-51392.63336607123,-115646.52487428692
7.78,-51458.46938761774,-114295.72898049396
7.8,-51419.33120873471,-112784.97931018072
7.82,-51196.2859904668,-111032.60547700031
7.84,-50788.609473845245,-109027.29273356413
7.86,-50113.83417061471,-106769.14231383175
7.88,-49221.76295928821,-104341.28800690499
7.9,-48177.278275279205,-101787.88598360909
7.92,-46998.67248596085,-99210.98555897675
7.94,-45734.051310211275,-96645.03073345704
7.96,-44501.64167329218,-93941.83109427536
7.98,-43275.61178170455,-91136.65619468637
8.0,-42130.76141784052,-88052.81044026995
8.019999999999998,-41260.10261976385,-84712.5243636906
8.040000000000001,-40719.87298131742,-80896.401323909
8.06,-40574.28540579658,-76442.2760671807
8.08,-40304.69001458985,-72036.80819499493
8.099999999999998,-39429.07989767543,-68378.55517852532
8.120000000000001,-38046.96122251199,-65530.631791344174
8.14,-36383.4774217393,-63543.418997078006
8.16,-34574.31809318402,-62589.71297643598
8.179999999999998,-32773.346658041046,-62718.43106267918
8.199999999999998,-30989.09362508242,-63870.322566987445
8.22,-29084.815465290143,-65777.63373128453
8.24,-27415.028156994795,-67500.0
8.259999999999998,-25995.49255864784,-68555.54710487081
8.279999999999998,-24801.466601764456,-69164.09833523724
8.3,-23773.25797852091,-69580.76384344621
8.32,-22888.180543587816,-69842.12866364692
8.34,-22075.534384531733,-70023.44792865598
8.359999999999998,-21404.970441653648,-70252.70378991525
8.38,-20824.6619804563,-70511.49968397812
8.4,-20325.291581517904,-70901.82130021481
8.42,-19916.31887872049,-71414.40135975077
8.439999999999998,-19581.45849946672,-72000.0
8.46,-19338.64569705677,-72746.55980484787
8.48,-19095.960808707863,-73432.40744509596
8.5,-18916.950472290697,-74236.20682070288
8.519999999999998,-18708.879410799498,-74918.76749631511
8.540000000000001,-18530.068844777008,-75474.93923226549
8.56,-18322.869724496686,-75943.88261060373
8.58,-18088.233634103915,-76231.28674633395
8.599999999999998,-17853.202868872355,-76370.7741416541
8.620000000000001,-17557.959081236964,-76321.83495767303
8.64,-17232.752141655674,-76137.26672563906
8.66,-16880.081899603538,-75807.87739610339
8.679999999999998,-16488.87881661503,-75324.47639150202
8.700000000000001,-15997.32221816384,-74651.41372255546
8.72,-15419.331208734708,-73893.43480818623
8.74,-14788.609473845241,-73027.29273356416
8.759999999999998,-13990.210415475052,-72087.50470424337
8.779999999999998,-13097.565580597817,-71071.90955570256
8.8,-12072.145100754376,-70167.60321516856
8.82,-10953.679208414556,-69370.1362536395
8.84,-9675.948852272257,-68809.27008805118
8.859999999999998,-8327.01514107438,-68658.68141178509
8.88,-6839.627295054566,-69031.06118750092
8.9,-5260.102619763857,-70090.56633392861
8.92,-3364.0942681279876,-72177.42453517279
8.939999999999998,-1124.6755565764763,-75193.75011423683
8.96,917.3476635638868,-77499.12441498534
8.98,2751.699860112918,-78564.24890385577
9.0,4466.83023178611,-78578.1573279306
9.02,6161.137634289842,-77710.6319871365
9.04,7725.416090209566,-76072.36416867014
9.06,9058.56349702373,-73941.68566085483
9.08,10096.698274991451,-71569.75169055036
9.1,10761.17559166334,-69022.15845520425
9.12,11040.07493271154,-66384.77890288405
9.14,10919.326591778043,-63600.736542856575
9.16,10518.629044396026,-60536.726948644115
9.18,10004.50744135216,-57552.397679695
9.2,9588.63234180074,-54853.60307115263
9.22,9294.891780883168,-52238.64067651717
9.24,9117.321766483072,-49561.00346846928
9.26,8999.748626225406,-46640.78490178283
9.28,8853.03956105299,-43572.45021520449
9.3,8440.682965209038,-40681.10534001549
9.32,7661.354302943222,-37994.75987615513
9.34,6399.180028929976,-34996.6670934286
9.36,4654.7269107800175,-31082.191218100605
9.38,2791.389246819419,-27217.159197553345
9.4,1304.377027764415,-24530.255312847217
9.420000000000002,-58.75826945934357,-22519.94259275456
9.44,-1424.076181328618,-20978.80118417564
9.46,-2719.245227580084,-19637.20293274041
9.48,-3973.6754431191725,-18177.058196662696
9.5,-5113.834170614701,-16345.162747319178
9.52,-6261.81049095513,-14122.545371803753
9.54,-7489.151378048993,-11377.090166980039
9.56,-8883.028998486696,-8014.098939497853
9.58,-10027.067130477823,-4807.546904441131
9.6,-10721.72724116584,-2100.897562357933
9.62,-11009.180554077,622.4952972786458
9.64,-10851.218037091729,3585.68073374655
9.66,-10303.148909512332,6902.818416612101
9.68,-9527.130497521235,10439.797286017849
9.7,-8795.36561185367,13713.66969553787
9.72,-8178.543116481683,16788.778207223062
9.74,-7730.527720251052,19886.67970130708
9.76,-7517.360321647657,23047.231861173317
9.78,-7524.702618930489,26614.433584608167
9.8,-7581.400276996833,30434.313799388274
9.82,-7275.611781704549,33870.196934464264
9.84,-6458.46938761774,36833.279439196005
9.86,-5260.102619763857,39249.52797813927
9.88,-3722.188516119631,40966.03977949935
9.9,-2009.180554077004,41828.83106805895
9.920000000000002,-205.6502236474547,41647.37122515025
9.94,1733.0302537231746,40354.77505494322
9.96,3775.533212356594,38294.373707930405
9.98,5668.534917078395,36681.99019638284
10.0,7223.234554891946,35955.49127484158
10.02,8643.832543612061,35900.01917323411
10.04,9854.770871262272,36354.909994522015
10.06,10919.326591778043,37083.16142594587
10.08,11843.441871738036,38042.1435417836
10.1,12569.358429771017,39031.56859299019
10.12,13134.097881555463,40050.21783770527
10.14,13550.166992255308,40992.217552883434
10.16,13841.444734498762,41849.5389708252
10.18,14029.882560186277,42535.711732181255
10.2,14112.78101846242,43122.927561345765
10.22,14071.3412768881,43531.40556828157
10.24,13966.015278154091,43774.940929372955
10.26,13758.292485790138,43933.84551869726
10.28,13466.830231786113,43974.2613402099
10.3,13092.716267275218,43871.587568252
10.32,12610.398140775986,43733.22767698936
10.34,12014.660390142857,43579.31331124037
10.36,11291.232580251804,43477.59365751707
10.38,10397.2091940805,43448.93773704616
10.4,9324.3596594125,43619.693249569835
10.42,8054.056055671566,43973.48801263526
10.44,6624.096701337923,44387.32712342876
10.46,5158.698801841841,44518.01558462948
10.48,3651.5304289275796,44150.67911904346
10.5,2171.0425353136275,43070.61238564933
10.52,796.5362351675232,41266.44971922392
10.54,-383.477421739308,38774.722915081205
10.56,-1274.6722074086588,35639.81355138821
10.58,-2046.961222511992,32277.81656890561
10.6,-2916.0855241802287,29281.395890519183
10.62,-3992.679325203193,26849.113795349393
10.64,-5154.897568368615,25033.038311872577
