t,s1,s2,s3,s4
0,0.531783,0.042735,0.39069,-0.023449
1,0.532809,0.042814,0.391439,-0.023594
2,0.532696,0.042793,0.391443,-0.023824
3,0.532301,0.04264,0.391398,-0.024215
4,0.531893,0.042529,0.391131,-0.024139
5,0.531919,0.042476,0.391144,-0.024087
6,0.53157,0.04252,0.391184,-0.024002
7,0.53152,0.042578,0.39123,-0.023853
8,0.532403,0.042646,0.391873,-0.023783
9,0.532348,0.042727,0.391737,-0.023794
10,0.531766,0.042814,0.391248,-0.023796
11,0.532364,0.04282,0.391498,-0.023718
12,0.532369,0.042843,0.391564,-0.023615
13,0.53162,0.042623,0.390968,-0.023263
14,0.531587,0.042381,0.39084,-0.02308
15,0.532635,0.042282,0.391502,-0.023019
16,0.532283,0.042267,0.391259,-0.022947
17,0.532131,0.042157,0.391054,-0.023068
18,0.532689,0.042267,0.391579,-0.023304
19,0.531932,0.042188,0.391056,-0.02334
20,0.531188,0.042312,0.390649,-0.023176
21,0.531512,0.042573,0.391077,-0.022882
22,0.531744,0.043221,0.391203,-0.022956
23,0.531094,0.043101,0.390436,-0.023496
24,0.531247,0.042824,0.390114,-0.023937
25,0.531795,0.042945,0.390312,-0.024092
26,0.531695,0.04276,0.390861,-0.024047
27,0.532518,0.042614,0.391473,-0.023907
28,0.53213,0.042408,0.391116,-0.023813
29,0.531684,0.042332,0.390558,-0.023786
30,0.532321,0.042481,0.39116,-0.023473
31,0.532121,0.042713,0.391148,-0.023325
32,0.531881,0.042582,0.390722,-0.02355
33,0.532382,0.042746,0.391066,-0.023723
34,0.53214,0.04271,0.390809,-0.023867
35,0.532547,0.042574,0.391196,-0.02389
36,0.532665,0.042562,0.391417,-0.023788
37,0.531609,0.042466,0.39087,-0.023605
38,0.532276,0.042229,0.391326,-0.023413
39,0.531111,0.042142,0.390403,-0.023537
40,0.53155,0.042003,0.390449,-0.023788
41,0.532278,0.042035,0.390972,-0.023892
42,0.531389,0.042297,0.390628,-0.023794
43,0.532243,0.041944,0.390967,-0.023757
44,0.532003,0.04191,0.391082,-0.024096
45,0.531302,0.041644,0.390549,-0.024142
46,0.531473,0.041609,0.390756,-0.023974
47,0.53143,0.041613,0.390682,-0.024074
48,0.530856,0.041638,0.39024,-0.024374
49,0.531255,0.041694,0.390579,-0.024378
50,0.531782,0.04179,0.390979,-0.024294
51,0.531204,0.041802,0.390631,-0.024167
52,0.531191,0.041743,0.390656,-0.024224
53,0.532004,0.04182,0.391275,-0.024313
54,0.531703,0.04192,0.391081,-0.024495
55,0.530955,0.04193,0.390501,-0.024284
56,0.531606,0.041913,0.390847,-0.024291
57,0.531739,0.04191,0.390908,-0.024335
58,0.530981,0.041885,0.39051,-0.024169
