t,s1,s2,s3,s4
0,0.535988,0.047508,0.3942,-0.021396
1,0.535536,0.047565,0.393862,-0.021556
2,0.536091,0.047588,0.394142,-0.021698
3,0.536318,0.047609,0.394311,-0.021657
4,0.535441,0.047631,0.393817,-0.021586
5,0.535262,0.047652,0.393802,-0.021536
6,0.536075,0.047629,0.394621,-0.021356
7,0.535362,0.047346,0.394434,-0.021233
8,0.535049,0.047345,0.394415,-0.021106
9,0.536017,0.047566,0.395071,-0.021074
10,0.535063,0.048031,0.394262,-0.021052
11,0.53587,0.048173,0.394583,-0.021086
12,0.535079,0.048009,0.393856,-0.021161
13,0.535985,0.047843,0.394555,-0.021181
14,0.536879,0.047983,0.395179,-0.021441
15,0.536005,0.047964,0.394787,-0.021382
16,0.536129,0.047967,0.395116,-0.021399
17,0.536754,0.048006,0.395308,-0.021498
18,0.535582,0.047934,0.394378,-0.021443
19,0.535749,0.047689,0.394687,-0.021648
20,0.536742,0.047933,0.395232,-0.021607
21,0.53585,0.047695,0.394573,-0.021627
22,0.535227,0.047561,0.394153,-0.021685
23,0.535489,0.047488,0.394571,-0.021687
24,0.534342,0.047436,0.393757,-0.021477
25,0.535241,0.047923,0.394371,-0.021402
26,0.535216,0.048185,0.39444,-0.021472
27,0.534398,0.048007,0.39374,-0.021333
28,0.534593,0.047957,0.393969,-0.021327
29,0.535141,0.047759,0.393987,-0.021688
30,0.535436,0.047649,0.393966,-0.021805
31,0.5363,0.047559,0.394372,-0.02191
32,0.535732,0.047409,0.393874,-0.022035
33,0.535637,0.047423,0.393819,-0.02206
34,0.536623,0.047706,0.394549,-0.021921
35,0.53599,0.047708,0.394007,-0.021711
36,0.535477,0.047772,0.393571,-0.021609
37,0.536128,0.047924,0.39393,-0.021506
38,0.536075,0.047918,0.394018,-0.021474
39,0.535157,0.047897,0.39356,-0.021409
40,0.535922,0.048046,0.394083,-0.021384
41,0.535874,0.04818,0.394147,-0.021446
42,0.535062,0.048111,0.393651,-0.021488
43,0.535186,0.048113,0.393737,-0.021507
44,0.535964,0.048184,0.394384,-0.021405
45,0.534858,0.048097,0.393629,-0.021314
46,0.5349,0.048144,0.393728,-0.021256
47,0.535443,0.048275,0.394133,-0.021158
48,0.534898,0.048198,0.393847,-0.021191
49,0.534503,0.048215,0.393526,-0.021192
50,0.535306,0.048264,0.394167,-0.021189
51,0.535042,0.048272,0.39395,-0.021187
52,0.534319,0.048135,0.393517,-0.021231
53,0.535,0.048154,0.393894,-0.021299
54,0.535093,0.048139,0.393978,-0.021264
55,0.534274,0.048049,0.393421,-0.021223
56,0.535098,0.048032,0.393949,-0.021282
57,0.535427,0.048042,0.394044,-0.021309
58,0.534831,0.047956,0.393559,-0.021429
59,0.535099,0.04808,0.393785,-0.021412
60,0.53605,0.048254,0.394588,-0.021412
61,0.535324,0.048172,0.394143,-0.021386
62,0.535255,0.048019,0.394076,-0.021356
63,0.536162,0.047975,0.394604,-0.021376
64,0.535732,0.047958,0.394286,-0.02134
65,0.535246,0.047905,0.393947,-0.021436
66,0.535982,0.047962,0.394431,-0.021515
67,0.535908,0.04793,0.394395,-0.021599
68,0.535228,0.048003,0.394099,-0.021613
69,0.53608,0.047926,0.394546,-0.021781
70,0.536129,0.047818,0.394493,-0.021823
71,0.535135,0.047641,0.393809,-0.021684
72,0.535598,0.047731,0.394166,-0.021597
73,0.536032,0.047811,0.394572,-0.021534
74,0.535331,0.047764,0.394421,-0.021367
75,0.534958,0.047837,0.394292,-0.021274
76,0.535574,0.047886,0.394625,-0.021246
77,0.535113,0.047776,0.394355,-0.021362
78,0.535231,0.047726,0.394368,-0.021552
79,0.536094,0.047704,0.394786,-0.021599
80,0.53609,0.047731,0.394631,-0.021615
81,0.535694,0.047789,0.394389,-0.021593
82,0.536772,0.04786,0.395218,-0.021441
83,0.536699,0.047887,0.395124,-0.021487
84,0.535922,0.047967,0.394696,-0.021521
85,0.536694,0.047986,0.395068,-0.021471
86,0.536755,0.048039,0.395076,-0.021304
87,0.53539,0.048036,0.394049,-0.021099
88,0.535411,0.048169,0.393914,-0.020973
89,0.536026,0.048263,0.394314,-0.020882
90,0.535445,0.04824,0.39408,-0.020874
91,0.53531,0.048062,0.394194,-0.02094
92,0.536054,0.047835,0.394728,-0.020954
93,0.535319,0.047617,0.394279,-0.020816
94,0.535071,0.047541,0.394033,-0.020756
95,0.535887,0.047697,0.394366,-0.021007
96,0.535717,0.047723,0.39429,-0.021193
97,0.534874,0.047765,0.393523,-0.021229
98,0.535909,0.047857,0.39413,-0.021456
99,0.536143,0.047777,0.394219,-0.0216
100,0.53638,0.047566,0.394268,-0.021592
101,0.536439,0.047493,0.394421,-0.021634
102,0.536168,0.047422,0.394315,-0.021625
103,0.536632,0.047495,0.394675,-0.021652
104,0.535899,0.047401,0.394375,-0.0215
105,0.536557,0.047459,0.394708,-0.021559
106,0.536177,0.047437,0.394553,-0.021643
107,0.53541,0.04731,0.394045,-0.021747
108,0.536243,0.047301,0.394504,-0.021781
109,0.535438,0.047218,0.394001,-0.021817
110,0.536166,0.0472,0.394579,-0.021774
111,0.536416,0.047246,0.394741,-0.021775
112,0.535834,0.047236,0.394341,-0.021729
113,0.536162,0.047309,0.394483,-0.021729
114,0.536815,0.047488,0.394924,-0.021839
115,0.535973,0.047507,0.394289,-0.021855
116,0.535871,0.047571,0.394116,-0.021686
117,0.536392,0.047628,0.394469,-0.021616
118,0.535559,0.047651,0.393912,-0.021451
119,0.53521,0.047638,0.393783,-0.021492
120,0.536016,0.047728,0.394488,-0.021482
121,0.5359,0.047669,0.394421,-0.021325
122,0.535503,0.04764,0.394218,-0.021281
123,0.536062,0.047686,0.394848,-0.021315
124,0.535918,0.047681,0.395104,-0.021301
125,0.534907,0.047605,0.39437,-0.021127
126,0.535541,0.047653,0.394696,-0.020987
127,0.535707,0.047828,0.394724,-0.021121
128,0.535663,0.047984,0.394564,-0.020801
129,0.536359,0.048127,0.394676,-0.020982
130,0.53571,0.04817,0.394076,-0.02095
131,0.535483,0.048269,0.393907,-0.020978
132,0.53649,0.048291,0.394841,-0.021201
133,0.535972,0.048079,0.394699,-0.021332
134,0.535558,0.04786,0.394425,-0.021492
135,0.536721,0.047841,0.395087,-0.021532
136,0.536739,0.047658,0.395379,-0.021592
137,0.53606,0.047858,0.394913,-0.021486
138,0.536583,0.047935,0.395336,-0.02142
139,0.536348,0.047869,0.395189,-0.021658
140,0.535249,0.047766,0.394407,-0.021567
141,0.535519,0.047661,0.394468,-0.021476
142,0.536176,0.04772,0.39508,-0.021568
143,0.535214,0.047544,0.39443,-0.02163
144,0.53502,0.047598,0.394307,-0.021558
145,0.535575,0.047658,0.394592,-0.021353
146,0.534944,0.047774,0.394269,-0.021171
147,0.534621,0.04784,0.393958,-0.021235
148,0.535598,0.04803,0.39453,-0.021405
