t,s1,s2,s3,s4
0,0.532209,0.041732,0.391344,-0.023885
1,0.532576,0.041685,0.391846,-0.023954
2,0.531967,0.04167,0.391477,-0.023863
3,0.532246,0.041704,0.391555,-0.023878
4,0.532854,0.041716,0.392026,-0.024035
5,0.532088,0.041641,0.391592,-0.024055
6,0.532329,0.041818,0.391793,-0.024131
7,0.533197,0.041878,0.392363,-0.024208
8,0.532649,0.042013,0.391765,-0.024269
9,0.531845,0.041964,0.391207,-0.0244
10,0.532362,0.041994,0.391539,-0.024556
11,0.532245,0.041955,0.391407,-0.024503
12,0.531304,0.041798,0.390798,-0.024336
13,0.531615,0.041628,0.391001,-0.024256
14,0.532262,0.041731,0.391607,-0.02422
15,0.531304,0.041841,0.390955,-0.024053
16,0.531415,0.041783,0.390865,-0.024068
17,0.532222,0.041809,0.391278,-0.023961
18,0.531876,0.041909,0.391085,-0.02369
19,0.531338,0.041974,0.390764,-0.023492
20,0.532647,0.042198,0.391634,-0.023526
21,0.532414,0.042236,0.391437,-0.023632
22,0.531558,0.042203,0.390883,-0.023573
23,0.532091,0.042226,0.391096,-0.023701
24,0.532952,0.042338,0.391782,-0.023826
25,0.532016,0.042384,0.391324,-0.023742
26,0.532009,0.04234,0.391396,-0.023703
27,0.533003,0.042218,0.391913,-0.023671
28,0.532429,0.04216,0.391614,-0.023644
29,0.532145,0.042454,0.391604,-0.023583
30,0.533049,0.042543,0.391977,-0.023426
31,0.53278,0.04253,0.391663,-0.023516
32,0.531824,0.042411,0.390863,-0.023432
33,0.53241,0.042303,0.391141,-0.023568
34,0.532735,0.042246,0.391358,-0.023592
35,0.531606,0.042264,0.39073,-0.023586
36,0.531991,0.042359,0.39114,-0.023611
37,0.533059,0.042436,0.391516,-0.023995
38,0.532477,0.042464,0.390907,-0.023973
39,0.532147,0.042515,0.390608,-0.024055
40,0.532829,0.042546,0.391327,-0.023983
41,0.532402,0.042745,0.391457,-0.023612
42,0.531374,0.042727,0.391037,-0.023409
43,0.531927,0.042536,0.391408,-0.023343
44,0.531974,0.042455,0.391508,-0.022835
45,0.531151,0.042213,0.391027,-0.023003
46,0.532048,0.041823,0.391495,-0.023387
47,0.532435,0.042039,0.391511,-0.023126
48,0.531813,0.041912,0.391002,-0.023241
49,0.532071,0.041974,0.391296,-0.023351
50,0.53299,0.041955,0.391944,-0.023505
51,0.532738,0.041918,0.391891,-0.023546
52,0.532671,0.042032,0.3917,-0.0233
53,0.533573,0.042347,0.392126,-0.02314
54,0.533503,0.042142,0.392092,-0.023184
