t,s1,s2,s3,s4
138,0.534994,0.047628,0.394039,-0.021605
139,0.535654,0.047717,0.394527,-0.021557
140,0.534835,0.047663,0.394178,-0.021417
141,0.534463,0.047665,0.394,-0.021403
142,0.534891,0.047557,0.394234,-0.02134
143,0.535521,0.047572,0.394329,-0.021633
144,0.535156,0.047668,0.394238,-0.021626
145,0.53629,0.047884,0.395163,-0.02158
146,0.536536,0.047693,0.395405,-0.021717
147,0.536789,0.04756,0.395341,-0.021594
148,0.535826,0.047632,0.394567,-0.021423
149,0.536272,0.0479,0.394623,-0.021179
150,0.535955,0.047475,0.39468,-0.021707
151,0.53529,0.047992,0.394281,-0.021075
152,0.536064,0.047896,0.394956,-0.021029
153,0.534718,0.047493,0.39414,-0.021025
154,0.535713,0.047458,0.394695,-0.020917
155,0.534721,0.047544,0.393531,-0.021069
156,0.53527,0.047667,0.393772,-0.021307
157,0.535144,0.04771,0.393592,-0.021626
158,0.536516,0.047692,0.394601,-0.021795
159,0.535787,0.047697,0.394076,-0.021914
160,0.535587,0.047688,0.393889,-0.021954
161,0.536738,0.047731,0.394421,-0.021947
162,0.536387,0.047701,0.394118,-0.021908
163,0.535767,0.047613,0.393718,-0.021889
164,0.536355,0.047732,0.394414,-0.021912
165,0.535643,0.047757,0.394038,-0.02173
166,0.53627,0.047838,0.394448,-0.021481
167,0.536275,0.047774,0.39441,-0.021492
168,0.536247,0.047731,0.394485,-0.02159
169,0.536454,0.047821,0.394543,-0.021702
170,0.535696,0.047819,0.394132,-0.02173
171,0.53632,0.04797,0.394508,-0.02165
172,0.536294,0.047812,0.3949,-0.021433
173,0.535913,0.047659,0.394833,-0.021434
174,0.536059,0.047616,0.395123,-0.021303
175,0.536122,0.047734,0.395151,-0.02122
176,0.535948,0.047891,0.394935,-0.02101
177,0.535137,0.047931,0.39406,-0.021002
178,0.535421,0.047963,0.394143,-0.020999
179,0.536127,0.048041,0.394591,-0.021146
180,0.536018,0.0479,0.394726,-0.0214
181,0.536473,0.047932,0.395197,-0.021559
182,0.536151,0.047926,0.395007,-0.021611
183,0.536602,0.047959,0.395204,-0.021592
184,0.536319,0.047903,0.395051,-0.021637
185,0.536293,0.047771,0.394793,-0.021803
186,0.535292,0.047541,0.394487,-0.021798
187,0.535638,0.04775,0.39477,-0.021464
188,0.534452,0.047721,0.39393,-0.021514
189,0.535192,0.047753,0.394377,-0.021402
190,0.534955,0.047483,0.394303,-0.021468
191,0.534854,0.047568,0.393689,-0.021693
192,0.535747,0.047667,0.394493,-0.021635
193,0.534611,0.047854,0.393662,-0.021831
194,0.535369,0.047929,0.394149,-0.021486
195,0.53473,0.047941,0.393745,-0.021622
196,0.53538,0.047892,0.394276,-0.021764
197,0.535455,0.047507,0.39393,-0.021882
198,0.536256,0.047704,0.394609,-0.021794
199,0.535167,0.047594,0.393956,-0.021745
200,0.534994,0.047684,0.393622,-0.021904
201,0.535958,0.04794,0.39422,-0.021862
202,0.535195,0.047689,0.393874,-0.021893
203,0.535781,0.04762,0.394298,-0.021926
204,0.535144,0.047622,0.393935,-0.021869
205,0.535722,0.047762,0.39429,-0.021745
206,0.534859,0.047748,0.39368,-0.021763
207,0.535583,0.047634,0.394296,-0.021688
208,0.535055,0.047544,0.394166,-0.021647
209,0.535166,0.047585,0.394212,-0.021748
210,0.535145,0.047576,0.394272,-0.021545
211,0.535181,0.047688,0.394204,-0.021465
212,0.535132,0.047596,0.39431,-0.021416
213,0.534231,0.047513,0.393768,-0.021459
214,0.535458,0.047611,0.394429,-0.021443
215,0.534799,0.047866,0.393982,-0.021677
216,0.535439,0.047984,0.394361,-0.021589
217,0.535684,0.047923,0.394521,-0.021565
218,0.535839,0.047757,0.394633,-0.021594
219,0.536247,0.047672,0.39505,-0.021685
220,0.535573,0.047677,0.394795,-0.02163
221,0.53692,0.047862,0.395474,-0.021649
222,0.53668,0.047868,0.395386,-0.021611
223,0.536081,0.047806,0.394975,-0.02161
224,0.536989,0.047803,0.395408,-0.021533
225,0.53561,0.047905,0.394486,-0.021387
226,0.536133,0.048077,0.394698,-0.021363
227,0.535071,0.047955,0.393921,-0.021178
228,0.535279,0.048052,0.394165,-0.021021
229,0.536054,0.048132,0.394665,-0.021126
230,0.535471,0.048117,0.394443,-0.021082
231,0.535871,0.047994,0.394695,-0.021035
232,0.535035,0.047857,0.394206,-0.021115
233,0.534823,0.047906,0.394165,-0.021028
234,0.535257,0.047522,0.394603,-0.021114
235,0.535006,0.04737,0.394529,-0.021128
236,0.535816,0.047347,0.395143,-0.0211
237,0.53485,0.047213,0.394388,-0.021049
238,0.535615,0.047298,0.394659,-0.020951
239,0.534814,0.04733,0.39386,-0.021052
240,0.535949,0.047599,0.39457,-0.020817
241,0.535253,0.04744,0.394365,-0.021077
242,0.536136,0.047501,0.395109,-0.021017
243,0.53555,0.047531,0.394755,-0.020866
244,0.536294,0.047583,0.395218,-0.021056
245,0.535984,0.047714,0.394998,-0.021106
246,0.535219,0.047851,0.394442,-0.021245
247,0.535259,0.048096,0.39415,-0.021142
248,0.535796,0.048074,0.394407,-0.02112
249,0.536322,0.048077,0.394762,-0.021216
250,0.536192,0.047917,0.394766,-0.021412
251,0.536693,0.047864,0.395258,-0.021482
252,0.536256,0.047711,0.395071,-0.021562
253,0.536177,0.047772,0.395036,-0.021557
254,0.536125,0.047846,0.395064,-0.021556
255,0.535301,0.047812,0.394413,-0.021515
256,0.536032,0.047864,0.394882,-0.021616
257,0.535765,0.047909,0.394677,-0.021578
258,0.534818,0.047808,0.394093,-0.021623
259,0.535925,0.047908,0.39468,-0.021697
