t,s1,s2,s3,s4,s5,s6,s7,s8
0,-0.054545,-0.03174,-0.271173,0.237739,-0.068295,0.391202,0.288551,0.077667
1,-0.054665,-0.031982,-0.2714,0.237963,-0.068334,0.391493,0.28864,0.077758
2,-0.054499,-0.032341,-0.271005,0.237504,-0.068187,0.390844,0.288174,0.077704
3,-0.054505,-0.032478,-0.271048,0.237622,-0.068234,0.39081,0.288101,0.077622
4,-0.054673,-0.032475,-0.271403,0.23823,-0.068367,0.391423,0.288475,0.07763
5,-0.054571,-0.032344,-0.271013,0.237931,-0.068052,0.390759,0.288357,0.077281
6,-0.054998,-0.032043,-0.271781,0.238659,-0.068092,0.391804,0.288632,0.077379
7,-0.054956,-0.032433,-0.272026,0.238467,-0.067862,0.391817,0.288211,0.077235
8,-0.054631,-0.032929,-0.272154,0.238101,-0.067693,0.39184,0.287709,0.077464
9,-0.054293,-0.033046,-0.272412,0.238412,-0.067953,0.392422,0.287798,0.077903
10,-0.053998,-0.033084,-0.271894,0.238407,-0.068217,0.392312,0.287696,0.078237
11,-0.053836,-0.033007,-0.27108,0.237863,-0.068254,0.391609,0.287342,0.078462
12,-0.053958,-0.033323,-0.271375,0.238291,-0.068537,0.392058,0.287233,0.078954
13,-0.053901,-0.033711,-0.271708,0.238592,-0.068664,0.392577,0.287059,0.079282
14,-0.053802,-0.033784,-0.271566,0.2385,-0.068244,0.392421,0.287118,0.079075
15,-0.053566,-0.033988,-0.271933,0.238625,-0.068053,0.392753,0.287076,0.079184
16,-0.053475,-0.034069,-0.272366,0.238895,-0.067734,0.393397,0.287019,0.079717
17,-0.053496,-0.033876,-0.272238,0.238512,-0.067665,0.393124,0.287765,0.079532
18,-0.053819,-0.033727,-0.272095,0.238207,-0.067177,0.392897,0.287388,0.079405
19,-0.054096,-0.033261,-0.271927,0.238177,-0.067722,0.393187,0.287721,0.07987
20,-0.054088,-0.033624,-0.272012,0.238311,-0.067983,0.392752,0.287737,0.080041
21,-0.054084,-0.03339,-0.271831,0.238463,-0.067976,0.392713,0.287802,0.079691
22,-0.054043,-0.032925,-0.272338,0.238706,-0.068413,0.392974,0.288328,0.0795
23,-0.054169,-0.032629,-0.27229,0.238537,-0.068536,0.392773,0.287862,0.079118
24,-0.05413,-0.033041,-0.271868,0.238176,-0.06825,0.392285,0.287205,0.079045
25,-0.054254,-0.033342,-0.272058,0.238469,-0.068194,0.392566,0.287544,0.079355
26,-0.054286,-0.033347,-0.272285,0.238489,-0.068022,0.392435,0.287399,0.078719
27,-0.054167,-0.033255,-0.271848,0.237903,-0.067455,0.391652,0.287034,0.078189
28,-0.054328,-0.033144,-0.272175,0.238206,-0.067721,0.392197,0.287518,0.07838
29,-0.054359,-0.033272,-0.272373,0.238313,-0.067781,0.392408,0.28778,0.078314
30,-0.054319,-0.033519,-0.271957,0.237812,-0.067756,0.391904,0.287339,0.07838
31,-0.05447,-0.033613,-0.272259,0.238078,-0.068121,0.39245,0.287544,0.078536
32,-0.054558,-0.033648,-0.272845,0.238727,-0.068287,0.393152,0.28791,0.078578
33,-0.054057,-0.033539,-0.2723,0.238511,-0.067649,0.392498,0.287541,0.078327
34,-0.053976,-0.033598,-0.272053,0.238558,-0.067731,0.392368,0.28768,0.078308
35,-0.054279,-0.033721,-0.272446,0.239083,-0.068142,0.393002,0.28806,0.07856
36,-0.054339,-0.033965,-0.272047,0.238835,-0.068011,0.392658,0.287546,0.078832
37,-0.054231,-0.034207,-0.271839,0.238605,-0.067763,0.392477,0.287253,0.07911
38,-0.054157,-0.034239,-0.272493,0.239071,-0.067876,0.393106,0.287867,0.079305
39,-0.054005,-0.034024,-0.272363,0.238736,-0.067693,0.392798,0.287707,0.079189
40,-0.053779,-0.033955,-0.27174,0.238077,-0.067385,0.391817,0.287142,0.078888
41,-0.053774,-0.033999,-0.27216,0.238391,-0.067609,0.39249,0.287546,0.078894
42,-0.053758,-0.03406,-0.272206,0.238592,-0.067656,0.39271,0.28758,0.078782
43,-0.053569,-0.033904,-0.271673,0.238258,-0.067381,0.391899,0.287175,0.078544
44,-0.053739,-0.033729,-0.271883,0.238714,-0.067612,0.392288,0.287526,0.078583
45,-0.053878,-0.033648,-0.272062,0.238941,-0.067847,0.392529,0.287757,0.078672
46,-0.053806,-0.033531,-0.271686,0.238552,-0.067713,0.391898,0.287417,0.078592
47,-0.053887,-0.033582,-0.271837,0.238702,-0.067841,0.392121,0.287529,0.078597
48,-0.054119,-0.033455,-0.272478,0.239183,-0.068192,0.393059,0.288292,0.078584
49,-0.053967,-0.033541,-0.27209,0.238801,-0.06793,0.392451,0.287816,0.078469
50,-0.053941,-0.033555,-0.272009,0.238705,-0.067935,0.392373,0.287705,0.078468
51,-0.054013,-0.033508,-0.27249,0.239032,-0.06823,0.393023,0.288025,0.07854
52,-0.053926,-0.033476,-0.272323,0.23887,-0.068045,0.392681,0.287896,0.07845
53,-0.053897,-0.033392,-0.271948,0.238383,-0.067883,0.392097,0.287658,0.078305
54,-0.053996,-0.033513,-0.272422,0.238885,-0.068153,0.3929,0.288021,0.078471
55,-0.053963,-0.033489,-0.272351,0.238843,-0.06817,0.392793,0.287985,0.078408
56,-0.053864,-0.033351,-0.271859,0.238411,-0.067915,0.392037,0.287629,0.078318
57,-0.053968,-0.033354,-0.272172,0.238885,-0.068173,0.392591,0.287925,0.078426
58,-0.053954,-0.033258,-0.272354,0.239051,-0.068295,0.392913,0.288163,0.078415
59,-0.053873,-0.033236,-0.271862,0.238728,-0.068107,0.392183,0.287819,0.078334
60,-0.053931,-0.033295,-0.272122,0.239003,-0.068257,0.392662,0.288139,0.078483
61,-0.053939,-0.033267,-0.272298,0.239202,-0.068481,0.393013,0.288171,0.078466
62,-0.053793,-0.033369,-0.27188,0.238741,-0.068113,0.392372,0.287715,0.078425
63,-0.053725,-0.033485,-0.271885,0.2386,-0.068078,0.3923,0.287514,0.078436
64,-0.05379,-0.033493,-0.272265,0.238856,-0.068266,0.392803,0.287744,0.078455
65,-0.053605,-0.03368,-0.272049,0.23835,-0.067882,0.392312,0.287313,0.078401
66,-0.053602,-0.033701,-0.272073,0.238151,-0.067792,0.392144,0.287261,0.078395
67,-0.053781,-0.033764,-0.272364,0.238383,-0.068059,0.392743,0.287596,0.078694
68,-0.053742,-0.033784,-0.27219,0.238297,-0.067895,0.392407,0.287386,0.078839
69,-0.053652,-0.034003,-0.2718,0.238062,-0.067714,0.391856,0.287076,0.078939
70,-0.053979,-0.03416,-0.272151,0.238638,-0.068144,0.39268,0.287497,0.079166
71,-0.054146,-0.03402,-0.271861,0.238557,-0.06837,0.392786,0.287406,0.079263
72,-0.054112,-0.03388,-0.271351,0.238194,-0.068155,0.392137,0.287108,0.078976
73,-0.05415,-0.0338,-0.271713,0.238569,-0.068285,0.392406,0.287419,0.078657
74,-0.05401,-0.033788,-0.272036,0.238723,-0.068383,0.392862,0.287474,0.078451
75,-0.05389,-0.03381,-0.27164,0.238214,-0.067964,0.39219,0.286909,0.078546
76,-0.054129,-0.033925,-0.272008,0.238368,-0.068194,0.392647,0.286946,0.078653
77,-0.054474,-0.033812,-0.272426,0.23853,-0.068456,0.393184,0.287546,0.078691
78,-0.054164,-0.033635,-0.272044,0.237896,-0.067929,0.392241,0.287229,0.078215
79,-0.053965,-0.033257,-0.27194,0.237766,-0.067822,0.391856,0.287174,0.077894
80,-0.054979,-0.033312,-0.272582,0.238869,-0.068359,0.39356,0.287789,0.078869
81,-0.054042,-0.033131,-0.272144,0.238468,-0.068373,0.392429,0.287001,0.078644
