t,s1,s2,s3,s4,s5,s6,s7,s8
0,-0.05444,-0.031972,-0.270963,0.237348,-0.068215,0.390896,0.288269,0.077443
1,-0.054357,-0.031634,-0.270744,0.237305,-0.067956,0.390377,0.288124,0.077257
2,-0.054607,-0.03223,-0.271227,0.237709,-0.068325,0.390992,0.288277,0.077481
3,-0.054372,-0.032205,-0.270776,0.237462,-0.067943,0.390208,0.287786,0.077207
4,-0.054507,-0.032121,-0.270923,0.237809,-0.067936,0.390521,0.288194,0.077109
5,-0.054867,-0.031707,-0.271364,0.238243,-0.068156,0.3911,0.288791,0.077046
6,-0.054839,-0.032507,-0.272384,0.238407,-0.067829,0.392252,0.288139,0.077241
7,-0.054183,-0.032695,-0.271934,0.238007,-0.067721,0.391775,0.287556,0.077467
8,-0.053835,-0.032735,-0.271361,0.237817,-0.0679,0.391375,0.287313,0.077713
9,-0.053914,-0.032888,-0.271407,0.238323,-0.068333,0.392208,0.28759,0.078276
10,-0.053947,-0.033054,-0.271098,0.238117,-0.068303,0.391847,0.287217,0.078579
11,-0.053189,-0.033879,-0.271647,0.238028,-0.067285,0.39208,0.286316,0.079368
12,-0.053407,-0.033592,-0.272067,0.238394,-0.067683,0.392769,0.287689,0.079426
13,-0.053871,-0.033373,-0.272172,0.238249,-0.06739,0.392887,0.287678,0.079219
14,-0.054046,-0.033426,-0.271812,0.238185,-0.067943,0.39245,0.287679,0.079784
15,-0.053824,-0.032721,-0.271778,0.238094,-0.068211,0.39201,0.287786,0.079145
16,-0.054037,-0.033141,-0.271551,0.237553,-0.067406,0.391158,0.287027,0.077952
17,-0.054393,-0.033527,-0.272285,0.238098,-0.068216,0.392473,0.287514,0.078349
18,-0.054162,-0.033364,-0.272028,0.237942,-0.06761,0.391814,0.287134,0.0781
19,-0.05402,-0.033491,-0.272022,0.238378,-0.067634,0.392188,0.28743,0.078132
20,-0.053991,-0.033539,-0.272196,0.238728,-0.067817,0.392516,0.28784,0.078151
21,-0.054068,-0.033584,-0.271649,0.238327,-0.067711,0.391786,0.287387,0.078096
22,-0.054143,-0.033804,-0.271479,0.238312,-0.067776,0.392001,0.287201,0.078547
23,-0.054101,-0.033984,-0.272118,0.238849,-0.067967,0.392781,0.287692,0.078946
24,-0.053719,-0.033219,-0.271938,0.238632,-0.067784,0.392242,0.287711,0.078003
25,-0.05386,-0.033015,-0.271748,0.238381,-0.067974,0.391828,0.287692,0.077887
26,-0.053817,-0.033029,-0.271675,0.238167,-0.067925,0.391701,0.287576,0.077885
27,-0.053875,-0.032927,-0.271577,0.23815,-0.06799,0.391717,0.287521,0.077957
28,-0.053989,-0.032866,-0.271915,0.238573,-0.068158,0.392295,0.287892,0.078119
29,-0.053937,-0.032921,-0.271895,0.238568,-0.068103,0.392268,0.287775,0.07821
30,-0.053733,-0.03288,-0.2715,0.238224,-0.067962,0.391628,0.287421,0.078134
31,-0.053847,-0.032973,-0.271986,0.238713,-0.068194,0.39232,0.287797,0.078311
32,-0.053813,-0.032955,-0.271956,0.238822,-0.068211,0.392387,0.287874,0.07835
33,-0.053709,-0.032916,-0.27159,0.238536,-0.06792,0.391726,0.287665,0.078283
34,-0.053896,-0.033125,-0.272122,0.238971,-0.068141,0.392518,0.288199,0.078502
35,-0.053656,-0.033109,-0.271516,0.238301,-0.067819,0.391502,0.287428,0.078394
36,-0.053989,-0.033378,-0.271875,0.23848,-0.067927,0.392204,0.287709,0.078515
37,-0.053973,-0.033614,-0.272003,0.238011,-0.067978,0.392267,0.28719,0.078471
38,-0.054017,-0.03372,-0.271784,0.238345,-0.068353,0.392497,0.287511,0.079047
39,-0.054004,-0.033251,-0.272068,0.238494,-0.068111,0.392574,0.287484,0.078155
40,-0.054143,-0.033358,-0.272156,0.23854,-0.068145,0.392661,0.287461,0.078248
41,-0.054159,-0.033514,-0.271833,0.238092,-0.06802,0.392094,0.287051,0.078557
42,-0.054393,-0.033311,-0.27194,0.238094,-0.068024,0.392192,0.287422,0.078529
43,-0.054224,-0.033012,-0.272078,0.238252,-0.06818,0.39232,0.287464,0.078122
44,-0.053829,-0.032855,-0.271622,0.23781,-0.067716,0.39149,0.286898,0.078004
45,-0.05412,-0.033037,-0.271895,0.238499,-0.068374,0.392361,0.287029,0.078924
46,-0.053409,-0.033475,-0.271702,0.237995,-0.067369,0.392285,0.287012,0.079302
47,-0.053492,-0.033755,-0.272147,0.238828,-0.068006,0.393202,0.28769,0.079222
48,-0.053704,-0.033758,-0.271257,0.238616,-0.068535,0.392697,0.286942,0.079235
49,-0.053895,-0.033281,-0.271139,0.238372,-0.068669,0.392567,0.28714,0.079181
50,-0.053875,-0.032639,-0.270763,0.237686,-0.068566,0.391721,0.287129,0.078714
51,-0.054058,-0.032629,-0.271306,0.237743,-0.068731,0.391823,0.287267,0.078451
52,-0.05428,-0.032564,-0.27212,0.237919,-0.068728,0.392362,0.287746,0.078137
53,-0.054327,-0.032375,-0.271932,0.237638,-0.0684,0.391635,0.287595,0.077529
54,-0.054339,-0.032423,-0.271329,0.238191,-0.067908,0.391396,0.287683,0.07787
55,-0.054388,-0.032595,-0.271289,0.238408,-0.068204,0.391701,0.287792,0.077678
