t,s1,s2,s3,s4,s5,s6,s7,s8
0,-0.071142,-0.003351,-0.271488,0.22389,-0.065435,0.382189,0.317723,0.050345
1,-0.071159,-0.003149,-0.271011,0.223519,-0.065209,0.381519,0.317295,0.050105
2,-0.071256,-0.002927,-0.270892,0.223376,-0.064996,0.381215,0.317106,0.049839
3,-0.071494,-0.00258,-0.271352,0.223595,-0.065055,0.381545,0.317621,0.049448
4,-0.071165,-0.002744,-0.2713,0.223617,-0.065078,0.381517,0.317195,0.049784
5,-0.070881,-0.002982,-0.271111,0.223485,-0.065037,0.381329,0.3166,0.050045
6,-0.071272,-0.002869,-0.271482,0.223736,-0.06535,0.381881,0.317204,0.049908
7,-0.071491,-0.002606,-0.271305,0.223579,-0.065396,0.381519,0.31696,0.049661
8,-0.07161,-0.002574,-0.270752,0.223104,-0.065303,0.380629,0.316176,0.049623
9,-0.071853,-0.00253,-0.270943,0.223177,-0.065491,0.380935,0.316406,0.049766
10,-0.072124,-0.002574,-0.271159,0.22324,-0.0658,0.381266,0.316395,0.049921
11,-0.072048,-0.002952,-0.270766,0.222936,-0.065768,0.380856,0.315611,0.050007
12,-0.072073,-0.003107,-0.27079,0.223043,-0.065715,0.381024,0.31554,0.050173
13,-0.072104,-0.003392,-0.271122,0.223389,-0.065732,0.381746,0.316098,0.050368
14,-0.071686,-0.00391,-0.271024,0.223369,-0.065519,0.381685,0.315695,0.050753
15,-0.071346,-0.003908,-0.270848,0.223378,-0.065477,0.381557,0.315402,0.050933
16,-0.071519,-0.00341,-0.271292,0.22399,-0.065455,0.382273,0.316234,0.050834
17,-0.071461,-0.003072,-0.271425,0.224145,-0.065329,0.382373,0.316458,0.050621
18,-0.071222,-0.002981,-0.270873,0.223718,-0.065336,0.381537,0.315941,0.050449
19,-0.071492,-0.002803,-0.271049,0.2238,-0.065543,0.381385,0.316243,0.050428
20,-0.071568,-0.00268,-0.27101,0.223732,-0.065583,0.381445,0.316346,0.050194
21,-0.070898,-0.002946,-0.270492,0.223218,-0.065327,0.380813,0.315766,0.050433
22,-0.070932,-0.003191,-0.2705,0.223264,-0.065319,0.380964,0.315739,0.050403
23,-0.071511,-0.003209,-0.271095,0.223684,-0.065557,0.381585,0.316355,0.050608
